,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,164.47,210.18,296.43,262.9,214.21,285.96,180.4,358.17,176.32,361.96,292.93,350.66,397.08,302.07,292.47,201.22,216.71,165.54,160.08,160.08
1,Other Revenue,-,-0.89,0.89,-,1.43,-0.47,0.47,-,1.79,-1.43,1.43,-,3.79,-0.27,0.27,-,1.93,-1.78,0.89,0.89
2,Revenue,164.47,209.29,297.32,262.9,215.65,285.49,180.87,358.17,178.11,360.53,294.36,350.66,400.87,301.8,292.74,201.22,218.64,163.76,160.97,160.97
3,Revenue Growth (YoY),-23.73%,-26.69%,64.39%,-26.60%,21.07%,-20.81%,-38.56%,2.14%,-55.57%,19.46%,0.55%,74.27%,83.35%,84.29%,81.86%,25.01%,-,-,-,-
4,Cost of Revenue,-494.72,119.34,211.36,164.02,175.97,192.34,129.79,217.45,152.1,173.35,180.87,207.09,262.48,161.28,176.72,115.05,139.39,101.28,108.01,108.01
5,Gross Profit,659.2,89.95,85.96,98.88,39.68,93.15,51.08,140.72,26.01,187.18,113.48,143.57,138.39,140.53,116.02,86.17,79.25,62.48,52.96,52.96
6,"Selling, General & Admin",-111.66,41.95,38.14,31.58,49.47,34.71,36.57,28.75,37.47,37.12,31.59,28.26,45.8,28.6,34.78,18.13,25.8,15.69,13.11,13.11
7,Research & Development,-66.97,24.09,21.21,21.67,30.46,13.87,30.94,20.03,26.93,21.73,24.42,15.13,27.58,21.39,14.06,12.52,14.07,12.41,10.24,10.24
8,Other Operating Expenses,926.71,-9.87,-4.09,-6.99,-8.34,-3.38,-1.52,-1.14,17.41,-25.11,9.27,-6.52,2.45,-5.48,-3.88,-0.84,4.28,-3.3,-2.84,-2.84
9,Operating Expenses,742.35,59.51,47.19,56.7,64.55,58.6,63.53,65.48,82.67,38.32,75.63,49.96,91.29,53.66,52.15,31.95,49.36,25.3,26.11,26.11
10,Operating Income,-83.15,30.44,38.77,42.17,-24.88,34.54,-12.46,75.23,-56.66,148.86,37.85,93.61,47.1,86.86,63.88,54.22,29.89,37.18,26.85,26.85
11,Interest Expense,-1.33,-7.7,-6.79,-6.49,-7.29,-6.63,-7.08,-6.12,-7.09,-4.21,-5.14,-1.09,-3.01,-0.68,-1.4,-0.28,-2.62,-,-1.3,-1.3
12,Interest & Investment Income,19.22,-,2.5,0.59,0.22,0.54,0.93,1.08,0.88,1.37,2.46,0.77,2.65,1.18,0.22,0.04,0.03,0.33,0.03,0.03
13,Currency Exchange Gain (Loss),-,-0,0,-,0.02,-0.02,0.02,-,0.5,0.13,-0.13,-,-0.21,0,-0,-,-0.17,-0.19,0.09,0.09
14,Other Non Operating Income (Expenses),-2.34,3.36,-1.94,0.91,1.48,-1.03,0.43,-0.09,0.11,-15.47,16.3,-1.17,-1.35,0.52,0.51,-0.39,1.38,-1.65,-0.74,-0.74
15,EBT Excluding Unusual Items,-67.6,26.1,32.54,37.19,-30.45,27.4,-18.15,70.1,-62.27,130.68,51.34,92.13,45.18,87.89,63.21,53.59,28.5,35.69,24.94,24.94
16,Impairment of Goodwill,-,-,-,-,-3.01,-,-,-,-2.62,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-0.23,0.23,-0.3,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.24,-0,0.24,-,-0.06,-0.04,-0.04,-0,-0.08,0,0.03,-,0.05,-0,0.31,0,-0.08,0.01,-0.01,-0.01
19,Asset Writedown,20.62,-20.62,5.55,-5.55,16.91,-16.91,2.19,-2.19,30.36,-30.36,8.79,-8.79,20.71,-20.71,8.12,-8.12,5.61,-5.61,-,-
20,Other Unusual Items,0.18,-3.63,3.44,0.01,3.88,0.71,-0.71,-,15.81,1.18,-1.18,-,12.49,-0.12,0.12,-,7.52,-0.49,0.24,0.24
21,Pretax Income,-47.04,1.86,41.76,31.65,-12.73,11.16,-16.94,68.15,-19.1,101.5,58.97,83.34,78.42,67.06,71.76,45.47,41.55,29.61,25.17,25.17
22,Income Tax Expense,-25.49,-0.02,6.2,4.51,-15.34,0.5,-0.97,10.07,-15.11,15.21,8.57,12.63,3.49,10,10.85,6.93,1.59,4.54,3.92,3.92
