,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1060,990.82,1332,1050,1021,661.02,1110,1015,1187,1165,Upgrade
1,Short-Term Investments,194.29,318.44,153.01,272.7,25.64,273.8,24.98,226.88,190.92,533.42,Upgrade
2,Trading Asset Securities,11.53,10.65,7.45,7.34,8.74,11.59,16.86,29.15,-,-,Upgrade
3,Cash & Short-Term Investments,1266,1320,1492,1330,1056,946.4,1151,1271,1378,1699,Upgrade
4,Cash Growth,-15.15%,-0.78%,41.35%,40.56%,-8.31%,-25.54%,-16.43%,-25.17%,-29.15%,-22.41%,Upgrade
5,Accounts Receivable,443.85,338.54,313.24,342.83,343.95,339.97,163.64,187.2,146.15,161.22,Upgrade
6,Other Receivables,128.62,120.21,154.23,128.02,248.14,48.23,278.34,51.35,395.15,60.85,Upgrade
7,Receivables,607.09,538.78,537.53,642.7,710.24,624.46,441.98,451.83,541.3,351.31,Upgrade
8,Inventory,226.24,258.12,249.13,237.77,383.52,597.51,623.32,653.11,1186,1310,Upgrade
9,Prepaid Expenses,85.74,53.55,86,128.37,106.32,86.42,50.2,83.89,62.18,67.14,Upgrade
10,Other Current Assets,-,-,-,-,-,-,-,-,-,14.7,Upgrade
11,Total Current Assets,2185,2170,2365,2339,2256,2255,2267,2460,3167,3441,Upgrade
12,"Property, Plant & Equipment",559.66,551.14,518.74,512.03,508.99,515.75,466.77,479.3,506.54,538.09,Upgrade
13,Long-Term Investments,578.09,505.97,576.78,488.11,562.84,576.47,543.34,487.25,517.33,400.18,Upgrade
14,Goodwill,53.43,52.61,53.18,52.01,50.58,49.24,63.16,63.55,67.35,66.5,Upgrade
15,Other Intangible Assets,2.48,2.73,3,3.42,3.64,2.86,2.49,2.77,1.63,1.72,Upgrade
16,Long-Term Deferred Tax Assets,0.87,3.26,2.8,2.72,0.34,0.32,0.05,0.05,40.34,34,Upgrade
17,Other Long-Term Assets,276.7,313.11,164.49,128.44,130.21,131.97,190.98,135.7,150.74,159.07,Upgrade
18,Total Assets,3657,3599,3684,3526,3512,3531,3534,3628,4451,4641,Upgrade
19,Accounts Payable,116.41,144.58,94.49,119.37,94.69,99.98,69.21,55.29,70.54,131.79,Upgrade
20,Current Portion of Long-Term Debt,83.47,76.65,86.09,56.8,51.79,46.93,47.32,2.32,63.83,142.09,Upgrade
21,Current Portion of Leases,9.26,8.31,5.43,10.8,11.89,11.77,10.73,12.25,82.3,121.59,Upgrade
22,Current Income Taxes Payable,3.34,2.85,5.76,4.96,4.08,3.59,2.98,5.18,13.91,25.82,Upgrade
23,Current Unearned Revenue,21.84,20.87,88.82,16.86,4.85,3.28,2.18,10.22,22.67,15.9,Upgrade
24,Other Current Liabilities,65.95,61.47,74.36,65.71,34.36,53.89,32.62,52.05,57.87,73.76,Upgrade
25,Total Current Liabilities,300.27,314.73,354.94,274.5,201.65,219.44,165.04,137.31,311.12,510.95,Upgrade
26,Long-Term Debt,13.07,17.48,25,24.92,25.56,26.95,27.61,27.6,77.08,74.52,Upgrade
27,Long-Term Leases,19.46,21.31,1.47,6.54,6.38,12.08,16.31,21.42,29.92,72.05,Upgrade
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.44,0.45,2.33,2.33,2.48,1.96,Upgrade
