,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,487.56,779.57,864.43,791.83,662.72,714.28,754.98,646.81,483.07,447.53,498.16,432.27,93.97,230.76,-,318.83,-,152.31,152.31
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30
2,Trading Asset Securities,77.51,60.41,26.63,4.98,50,80.6,171.35,147.81,206.08,134.89,77.95,70,-,-,-,161.8,-,39,39
3,Cash & Short-Term Investments,565.07,839.98,891.06,796.8,712.72,794.88,926.33,794.61,689.16,582.42,576.11,502.27,93.97,230.76,480.63,480.63,221.31,221.31,221.31
4,Cash Growth,-20.72%,5.67%,-3.81%,0.28%,3.42%,36.48%,60.79%,58.20%,633.40%,152.39%,19.86%,4.50%,-57.54%,4.27%,117.17%,-,-,-,-
5,Accounts Receivable,773.49,552.65,494.35,791.85,882.59,518.86,439.23,552.29,573.82,618.06,571.44,693.82,616.47,526.98,-,433.62,-,406.76,406.76
6,Other Receivables,147.47,29.79,8.96,14.06,13.82,11.74,7.6,12.02,14.64,15.55,32.32,20.33,12.7,41.38,-,22.51,-,5.61,5.61
7,Receivables,920.96,582.44,503.31,805.91,896.4,530.6,446.83,564.31,588.46,633.61,603.76,714.15,629.17,568.36,-,456.13,-,420.26,420.26
8,Inventory,503.79,431.03,399.14,291.1,411.65,332.54,291.79,335.92,366.3,425.68,410.48,479.47,443.2,437.38,-,343.26,-,191.86,191.86
9,Prepaid Expenses,-,-,-,0.68,-,-,-,-,-,-,-,0.12,-,-,-,-,-,-,-
10,Other Current Assets,78.52,99.36,26.34,63.25,33.3,38.19,24.85,8.71,123.81,182.2,219.33,224.43,119.83,65.21,-,2.65,-,7.08,7.08
11,Total Current Assets,2068,1953,1820,1958,2054,1696,1690,1704,1768,1824,1810,1920,1286,1302,-,1283,-,840.51,840.51
12,"Property, Plant & Equipment",632.95,550.15,500.43,501.59,448.6,447.54,442.86,448.11,420.04,410.12,402.36,396.67,388.19,364.44,-,298.84,-,262.98,262.98
13,Long-Term Investments,126.2,127.69,114.16,93.61,94.52,97.33,99.32,100.25,55.25,55.25,55.25,64.25,64.25,29,-,11.5,-,11.5,11.5
14,Goodwill,14.68,14.68,14.68,14.68,13.44,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,-,0.24,-,0.24,0.24
15,Other Intangible Assets,52.98,51.19,51.92,52.72,51.3,37.15,36.45,36.89,35.24,35.53,35.74,35.43,35.77,35.64,-,10.75,-,9,9
16,Long-Term Accounts Receivable,-,12.79,-,12.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Long-Term Deferred Tax Assets,14.6,12.36,13.99,16.11,17.01,15.05,14.1,15.19,13.13,13.71,12.36,13.2,12.29,12.78,-,11.49,-,11.26,11.26
18,Long-Term Deferred Charges,2.02,2.15,2.32,2.41,2.74,0.99,0.92,0.95,0.98,1.01,1.04,1.07,0.99,1.02,-,-,-,-,-
19,Other Long-Term Assets,49.82,70.64,85.88,41.56,21.45,21.11,10.67,5.79,9.18,6.86,7.11,10.93,124.92,177.97,-,221.36,-,216.83,216.83
20,Total Assets,2962,2794,2603,2693,2703,2316,2294,2311,2302,2347,2324,2442,1913,1923,-,1837,-,1352,1352
21,Accounts Payable,968.18,756.74,692.65,859.16,909.59,557.12,530.92,595.65,582.33,632.94,537.72,690.75,594.2,686.81,-,614.56,-,426.17,426.17
22,Accrued Expenses,26.82,28.89,19.94,36.33,20.49,22.87,16.83,32.2,23.14,27.19,16.11,29.69,16.1,24.23,-,31.72,-,26.84,26.84
23,Short-Term Debt,254.97,215.04,157.34,86.84,153.05,228.94,184.14,120.11,217.16,320.79,369.29,330.95,279.26,303.32,-,382.25,-,206.08,206.08
24,Current Portion of Long-Term Debt,-,-,-,5,-,-,-,-,-,-,0.4,12.95,13.34,3.05,-,0.05,-,-,-
25,Current Portion of Leases,0.19,0.4,0.19,0.45,0.26,0.43,0.28,0.42,0.27,0.33,-,0.4,-,0.37,-,-,-,-,-
26,Current Income Taxes Payable,9.95,2.25,12.89,9.29,19.55,6.71,7.36,4.44,26.49,24.66,12.61,9,22.29,15.1,-,12.02,-,16.31,16.31
27,Current Unearned Revenue,67.7,10.54,11.69,7.67,14.4,9.15,7.36,8.04,14.54,17.43,8.89,11.69,9,2.56,-,6.97,-,3.6,3.6
28,Other Current Liabilities,22.77,207.03,27.11,27.14,1,11.94,3.03,22.99,0.6,11.85,0.56,10.72,1.52,0.96,-,15.42,-,7.08,7.08
29,Total Current Liabilities,1351,1221,921.79,1032,1118,837.14,749.92,783.84,864.54,1035,945.58,1096,935.72,1036,-,1063,-,686.09,686.09
30,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,26.9,26.9,36.79,-,39.79,-,39.79,39.79
31,Long-Term Leases,2.76,2.77,2.95,2.98,3.13,3.18,3.29,3.44,3.54,3.68,3.64,3.85,3.25,3.12,-,-,-,-,-
32,Long-Term Unearned Revenue,7.33,7.64,7.94,8.25,5.03,5.24,5.45,5.66,6.07,5.87,1.42,1.48,1.54,1.61,-,1.74,-,1.86,1.86
33,Long-Term Deferred Tax Liabilities,22,22.38,22.19,21.43,17.23,17.18,17.29,17.35,7.91,7.91,7.91,7.91,7.91,2.63,-,-,-,-,-
34,Total Liabilities,1383,1254,954.87,1065,1144,862.75,775.94,810.28,882.06,1053,958.54,1136,975.33,1081,-,1105,-,727.74,727.74
35,Common Stock,561.4,561.4,561.4,561.4,561.4,561.4,401,401,401,401,401,401,360,360,-,360,-,360,360
36,Additional Paid-In Capital,254.01,253.98,253.98,253.98,253.98,253.98,414.38,414.38,414.38,414.38,414.38,414.38,119.54,118.53,-,112.96,-,98.82,98.82
37,Retained Earnings,755.47,717.83,827.5,778.21,711.86,624.68,702.74,677.42,604.08,479.98,549.04,490.82,456.35,362.73,-,259.12,-,164.54,164.54
38,Treasury Stock,-31.35,-31.35,-28.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,13.66,11.92,6.64,4.95,2.87,6.82,-5.31,-0.03,-6.76,-7.08,-4.26,-5.34,-2.35,-2.56,-,-2.64,-,0.83,0.83
40,Total Common Equity,1553,1514,1621,1599,1530,1447,1513,1493,1413,1288,1360,1301,933.54,838.7,729.44,729.44,624.19,624.19,624.19
41,Minority Interest,25.73,26.98,27.34,29.5,29.27,5.98,5.6,7.91,7.02,5.69,5.07,5.1,3.94,3.54,-,2.88,-,0.37,0.37
42,Shareholders' Equity,1579,1541,1648,1628,1559,1453,1518,1501,1420,1294,1365,1306,937.48,842.24,732.33,732.33,624.56,624.56,624.56
43,Total Liabilities & Equity,2962,2794,2603,2693,2703,2316,2294,2311,2302,2347,2324,2442,1913,1923,-,1837,-,1352,1352
44,Total Debt,257.92,218.22,160.47,95.28,156.45,232.55,187.71,123.96,220.98,324.81,373.32,375.04,322.75,346.66,422.1,422.1,245.88,245.88,245.88
