,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10160,8109,8249,7871,7613,7197,8000,7739,6436,8229,7988,7286,7936,-,-,-,-,-,-,-
1,Market Cap Growth,12.67%,12.67%,3.11%,1.70%,18.28%,-12.53%,0.15%,6.22%,-18.90%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9879,7514,7546,7344,7086,6641,7267,7077,5975,7977,7790,7519,8169,-,-,-,-,-,-,-
3,Last Close Price,18.18,14.51,14.45,13.73,13.28,12.55,13.95,13.24,11.01,14.08,13.66,12.18,13.27,-,-,-,-,-,-,-
4,PE Ratio,47.87,38.38,31.63,27.60,29.15,26.84,26.22,24.64,18.55,26.70,28.77,31.40,34.25,-,-,-,-,-,-,-
5,Forward PE,39.10,26.87,27.33,26.58,26.33,25.51,19.99,19.99,19.99,19.99,20.70,21.76,23.70,-,-,-,-,-,-,-
6,PS Ratio,3.82,3.06,3.02,2.91,2.83,2.72,3.21,2.96,2.35,3.06,3.02,2.77,3.05,-,-,-,-,-,-,-
7,PB Ratio,6.54,5.14,5.35,4.77,4.68,4.62,5.51,5.10,4.29,5.80,6.17,5.34,6.08,-,-,-,-,-,-,-
8,P/TBV Ratio,5.46,5.46,5.70,5.06,4.97,4.91,5.68,5.24,4.42,5.97,6.38,5.50,6.27,-,-,-,-,-,-,-
9,P/FCF Ratio,82.57,65.90,-,33.57,32.55,40.15,-,15.85,13.60,20.19,59.57,-38.75,-29.45,-,-,-,-,-,-,-
10,P/OCF Ratio,21.94,21.94,-,21.27,20.64,27.89,18.96,13.89,11.42,16.93,40.68,-16226.50,-78.21,-,-,-,-,-,-,-
