,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,854.61,578.55,425.31,737.22,946.88,536.57,417.36,694.13,776.42,669.29,548.98,672.03,720.93,663.74,517.36,618.17,626.07,371.04,371.04
1,Other Revenue,-14.86,14.86,-,54.95,-22.62,22.62,-,55.58,-13.47,13.47,-,26.44,-8.27,8.27,-,62.46,-,23.03,23.03
2,Revenue,839.76,593.41,425.31,792.17,924.26,559.18,417.36,749.71,762.95,682.76,548.98,698.47,712.67,672,517.36,680.63,626.07,394.07,394.07
3,Revenue Growth (YoY),-9.14%,6.12%,1.90%,5.66%,21.14%,-18.10%,-23.98%,7.34%,7.05%,1.60%,6.11%,2.62%,13.83%,70.53%,31.29%,-,-,-,-
4,Cost of Revenue,720.9,482.16,338.26,619.93,738.63,457.57,346.72,616.27,606.42,562.58,438.78,584.46,592.25,571.24,431.35,560.72,506.87,321.21,321.21
5,Gross Profit,118.85,111.25,87.05,172.25,185.63,101.61,70.64,133.44,156.53,120.19,110.2,114.01,120.41,100.76,86.01,119.91,119.21,72.86,72.86
6,"Selling, General & Admin",30.85,27.13,26.26,36.84,31.55,22.2,17.9,19.4,23.35,24.62,21.2,25.64,27.64,18.73,18.35,15.83,32.2,14.36,14.36
7,Research & Development,30.54,23.62,22.57,36.53,31.4,18.83,15.65,35.3,23.06,18.84,24.1,35.7,16.2,20.6,17.36,26.08,22.33,11.52,11.52
8,Other Operating Expenses,-3.99,2.42,5.56,3.63,2.9,-2.51,2.51,13.38,1.03,-2.2,-1.98,10.13,-1.71,-3.2,2.35,-1.86,2.1,2.16,2.16
9,Operating Expenses,76.8,59.84,39.63,88.73,84.14,43.48,29.27,67.46,45.3,44.19,36.63,76.05,45.61,42.11,37.77,40,57.35,36.01,36.01
10,Operating Income,42.05,51.41,47.42,83.52,101.49,58.13,41.37,65.97,111.23,75.99,73.57,37.96,74.81,58.65,48.24,79.91,61.85,36.85,36.85
11,Interest Expense,-1.05,-1.04,-1.55,-,-2.1,-1.27,-1.26,-2.15,-1.98,-2.64,-2.85,-2.72,-2.61,-2.75,-2.28,-2.84,-1.94,-2.3,-2.3
12,Interest & Investment Income,4.12,4.4,4.88,3.92,5.84,6.23,3.2,-,2.26,3.17,5.32,2.49,2.3,2.43,3.89,3.6,2.84,3.04,3.04
13,Currency Exchange Gain (Loss),-12.98,12.98,-,13.23,-19.62,19.62,-,59.98,-27.01,27.01,-,-12.18,5.53,-5.53,-,-39.12,-,0.27,0.27
14,Other Non Operating Income (Expenses),7.79,-8.15,7.13,-19.96,20.15,8.79,-9.24,-65.66,65.91,5.64,-5.74,1.98,-2,-2.92,2.39,21.97,-22.38,-0.09,-0.09
15,EBT Excluding Unusual Items,39.93,59.59,57.87,80.7,105.75,91.51,34.07,58.14,150.41,109.17,70.3,27.53,78.02,49.88,52.23,63.52,40.38,37.77,37.77
16,Gain (Loss) on Sale of Investments,0.57,-0.03,-1.03,0.12,-2.29,0.4,-0.56,2.73,-2.81,-,-,0.01,35.25,-,17.5,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.2,0.83,0.05,-0.69,0.24,-0.16,0.28,-0.13,-0.01,0.09,-0.15,-0.85,0.91,0.25,-0.91,-0.07,0.2,0.05,0.05
18,Asset Writedown,-2.31,0.52,-0.52,3.5,-4.14,2.07,-2.07,7.96,-7.96,1.56,-1.56,4.11,-4.11,-,-,6.04,-2.13,-0,-0
19,Other Unusual Items,-5.02,3.16,1.41,-3.51,-,-,-,8.99,-0.07,0.07,-,6.75,-0.05,0.05,-,0.38,-,7.02,7.02
20,Pretax Income,32.98,64.08,57.78,80.12,99.56,93.82,31.72,77.73,139.56,110.9,68.59,37.55,110.03,50.18,68.83,69.87,38.45,44.83,44.83
21,Income Tax Expense,-3.41,6.44,9.44,12.35,9.48,11.09,6.26,3.53,15.21,18.92,10.4,1.92,16.01,4.18,10.56,7.56,5.32,5.99,5.99
22,Earnings From Continuing Operations,36.38,57.64,48.34,67.77,90.08,82.73,25.46,74.2,124.35,91.98,58.19,35.63,94.02,46,58.27,62.31,33.13,38.84,38.84
23,Minority Interest in Earnings,1.25,0.35,0.94,-1.42,-2.9,-0.38,-0.14,-0.87,-0.25,-0.64,0.03,-1.15,-0.4,-0.29,-0.36,-0.63,-0.23,-0.01,-0.01
24,Net Income,37.64,58,49.29,66.34,87.18,82.35,25.32,73.33,124.1,91.34,58.22,34.47,93.61,45.71,57.9,61.68,32.9,38.83,38.83
25,Net Income to Common,37.64,58,49.29,66.34,87.18,82.35,25.32,73.33,124.1,91.34,58.22,34.47,93.61,45.71,57.9,61.68,32.9,38.83,38.83
26,Net Income Growth,-56.83%,-29.57%,94.66%,-9.53%,-29.75%,-9.85%,-56.51%,112.74%,32.57%,99.82%,0.55%,-44.11%,184.57%,17.73%,49.13%,-,-,-,-
27,Shares Outstanding (Basic),543,582,548,553,537,543,590,563,568,564,544,522,505,494,507,511,512,494,494
28,Shares Outstanding (Diluted),543,582,548,553,537,543,590,563,568,564,544,522,505,494,507,511,512,494,494
29,Shares Change (YoY),1.14%,7.10%,-7.21%,-1.85%,-5.43%,-3.74%,8.57%,7.97%,12.33%,14.21%,7.31%,2.05%,-1.23%,-0.05%,2.48%,-,-,-,-
30,EPS (Basic),0.07,0.10,0.09,0.12,0.16,0.15,0.04,0.13,0.22,0.16,0.11,0.07,0.19,0.09,0.11,0.12,0.06,0.08,0.08
31,EPS (Diluted),0.07,0.10,0.09,0.12,0.16,0.15,0.04,0.13,0.22,0.16,0.11,0.07,0.19,0.09,0.11,0.12,0.06,0.08,0.08
32,EPS Growth,-57.31%,-34.24%,109.79%,-7.83%,-25.71%,-6.34%,-59.94%,97.03%,18.02%,74.96%,-6.30%,-45.24%,188.11%,17.79%,45.51%,-,-,-,-
33,Free Cash Flow,21.07,-110,79.36,132.63,22.75,-0.31,78.77,78.02,167.22,164.21,63.72,12.41,-106.26,-157.92,-17.71,-14.58,112.75,6.8,6.8
34,Free Cash Flow Per Share,0.04,-0.19,0.14,0.24,0.04,-0.00,0.13,0.14,0.29,0.29,0.12,0.02,-0.21,-0.32,-0.03,-0.03,0.22,0.01,0.01
35,Dividend Per Share,-,-,-,0.300,-,-,-,0.286,-,-,-,0.286,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,5.01%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,14.15%,18.75%,20.47%,21.74%,20.08%,18.17%,16.93%,17.80%,20.52%,17.60%,20.07%,16.32%,16.90%,14.99%,16.63%,17.62%,19.04%,18.49%,18.49%
38,Operating Margin,5.01%,8.66%,11.15%,10.54%,10.98%,10.40%,9.91%,8.80%,14.58%,11.13%,13.40%,5.43%,10.50%,8.73%,9.32%,11.74%,9.88%,9.35%,9.35%
39,Profit Margin,4.48%,9.77%,11.59%,8.37%,9.43%,14.73%,6.07%,9.78%,16.27%,13.38%,10.61%,4.94%,13.14%,6.80%,11.19%,9.06%,5.25%,9.85%,9.85%
40,Free Cash Flow Margin,2.51%,-18.54%,18.66%,16.74%,2.46%,-0.06%,18.87%,10.41%,21.92%,24.05%,11.61%,1.78%,-14.91%,-23.50%,-3.42%,-2.14%,18.01%,1.72%,1.72%
41,EBITDA,53.46,58.3,58.82,94.93,111.77,68.26,51.66,76.26,119.82,85.86,82.16,46.55,81.76,66.48,55.2,86.86,68.59,43.59,43.59
