,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters
0,Market Capitalization,854,634,763,671,983,1038,1112,1158,1396,1672,1690,Upgrade
1,Market Cap Growth,-5.48%,-5.48%,-22.43%,-35.40%,-11.57%,-10.32%,-20.39%,-30.77%,-17.39%,-8.08%,-14.42%,Upgrade
2,Enterprise Value,1523,1175,1260,1088,1369,1243,1123,1193,1252,1837,1119,Upgrade
3,Last Close Price,0.93,0.69,0.83,0.73,1.07,1.10,1.13,1.18,1.36,1.53,1.53,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,8.89,-,-,-,Upgrade
5,PS Ratio,1.12,0.83,1.03,0.99,1.62,1.71,1.71,1.79,2.03,1.95,0.99,Upgrade
6,PB Ratio,0.37,0.24,0.27,0.23,0.33,0.32,0.32,0.33,0.41,0.47,0.43,Upgrade
7,P/TBV Ratio,0.27,0.27,0.31,0.26,0.37,0.36,0.36,0.37,0.46,0.53,0.49,Upgrade
8,P/FCF Ratio,-,-6.22,-,6.23,-31.86,-,20.06,-30.35,-,-,-,Upgrade
9,P/OCF Ratio,-,-10.68,-,4.58,149.62,-,11.69,48.08,-,-16.15,-,Upgrade
10,EV/Sales Ratio,2.00,1.54,1.70,1.60,2.25,2.05,1.73,1.85,1.82,2.15,0.66,Upgrade
11,EV/EBITDA Ratio,67.34,-,-,-,-,-,-,-,-,-,-18.87,Upgrade
12,EV/FCF Ratio,-14.95,-11.53,-,10.10,-44.37,-,20.27,-31.27,-,-,-,Upgrade
13,Debt / Equity Ratio,0.32,0.32,0.29,0.32,0.34,0.35,0.33,0.30,0.37,0.28,0.25,Upgrade
14,Debt / FCF Ratio,-,-8.35,-,8.73,-33.34,-,20.85,-27.76,-,-,-,Upgrade
15,Earnings Yield,-26.28%,-35.43%,-19.20%,-30.43%,-28.27%,-24.28%,4.38%,11.25%,-20.74%,-21.59%,4.09%,Upgrade
16,FCF Yield,-11.93%,-16.08%,-11.16%,16.06%,-3.14%,-7.41%,4.98%,-3.29%,-5.78%,-15.34%,-6.52%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,3.19%,-,-,5.16%,4.58%,4.58%,Upgrade
18,Buyback Yield / Dilution,-,-,-,0.00%,0.00%,-,-,-,-,-,Upgrade,
19,Total Shareholder Return,-,-,-,0.00%,3.19%,-,-,5.16%,4.58%,4.58%,Upgrade,
