,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7777,8307,8500,9973,9604,9138,8564,-,-,-,-,-
1,Market Cap Growth,-9.09%,-9.09%,-0.75%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8981,8897,9081,10010,9640,8354,8625,-,-,-,-,-
3,Last Close Price,19.37,20.59,21.07,24.29,23.39,22.25,23.17,-,-,-,-,-
4,PE Ratio,19.24,20.56,21.33,23.41,23.26,25.02,26.30,-,-,-,-,-
5,Forward PE,19.35,18.22,16.90,20.94,21.65,20.39,-,-,-,-,-,-
6,PS Ratio,1.01,1.08,1.19,1.50,1.58,1.67,1.62,-,-,-,-,-
7,PB Ratio,2.43,2.59,2.74,3.10,3.08,3.05,2.96,-,-,-,-,-
8,P/TBV Ratio,2.60,2.60,2.75,3.11,3.09,3.06,2.96,-,-,-,-,-
9,P/FCF Ratio,4.11,4.39,5.03,5.99,6.45,6.12,5.58,-,-,-,-,-
10,P/OCF Ratio,4.31,4.31,4.95,5.94,6.41,6.06,5.54,-,-,-,-,-
11,EV/Sales Ratio,1.17,1.16,1.27,1.51,1.59,1.53,1.63,-,-,-,-,-
12,EV/EBITDA Ratio,15.33,19.83,19.64,20.15,20.26,20.08,25.21,-,-,-,-,-
13,EV/EBIT Ratio,20.50,20.15,19.95,20.45,20.57,20.44,25.70,-,-,-,-,-
14,EV/FCF Ratio,4.74,4.70,5.37,6.01,6.48,5.59,5.62,-,-,-,-,-
15,Debt / Equity Ratio,0.72,0.72,0.70,0.55,0.55,0.50,0.49,0.66,0.66,-,-,0.84
16,Debt / EBITDA Ratio,3.97,4.05,3.80,3.23,1.71,2.38,2.17,2.59,1.61,-,-,4.71
17,Debt / FCF Ratio,1.23,1.23,1.29,1.06,1.15,1.00,0.92,1.11,1.45,-,-,-
18,Asset Turnover,1.33,1.30,1.30,1.46,1.20,-,-,-,-,-,-,
19,Inventory Turnover,4.74,3.95,4.32,4.73,6.29,5.51,-,-,-,-,-,-
20,Quick Ratio,0.74,0.74,0.98,0.89,0.99,1.29,2.12,-,1.41,-,-,-
21,Current Ratio,1.61,1.61,1.80,1.92,1.75,2.17,2.70,-,2.35,-,-,-
22,Return on Equity (ROE),13.45%,8.99%,12.69%,16.54%,13.65%,16.75%,19.34%,-,-,-,-,
23,Return on Assets (ROA),5.86%,2.50%,5.95%,5.03%,7.84%,-,-,-,-,-,-,
24,Return on Capital (ROIC),6.56%,2.83%,6.86%,5.75%,8.83%,6.30%,9.46%,-,-,-,-,
25,Return on Capital Employed (ROCE),10.83%,10.91%,11.48%,12.45%,12.42%,11.16%,9.26%,-,10.96%,-,-,-
26,Earnings Yield,5.19%,4.86%,4.69%,4.27%,4.30%,4.00%,3.80%,-,-,-,-,-
27,FCF Yield,24.35%,22.80%,19.89%,16.70%,15.49%,16.35%,17.93%,-,-,-,-,-
28,Dividend Yield,1.03%,2.91%,-,-,2.14%,-,-,-,-,-,-,-
29,Payout Ratio,54.21%,3.44%,290.61%,4.58%,3.50%,2.49%,4.01%,2.36%,5.04%,3.00%,-,-
30,Buyback Yield / Dilution,-7.97%,-1.79%,-8.41%,-10.46%,-11.93%,-5.18%,-2.51%,-,-,-,-,-
31,Total Shareholder Return,-6.93%,1.12%,-8.41%,-10.46%,-9.79%,-5.18%,-2.51%,-,-,-,-,-
