,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,2056,1831,1842,1848,1533,1336,1267,1259,4085,-1393,1427
1,Other Revenue,-48.76,48.76,-,90.64,-40.81,40.81,-,77.43,-2775,2775,-
2,Revenue,2007,1879,1842,1938,1492,1376,1267,1337,1310,1382,1427
3,Revenue Growth (YoY),34.49%,36.55%,45.30%,44.98%,13.92%,-0.38%,-11.18%,-,-,-,-
4,Cost of Revenue,1277,1261,1179,1275,917.11,893.12,801.28,919.29,891.88,1941,-
5,Gross Profit,729.4,618.22,662.93,662.9,575.02,483.32,466.19,417.57,417.97,-558.93,1427
6,"Selling, General & Admin",570.83,533.77,516.55,546.5,397.63,374.71,335.52,351.3,326.16,697.57,-
7,Research & Development,18.66,17.88,17.38,11,15.61,18.22,15.24,13.68,13.44,17.88,-
8,Other Operating Expenses,1.89,1.75,1.66,1.63,0.9,-0.69,0.36,6.02,-2.73,-1358,1359
9,Operating Expenses,587.69,560.26,528.33,555.67,419.51,391.14,352.54,370.13,335.6,-639.76,1359
10,Operating Income,141.71,57.95,134.6,107.24,155.5,92.18,113.65,47.44,82.37,80.83,67.79
11,Interest Expense,-13.65,-10.73,-10.44,-9.67,-9.06,-8.99,-7.6,-8.16,-7.99,-15.77,-
12,Interest & Investment Income,21.4,17.84,18.08,18.26,17.73,13.26,10.49,8.97,6.42,9.09,-
13,Currency Exchange Gain (Loss),10.54,-10.54,-,38.92,-51,51,-,39.38,-1.06,1.06,-
14,Other Non Operating Income (Expenses),-5.46,20.17,-18.15,-34.8,21.44,2.37,-8.62,-27.74,28.13,-3,-1.44
15,EBT Excluding Unusual Items,154.54,74.7,124.09,119.96,134.61,149.82,107.91,59.89,107.87,72.22,66.35
16,Gain (Loss) on Sale of Investments,2.05,8.51,3.91,10.91,-1.1,-35.23,2.78,-2.97,-10.66,6.24,-
17,Gain (Loss) on Sale of Assets,-,-0.02,-,-0.05,-0,-0,-0.06,0.04,0.17,-0.05,-
18,Asset Writedown,-25.08,10.07,-10.07,12.9,-12.9,3.19,-3.19,22.43,-22.43,-,-
19,Other Unusual Items,1.75,0.3,1.01,-1.91,-,-,-,9.65,-,-,-
20,Pretax Income,133.26,93.56,118.94,141.81,120.61,117.78,107.44,89.03,74.95,78.41,66.35
21,Income Tax Expense,27.26,22.56,18.4,15.37,20.08,19.25,20.06,10.29,13.95,19.48,14.91
22,Net Income,106,71,100.54,126.44,100.53,98.53,87.38,78.74,61.01,58.93,51.44
23,Net Income to Common,106,71,100.54,126.44,100.53,98.53,87.38,78.74,61.01,58.93,51.44
24,Net Income Growth,5.44%,-27.94%,15.06%,60.59%,64.79%,67.20%,69.87%,-,-,-,-
25,Shares Outstanding (Basic),409,396,402,399,402,365,364,356,382,356,-
26,Shares Outstanding (Diluted),409,396,402,399,402,365,364,356,382,356,-
27,Shares Change (YoY),1.79%,8.41%,10.46%,11.93%,5.18%,2.51%,-,-,-,-,-
28,EPS (Basic),0.26,0.18,0.25,0.32,0.25,0.27,0.24,0.22,0.16,0.17,-
29,EPS (Diluted),0.26,0.18,0.25,0.32,0.25,0.27,0.24,0.22,0.16,0.17,-
30,EPS Growth,3.58%,-33.54%,4.17%,43.48%,56.66%,63.10%,-,-,-,-,-
31,Free Cash Flow,548.99,479.08,433.32,432.37,345.75,454.49,255.42,438.59,386.69,-,-
32,Free Cash Flow Per Share,1.34,1.21,1.08,1.08,0.86,1.25,0.70,1.23,1.01,-,-
33,Dividend Per Share,0.100,-,-,0.500,-,-,-,-,-,-,-
34,Gross Margin,36.35%,32.89%,36.00%,34.20%,38.54%,35.11%,36.78%,31.23%,31.91%,-40.45%,100.00%
35,Operating Margin,7.06%,3.08%,7.31%,5.53%,10.42%,6.70%,8.97%,3.55%,6.29%,5.85%,4.75%
36,Profit Margin,5.28%,3.78%,5.46%,6.52%,6.74%,7.16%,6.89%,5.89%,4.66%,4.27%,3.60%
37,Free Cash Flow Margin,27.36%,25.49%,23.53%,22.31%,23.17%,33.02%,20.15%,32.81%,29.52%,-,-
38,EBITDA,143.45,59.89,136.34,108.98,157.31,94.11,115.45,49.24,83.37,82.55,68.79
39,EBITDA Margin,7.15%,3.19%,7.40%,5.62%,10.54%,6.84%,9.11%,3.68%,6.36%,5.97%,4.82%
40,D&A For EBITDA,1.74,1.94,1.74,1.74,1.8,1.93,1.8,1.8,1,1.72,1
41,EBIT,141.71,57.95,134.6,107.24,155.5,92.18,113.65,47.44,82.37,80.83,67.79
42,EBIT Margin,7.06%,3.08%,7.31%,5.53%,10.42%,6.70%,8.97%,3.55%,6.29%,5.85%,4.75%
43,Effective Tax Rate,20.46%,24.11%,15.47%,10.84%,16.65%,16.34%,18.67%,11.56%,18.61%,24.84%,22.48%
44,Revenue as Reported,2007,1879,1842,1938,1492,1376,1267,1337,1310,2809,-
