,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,591.75,762.66,594.22,726.22,967.81,1963,-,1039,-,-,-
1,Short-Term Investments,-,391.17,-,277.15,-,195.4,-,87.96,-,-,-
2,Trading Asset Securities,526.67,432.74,583.51,461.86,490.72,40.37,-,6.65,-,-,-
3,Cash & Short-Term Investments,1118,1587,1178,1465,1459,2198,1134,1134,-,-,622.89
4,Cash Growth,-23.32%,-27.83%,3.87%,29.23%,-,-,82.03%,-,-,-,-
5,Accounts Receivable,195.81,182.05,162.87,190.46,161.73,155.78,-,143.18,-,-,-
6,Other Receivables,308.11,77.66,260.95,130.75,197.55,225.29,-,49.02,-,-,-
7,Receivables,503.92,259.7,423.82,321.22,359.28,381.07,-,192.2,-,-,-
8,Inventory,1365,1221,1114,879.47,741.27,591.37,-,689,-,-,-
9,Prepaid Expenses,-,0.69,-,1.08,-,-,-,-,-,-,-
10,Other Current Assets,555.98,330.23,737.03,490.44,496.76,121.95,-,187.8,-,-,-
11,Total Current Assets,3544,3398,3453,3157,3056,3293,-,2203,-,-,-
12,"Property, Plant & Equipment",1004,1028,832.42,762.55,775.29,836.53,-,837.28,-,-,-
13,Long-Term Investments,1542,1267,1325,1540,1132,616.64,-,323.88,-,-,-
14,Other Intangible Assets,10.79,10.21,10.23,9.78,8.76,9.03,-,8.93,-,-,-
15,Long-Term Deferred Tax Assets,60.41,59.6,57.66,56.98,48.51,49.59,-,35.07,-,-,-
16,Long-Term Deferred Charges,10.98,7.72,5.41,4.8,4.42,4.64,-,1.85,-,-,-
17,Other Long-Term Assets,72.27,79.88,49.17,49.91,48.18,34.51,-,67.73,-,-,-
18,Total Assets,6244,5850,5732,5581,5073,4844,-,3478,-,-,-
19,Accounts Payable,403.01,291.15,466.57,391.41,324.75,224.66,-,241.55,-,-,-
20,Accrued Expenses,57.45,189.43,33.35,245.62,51.67,154.72,-,142.42,-,-,-
21,Short-Term Debt,1312,1129,891.74,912.12,690.54,553.98,-,340.95,-,-,-
22,Current Portion of Leases,174.29,183.89,157.83,147.31,140.01,136.89,-,121.2,-,-,-
23,Current Income Taxes Payable,93.11,16.78,99.11,28.28,96.73,38.76,-,19.76,-,-,-
24,Current Unearned Revenue,53.29,40.69,44.55,53.79,40.41,53.98,-,44.43,-,-,-
25,Other Current Liabilities,104.96,34.53,106.89,30.57,66.52,56.52,-,27.2,-,-,-
26,Total Current Liabilities,2198,1885,1800,1809,1411,1220,-,937.51,-,-,-
27,Long-Term Leases,836.32,863.89,709.91,649.77,664.33,723.57,-,732.6,-,-,-
28,Long-Term Deferred Tax Liabilities,0.41,-,0.04,-,-,0.1,-,0.28,-,-,-
29,Other Long-Term Liabilities,3.49,3.83,3.09,1.49,4.25,2.79,-,-,-,-,-
30,Total Liabilities,3038,2753,2513,2460,2079,1946,-,1670,-,-,-
31,Common Stock,401.5,401.5,401.5,401.5,401.5,401.5,-,361.35,-,-,-
32,Additional Paid-In Capital,1515,1511,1504,1504,1504,1504,-,651.84,-,-,-
33,Retained Earnings,1275,1169,1299,1198,1072,971.05,-,785.14,-,-,-
34,Comprehensive Income & Other,13.96,16.05,15.49,17.68,16.94,21.44,-,8.85,-,-,-
35,Shareholders' Equity,3206,3097,3219,3121,2994,2898,1807,1807,-,-,1540
36,Total Liabilities & Equity,6244,5850,5732,5581,5073,4844,-,3478,-,-,-
37,Total Debt,2322,2176,1759,1709,1495,1414,1195,1195,-,-,1297
38,Net Cash (Debt),-1204,-589.8,-581.74,-243.97,-36.34,783.95,-60.92,-60.92,-,-,-673.66
39,Net Cash Per Share,-2.95,-1.49,-1.45,-0.61,-0.09,2.15,-0.17,-0.17,-,-,-
40,Filing Date Shares Outstanding,401.5,401.5,401.5,401.5,401.5,401.5,361.35,361.35,381.84,356.03,-
41,Total Common Shares Outstanding,401.5,401.5,401.5,401.5,401.5,401.5,361.35,361.35,381.84,356.03,-
42,Working Capital,1346,1513,1653,1348,1645,2073,-,1265,-,-,-
43,Book Value Per Share,7.98,7.71,8.02,7.77,7.46,7.22,5.00,5.00,-,-,4.26
44,Tangible Book Value,3195,3087,3209,3111,2985,2889,1798,1798,-,-,1533
45,Tangible Book Value Per Share,7.96,7.69,7.99,7.75,7.43,7.19,4.98,4.98,-,-,4.24
46,Machinery,-,69.99,-,62.43,-,61.16,-,56.53,-,-,-
47,Construction In Progress,-,9.74,-,-,-,-,-,-,-,-,-
