,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Revenue,19796775,18164227,16237951,17791993,14602770,14234694,16605220,12897936,12606835,11600466,11589999,4344563,2665050,2653835,3541776,4014258,4440449,2809499,4969817,6000528,Upgrade
1,Revenue Growth (YoY),35.57%,27.61%,-2.21%,37.94%,15.83%,22.71%,43.27%,196.88%,373.04%,337.12%,227.24%,8.23%,-39.98%,-5.54%,-28.73%,-33.10%,-64.39%,-79.31%,-60.76%,-49.54%,Upgrade
2,Cost of Revenue,18786629,15961743,14229270,16046712,15101538,12993916,15888658,11835760,16276338,11236651,10462602,4159561,2381046,2094827,4819343,5618508,3785251,3421462,5078742,7346766,Upgrade
3,Gross Profit,1010146,2202484,2008681,1745281,-498768,1240778,716561,1062176,-3669502,363815,1127397,185002,284004,559008,-1277566,-1604250,655199,-611963,-108925,-1346239,Upgrade
4,"Selling, General & Admin",1152549,677996,1268671,847025,1019662,800977,652413,576389,619575,281741,316737,252743,259210,180156,321870,212250,301601,242294,255827,339201,Upgrade
5,Operating Expenses,1152549,677996,1268671,847025,1019662,800977,652413,576389,619575,281741,316737,252743,259210,180156,321870,212250,301601,242294,255827,339201,Upgrade
6,Operating Income,-142404,1524488,740010,898257,-1518431,439801,64149,485787,-4289078,82074,810660,-67741,24793,378853,-1599436,-1816500,353597,-854257,-364753,-1685440,Upgrade
7,Interest Expense,-826221,-717111,-534084,-718701,-1384278,-484904,-393772,-375381,-553617,-258888,-351206,-349050,-3782960,-241836,-3642429,-145570,-684267,-102004,-963281,-121740,Upgrade
8,Interest & Investment Income,173427,136178,956189,297220,-,96385,110532,90139,-,61266,-,293088,-,4754,-,3643534,-,87157,-,997367,Upgrade
