,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2624,2481,3185,4345,5662,5477,4912,3414,2127,2673
1,Revenue Growth (YoY),-17.61%,-42.89%,-43.75%,-20.68%,15.26%,60.43%,130.95%,27.74%,1.76%,0.06%
2,Cost of Revenue,2480,2270,2955,3927,4984,4903,4496,3224,2007,2526
3,Gross Profit,143.42,211.59,229.88,417.62,677.13,574.05,415.9,190.16,120.3,146.31
4,"Selling, General & Admin",87.43,125.94,166.69,263.05,262.13,245.99,167.8,99.47,69.03,85
5,Research & Development,16.77,15.44,17.07,19.35,20.22,21.16,19.01,14.51,11.18,12.17
6,Operating Expenses,96.45,136.26,183.93,274.35,260.1,270.57,202.3,132.8,72.97,109.8
7,Operating Income,46.97,75.32,45.95,143.27,417.03,303.48,213.6,57.36,47.33,36.51
8,Interest Expense,-15.73,-25.48,-31.55,-43.37,-35.81,-32.74,-21.03,-8.36,-9.81,-13.45
9,Interest & Investment Income,5.1,15.44,9.77,4,0.22,0.25,1.06,1.12,1.15,3.53
10,Earnings From Equity Investments,3.58,5.53,-2.27,3.36,-3.33,-4.1,-0.74,-,-,-
11,Currency Exchange Gain (Loss),-0.07,-1.7,-6.15,-24.3,-16.73,2.83,-2.02,0.65,-1.18,-1.5
12,Other Non Operating Income (Expenses),3.94,7.48,10.99,11.2,4.51,6.35,3.71,3.95,4.72,1.57
13,EBT Excluding Unusual Items,43.8,76.6,26.72,94.15,365.9,276.09,194.58,54.72,42.21,26.67
14,Merger & Restructuring Charges,-,-,-,-,-,-0.46,-,-,-,-
15,Gain (Loss) on Sale of Investments,1.45,1.33,1.68,0.71,-4.14,0.35,-0.54,4.62,-,6.67
16,Gain (Loss) on Sale of Assets,-0.02,2.93,-0.02,0.01,0.28,0.25,-,-0.02,-,0.16
17,Other Unusual Items,-,0.01,-0.01,1.4,-,0.05,1.31,0.4,0.02,-
18,Pretax Income,45.23,80.86,28.38,96.27,362.03,276.28,195.35,59.72,42.23,33.5
19,Income Tax Expense,8.31,9.47,7.26,16.29,62.27,46.01,33.72,9.21,7.39,3.64
20,Earnings From Continuing Operations,36.92,71.39,21.12,79.98,299.77,230.27,161.63,50.51,34.84,29.86
21,Minority Interest in Earnings,-0.59,-12.93,-8.44,-60.47,-154.54,-110.79,-67.05,-9.33,-5.02,-4.55
22,Net Income,36.33,58.46,12.67,19.51,145.23,119.49,94.58,41.19,29.82,25.31
23,Net Income to Common,36.33,58.46,12.67,19.51,145.23,119.49,94.58,41.19,29.82,25.31
24,Net Income Growth,186.62%,199.68%,-91.27%,-83.67%,53.56%,190.11%,217.20%,62.73%,0.08%,-41.74%
25,Shares Outstanding (Basic),470,470,473,480,488,488,489,492,493,502
26,Shares Outstanding (Diluted),471,471,474,482,490,488,489,492,493,502
27,Shares Change (YoY),-0.75%,-2.41%,-3.14%,-1.24%,0.23%,-0.70%,-0.83%,-1.94%,-2.21%,-0.56%
28,EPS (Basic),0.08,0.12,0.03,0.04,0.30,0.24,0.19,0.08,0.06,0.05
29,EPS (Diluted),0.08,0.12,0.03,0.04,0.30,0.24,0.19,0.08,0.06,0.05
30,EPS Growth,189.15%,207.66%,-91.00%,-83.50%,53.24%,192.10%,219.86%,65.95%,2.39%,-41.45%
31,Free Cash Flow,12.57,182.17,173.66,440.79,418.46,51.42,-498.93,-307.14,115.03,196.98
32,Free Cash Flow Per Share,0.03,0.39,0.37,0.91,0.85,0.11,-1.02,-0.62,0.23,0.39
33,Dividend Per Share,0.020,-,-,0.060,0.040,0.080,0.040,0.040,0.020,0.020
34,Dividend Growth,-,-,-,-25.00%,0%,100.00%,100.00%,100.00%,0%,-50.00%
35,Operating Margin,1.79%,3.04%,1.44%,3.30%,7.37%,5.54%,4.35%,1.68%,2.23%,1.37%
36,Profit Margin,1.38%,2.36%,0.40%,0.45%,2.57%,2.18%,1.93%,1.21%,1.40%,0.95%
37,Free Cash Flow Margin,0.48%,7.34%,5.45%,10.15%,7.39%,0.94%,-10.16%,-9.00%,5.41%,7.37%
38,EBITDA,48.81,79.09,49.97,146.35,419.79,305.87,215.81,59.38,49.31,38.24
39,D&A For EBITDA,1.84,3.77,4.03,3.08,2.76,2.39,2.21,2.02,1.99,1.73
40,EBIT,46.97,75.32,45.95,143.27,417.03,303.48,213.6,57.36,47.33,36.51
