,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8012,8262,7986,9016,9383,8486,7542,9067,8095,7450,8285,7950,9585,9290,-,-,-,-,-,-
1,Market Cap Growth,-2.63%,-2.63%,5.89%,-0.56%,15.90%,13.90%,-8.97%,14.05%,-15.54%,-19.81%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6898,6954,6695,7707,8074,7427,6300,7258,6287,6090,7248,6455,8090,8602,-,-,-,-,-,-
3,Last Close Price,15.96,16.42,15.53,17.50,18.21,16.48,14.66,17.27,15.42,14.29,15.89,15.12,18.22,17.66,-,-,-,-,-,-
4,PE Ratio,23.48,24.19,22.15,25.90,29.92,31.45,24.31,20.93,16.38,15.38,20.22,25.71,31.81,26.53,-,-,-,-,-,-
5,Forward PE,22.17,21.46,20.61,21.67,24.49,24.95,16.83,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.22,1.26,1.21,1.36,1.40,1.29,1.12,1.25,1.07,0.95,1.09,1.14,1.48,1.51,-,-,-,-,-,-
7,PB Ratio,2.18,2.25,2.29,2.53,2.66,2.48,2.30,2.69,2.44,2.27,2.66,2.66,3.31,3.21,-,-,-,-,-,-
8,P/TBV Ratio,2.33,2.33,2.37,2.62,2.76,2.71,2.54,2.80,2.54,2.36,2.78,2.79,3.48,3.37,-,-,-,-,-,-
9,P/FCF Ratio,36.46,-,15.97,-,41.92,-139.99,-,-,-,22.43,51.83,-,-,30.99,-,-,-,-,-,-
10,P/OCF Ratio,45.60,45.60,15.23,-,13.64,17.28,11.28,-,-,9.11,18.65,-,33.60,18.28,-,-,-,-,-,-
11,EV/Sales Ratio,1.05,1.06,1.02,1.17,1.21,1.13,0.94,1.00,0.83,0.77,0.95,0.93,1.25,1.40,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.78,17.42,14.66,17.97,19.33,25.46,17.59,16.47,-,10.97,18.24,15.63,-,18.64,-,-,-,-,-,-
13,EV/EBIT Ratio,29.15,25.89,20.73,26.36,-,49.85,-,24.05,-,14.35,27.00,22.30,-,25.28,-,-,-,-,-,-
14,EV/FCF Ratio,31.39,-,13.39,-,36.07,-122.52,-,-,-,18.34,45.35,-,-,28.69,-,-,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.14,0.09,0.10,0.08,0.10,0.10,0.10,0.12,0.14,0.14,0.10,0.18,0.01,0.07,0.11,-,-,0.25
16,Debt / EBITDA Ratio,1.30,0.55,1.80,0.82,1.82,0.25,2.07,0.95,-,0.28,0.87,0.69,-,0.67,0.05,0.30,1.45,-,-,1.22
17,Debt / FCF Ratio,2.29,-,1.01,-,1.51,-4.78,-,-,-,1.17,2.66,-,-,1.74,0.08,-,0.53,-,-,11.05
18,Asset Turnover,1.22,1.03,0.96,1.08,1.36,1.12,1.05,1.01,1.37,1.43,1.26,1.26,1.49,1.46,1.31,-,-,-,-,
19,Inventory Turnover,5.64,5.90,5.26,5.13,6.18,6.12,5.16,4.64,5.12,5.33,5.51,4.24,4.43,4.39,4.31,4.25,-,-,-,-
20,Quick Ratio,1.22,1.22,1.17,1.41,1.28,1.30,1.15,1.26,1.28,1.28,1.19,1.12,1.05,1.16,0.86,0.98,1.00,-,-,-
21,Current Ratio,1.80,1.80,1.65,1.89,1.77,1.72,1.66,1.75,1.80,1.64,1.66,1.65,1.65,1.68,1.53,1.54,1.46,-,-,-
22,Return on Equity (ROE),14.51%,9.11%,7.77%,7.22%,17.76%,8.18%,4.11%,2.27%,23.68%,25.07%,12.89%,1.30%,18.66%,18.31%,18.70%,-,-,-,-,
23,Return on Assets (ROA),7.58%,0.91%,2.83%,-0.65%,10.63%,-0.37%,2.33%,-6.01%,12.85%,3.11%,5.28%,-3.88%,8.10%,5.88%,4.93%,-,-,-,-,
24,Return on Capital (ROIC),11.95%,1.41%,4.32%,-1.03%,17.04%,-0.57%,3.57%,-9.86%,22.18%,5.33%,9.12%,-6.80%,15.04%,11.66%,9.66%,-,-,-,-,
25,Return on Capital Employed (ROCE),5.90%,6.70%,8.44%,7.51%,-,3.97%,-,8.74%,-,12.34%,8.28%,9.28%,-,11.21%,22.12%,26.80%,26.40%,-,-,-
26,Earnings Yield,4.26%,4.13%,4.51%,3.86%,3.34%,3.18%,4.11%,4.78%,6.11%,6.50%,4.95%,3.89%,3.14%,3.77%,-,-,-,-,-,-
27,FCF Yield,2.74%,2.66%,6.26%,3.41%,2.39%,-0.71%,-0.46%,5.27%,3.96%,4.46%,1.93%,-2.04%,0.04%,3.23%,-,-,-,-,-,-
28,Dividend Yield,1.98%,-,-,-,1.76%,-,-,-,1.95%,-,-,-,0.68%,-,-,-,-,-,-,-
