,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,631.22,906.3,740.92,988.18,823.87,955.34,914.92,891.51,1131,991.82,995.69,708.86,1855,649.02,683.38,782.11,-,-,-
1,Short-Term Investments,-,-,-,13.2,-,-,-,12.03,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,985.85,906.21,875.11,602.94,774.86,433.96,662.34,996.7,1068,793.99,464.44,816.26,163.39,68.41,103.75,257.97,-,-,-
3,Cash & Short-Term Investments,1617,1813,1616,1604,1599,1389,1577,1900,2199,1786,1460,1525,2018,717.43,787.13,1040,-,-,876.83
4,Cash Growth,1.15%,30.46%,2.46%,-15.57%,-27.29%,-22.20%,8.02%,24.60%,8.94%,148.92%,85.50%,46.63%,-,-,-10.23%,-,-,-,-
5,Accounts Receivable,1391,1164,1074,1141,1262,1163,1077,1008,1497,1601,1483,1234,1305,1062,1080,1112,-,-,-
6,Other Receivables,35.91,3.41,27.28,2.74,30.17,0.44,33.51,2.44,26.78,3.92,34.96,17.18,31.79,12.4,1.79,14.8,-,-,-
7,Receivables,1427,1168,1101,1144,1292,1164,1110,1010,1524,1605,1518,1251,1337,1077,1086,1132,-,-,-
8,Inventory,902.91,976.43,763.02,784.97,774.96,938.05,888.59,962.75,948.29,1209,1287,1298,1368,1199,953.44,856.54,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.94,-,-,-,-,-,-,-,-,-
10,Other Current Assets,539.93,229.94,166.09,279.72,156.07,196.31,147.98,222.86,105.27,141.19,126.41,294.99,138.09,181.14,114.99,114.85,-,-,-
11,Total Current Assets,4487,4187,3647,3813,3822,3687,3724,4096,4776,4742,4391,4370,4862,3175,2942,3143,-,-,-
12,"Property, Plant & Equipment",1192,1181,1171,1201,1042,978.27,905.89,876.51,869.02,850.49,845.74,798.89,757.59,697.66,702.16,662,-,-,-
13,Long-Term Investments,31.33,582.36,34.29,610.07,33.44,569.21,33.18,387.56,33.27,152.36,33.86,160.73,4.27,4.5,4.8,4.86,-,-,-
14,Other Intangible Assets,117.51,118.94,120.91,122.01,292.94,300.05,129.27,131.37,131.62,133.64,134.65,136.81,133.82,134.59,134.59,136.75,-,-,-
15,Long-Term Deferred Tax Assets,109.93,118.84,114.82,105.09,101.09,108.99,99.69,80.05,132.56,122.38,128.09,91.37,114.29,99.53,92.38,77.47,-,-,-
16,Long-Term Deferred Charges,29.71,29.27,34.56,28.18,31.18,34.96,29.83,33.95,11.63,2.55,2.89,1.22,0.25,0.49,0.49,0.43,-,-,-
17,Other Long-Term Assets,536.48,148.2,698.64,132.25,642.49,86.92,660.85,98.65,391.21,94.11,245.1,87.9,61.29,61.32,37.67,29.2,-,-,-
18,Total Assets,6504,6365,5821,6011,5965,5766,5583,5704,6345,6098,5781,5647,5933,4173,3914,4054,-,-,-
19,Accounts Payable,1915,1825,1529,1710,1814,1721,1492,1516,2092,2140,2017,2064,2157,1808,1521,1626,-,-,-
20,Accrued Expenses,189.47,239.79,163.8,282.64,174.9,231.05,153.83,305.47,187.83,223.2,136.55,252.81,122.45,181.07,190.49,262.97,-,-,-
21,Short-Term Debt,207.72,207.09,47.54,47.54,-,100,302.99,300.2,340.79,372.48,367.41,241.28,453.98,-,100.09,200.18,-,-,-
22,Current Portion of Leases,29.61,29.83,23.97,28.2,27.02,15.9,15.16,24.19,23.26,19.2,9.26,17.12,9.2,7.59,9.26,-,-,-,-
23,Current Income Taxes Payable,22.53,9.39,26.91,10.24,21.99,11.55,21.44,10.36,65.47,24.54,28.42,10.72,26.35,12.7,14.41,10.85,-,-,-
24,Current Unearned Revenue,43.32,37.83,45.34,31.82,46.55,49.96,43.03,48.59,55.37,42.86,29.9,34.63,43.41,43.04,31.84,38.21,-,-,-
25,Other Current Liabilities,85.27,190.24,88.7,42.96,131.79,86.89,102.61,73.87,142.08,34.97,71.83,34.54,85.11,25.38,37.84,20.36,-,-,-
26,Total Current Liabilities,2493,2539,1926,2153,2216,2216,2131,2278,2906,2857,2661,2655,2898,2077,1905,2158,-,-,-
27,Long-Term Debt,211.91,211.91,212.13,212.13,208.13,200.13,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,54.18,54.86,42.14,51.13,54.44,14.28,17.93,21.27,24.81,33.49,45.56,42.85,58.95,20.07,18.87,-,-,-,-
29,Long-Term Unearned Revenue,9.34,9.01,3.48,3.53,3.51,3.06,4.06,3.23,3.04,3.87,4.55,5.22,5.87,6.56,7.5,8.24,-,-,-
30,Long-Term Deferred Tax Liabilities,1.6,2.45,1.97,1.04,0.18,-,-,0.29,38.66,30.93,31.49,-,45.05,32.99,34.4,28.82,-,-,-
31,Other Long-Term Liabilities,66.07,64.65,69.2,67.95,59.22,58.69,63.56,81.18,87.89,61.29,49.21,47.64,33.06,31.5,33.09,31.28,-,-,-
32,Total Liabilities,2836,2882,2255,2489,2542,2492,2216,2384,3061,2986,2792,2751,3040,2168,1999,2227,-,-,-
33,Common Stock,502.01,503.19,504.46,504.26,503.9,503.39,503.45,503.45,500,500,500,500,500,450,450,450,-,-,-
34,Additional Paid-In Capital,843.27,860.24,868.05,863.87,859.34,849.78,844.32,838.08,809.03,809.03,809.03,809.03,812.82,87.68,87.68,87.68,-,-,-
35,Retained Earnings,2296,2165,2246,2177,2115,1966,2049,2015,1996,1812,1683,1588,1583,1469,1378,1291,-,-,-
36,Treasury Stock,-,-9.84,-20.01,-20.01,-31.73,-27.71,-28.22,-28.22,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,26.6,-35.74,-32.16,-3.21,-22.84,-17.86,-2.44,-8.86,-20.99,-10.56,-2.92,-2.34,-3.85,-3.95,-3.87,-3.92,-,-,-
38,Total Common Equity,3668,3483,3566,3522,3423,3274,3366,3319,3284,3110,2989,2894,2892,2002,1912,1825,-,-,1379
39,Minority Interest,-,-,-,-,-,-,-,0.71,0.85,0.92,0.65,1.12,0.82,1.77,2.52,2.49,-,-,-
40,Shareholders' Equity,3668,3483,3566,3522,3423,3274,3366,3320,3285,3111,2990,2895,2893,2004,1915,1827,-,-,1381
41,Total Liabilities & Equity,6504,6365,5821,6011,5965,5766,5583,5704,6345,6098,5781,5647,5933,4173,3914,4054,-,-,-
42,Total Debt,503.41,503.69,325.78,339.01,289.59,330.31,336.08,345.66,388.86,425.18,422.23,301.25,522.13,27.66,128.23,200.18,-,-,350.36
43,Net Cash (Debt),1114,1309,1290,1265,1309,1059,1241,1555,1810,1361,1038,1224,1496,689.77,658.9,839.89,-,-,526.47
44,Net Cash Growth,-14.93%,23.59%,3.95%,-18.61%,-27.66%,-22.17%,19.59%,27.02%,20.96%,97.26%,57.52%,45.72%,-,-,25.15%,-,-,-,-
45,Net Cash Per Share,2.23,2.59,2.55,2.51,2.60,2.11,2.46,3.10,3.62,2.72,2.08,2.49,2.98,1.57,1.46,1.89,-,-,1.16
46,Filing Date Shares Outstanding,502.01,503.19,504.46,501.7,503.9,503.39,503.45,503.45,500,500,500,500,500,450,450,450,452.69,449.46,453.17
47,Total Common Shares Outstanding,502.01,503.19,504.46,501.7,503.9,503.39,503.45,503.45,500,500,500,500,500,450,450,450,452.69,449.46,453.17
48,Working Capital,1994,1648,1721,1660,1605,1471,1593,1818,1870,1885,1730,1714,1964,1097,1036,984.74,-,-,-
49,Book Value Per Share,7.31,6.92,7.07,7.02,6.79,6.50,6.69,6.59,6.57,6.22,5.98,5.79,5.78,4.45,4.25,4.05,-,-,3.06
50,Tangible Book Value,3550,3364,3446,3400,3130,2973,3237,3188,3152,2977,2854,2758,2758,1868,1778,1688,-,-,1266
51,Tangible Book Value Per Share,7.07,6.69,6.83,6.78,6.21,5.91,6.43,6.33,6.30,5.95,5.71,5.52,5.52,4.15,3.95,3.75,-,-,2.81
52,Land,-,-,-,173.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Buildings,-,734.15,-,734.03,-,712.07,-,574.18,-,577.37,-,519.87,-,444.1,444.1,444.1,-,-,-
54,Machinery,-,693.67,-,684.1,-,658.03,-,635.2,-,597.47,-,587.11,-,548.3,540.82,531.84,-,-,-
55,Construction In Progress,-,176.93,-,152.27,-,153.77,-,149.42,-,107.53,-,86.61,-,83.51,72.95,42.99,-,-,-
