,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,2006,1520,1414,1492,2042,1539,1481,1381,2197,2053,1793,1635,1962,1392,1304,1361,1736,1382,800.43
1,Other Revenue,-45.29,45.29,-,126.99,-47.28,47.28,-,133.46,-65.39,65.39,-,184.17,-82.56,82.56,-,137.98,-54.09,54.09,-
2,Revenue,1961,1565,1414,1619,1995,1586,1481,1514,2132,2118,1793,1819,1879,1474,1304,1499,1682,1436,800.43
3,Revenue Growth (YoY),-1.70%,-1.32%,-4.52%,6.92%,-6.42%,-25.13%,-17.40%,-16.78%,13.44%,43.67%,37.50%,21.37%,11.73%,2.65%,62.93%,-,-,-,-
4,Cost of Revenue,1386,1144,992.59,1206,1311,1178,1074,1223,1438,1720,1371,1478,1409,1159,962.58,1152,1113,1035,543.86
5,Gross Profit,574.64,420.9,421.69,413.56,684.43,408.05,407.62,291.72,694.18,397.87,422.46,341.48,470.15,315.59,341.6,347.6,569.49,401.6,256.58
6,"Selling, General & Admin",300.06,280.52,263.98,333.01,308.19,290.85,257.47,311.41,272.87,219.84,193.02,234.12,188.97,161.43,165.57,191.86,161.81,138.96,134.17
7,Research & Development,86.82,105.68,101.34,102.3,120.05,119.64,105.21,108.2,109.86,101.95,96.2,129.66,101.91,83.74,110.9,123.17,110.79,92.3,83.06
8,Other Operating Expenses,-19.91,6.81,-5.9,0.03,0.73,1.42,-11.79,44.38,-2.36,-6.79,-0.46,58.9,4.09,-23.67,-10.56,38.37,1.06,-12.64,6.39
9,Operating Expenses,379.61,398.66,354.74,429.18,435.04,416.36,354.97,436.47,374.31,323.86,301.87,431.43,306.35,220.56,262.99,344.73,282.6,231.74,215.76
10,Operating Income,195.04,22.24,66.95,-15.62,249.39,-8.31,52.65,-144.74,319.87,74.01,120.59,-89.95,163.8,95.02,78.61,2.87,286.89,169.86,40.81
11,Interest Expense,-2.82,-1.81,-2.21,-2.22,-4.73,-3.19,-2.03,-1.54,-17.33,-2.66,-1.14,-2.92,-0.72,-3.81,-12.6,-3.56,-4.19,-6.56,-4.02
12,Interest & Investment Income,16.78,9.75,21.91,6.37,-,3.37,20.34,6.62,-,-,25.77,20.01,7.45,9.78,12.92,53.14,13.46,-,6.7
13,Currency Exchange Gain (Loss),-28.42,28.42,-,14.7,-51.46,51.46,-,195.51,-109.1,109.1,-,-32.57,11.12,-11.12,-,-105.7,-10.71,-1.69,12.4
14,Other Non Operating Income (Expenses),-11.21,-9.54,7.44,-42.7,37.71,29.26,-32.98,-212.15,213.29,4.22,-8.26,9.86,-9.42,-15.88,14.57,41.18,-40.95,-1.33,-1.64
15,EBT Excluding Unusual Items,169.37,49.06,94.09,-39.47,230.91,72.59,37.99,-156.31,406.74,184.67,136.96,-95.56,172.22,73.99,93.5,-12.07,244.51,160.28,54.26
16,Gain (Loss) on Sale of Investments,11.92,1.98,-14.58,41.79,-8.37,-27.09,6.58,20.4,-78.35,-1.48,-9.33,14.96,8.89,-0,-3.11,-18.98,39.89,0.93,-36.21
17,Gain (Loss) on Sale of Assets,0.49,0.39,0.05,0.45,0.34,0.07,0.3,-2.83,1.29,0.36,-0.03,-0.89,-1.38,-2.44,-0,-0.8,1.36,-0.64,-0
18,Asset Writedown,-24.93,12.9,-12.9,60.26,-61.63,21.39,-21.47,99.13,-108.5,31.42,-34.06,4.26,-57.94,9.34,-9.34,32.41,-33.07,-2.23,-0.18
19,Other Unusual Items,-16.23,17.29,-2.58,0.85,1.79,-1.79,-,43.03,-0.06,0.06,-,66.36,-0.58,0.58,-,41.3,0.01,-11.17,11.15
20,Pretax Income,140.62,81.6,64.08,63.88,163.05,65.17,23.4,3.42,221.13,215.03,93.53,-10.87,121.22,81.48,81.05,41.85,252.7,147.17,29.02
21,Income Tax Expense,10.9,1.3,-4.77,1.24,14.38,-2.75,-10.96,-15.33,31.83,23.8,-1.31,-20.28,6.96,-8.21,-6.4,-16.77,31.75,9.59,1.96
22,Earnings From Continuing Operations,129.72,80.3,68.85,62.64,148.67,67.92,34.36,18.75,189.3,191.22,94.84,9.41,114.25,89.69,87.44,58.63,220.95,137.59,27.07
23,Minority Interest in Earnings,-,-,-,-,-,-,-0,0.13,-0.18,-0.27,0.47,-0.3,0.1,0.74,-0.03,-0.65,0.58,2.21,0.12
24,Net Income,129.72,80.3,68.85,62.64,148.67,67.92,34.36,18.88,189.12,190.95,95.31,9.11,114.36,90.43,87.41,57.97,221.54,139.8,27.19
25,Net Income to Common,129.72,80.3,68.85,62.64,148.67,67.92,34.36,18.88,189.12,190.95,95.31,9.11,114.36,90.43,87.41,57.97,221.54,139.8,27.19
