,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,4688,5678,6251,6303,8204,6980,9350,7944,6954,7657,10418,Upgrade
1,Market Cap Growth,-9.92%,-9.92%,-23.81%,-9.70%,-12.26%,-12.13%,34.46%,3.74%,-33.25%,-26.50%,83.49%,Upgrade
2,Last Close Price,1.80,2.18,2.40,2.42,3.15,2.68,3.59,3.05,2.67,2.94,4.00,Upgrade
3,PE Ratio,-,-70.29,-,-7.91,-,-,27.28,-,13.81,37.17,14.59,Upgrade
4,PS Ratio,2.43,2.94,2.75,2.47,3.26,2.05,2.37,2.10,1.86,2.45,2.78,Upgrade
5,PB Ratio,0.54,0.64,0.69,0.70,0.89,0.64,0.78,0.70,0.62,0.77,0.88,Upgrade
6,P/FCF Ratio,13.96,-,-20.21,-,3.64,1.91,12.21,-,-,1.79,4.29,Upgrade
7,P/OCF Ratio,13.51,-,-28.12,-,3.45,1.83,9.77,-,-,1.73,4.03,Upgrade
8,Debt / Equity Ratio,1.59,1.59,1.24,1.16,1.13,1.30,1.22,1.29,1.15,1.01,0.75,Upgrade
9,Debt / FCF Ratio,41.71,-,-36.27,-,4.65,3.89,19.03,-,-,2.35,3.66,Upgrade
10,Earnings Yield,-1.72%,-1.42%,1.13%,-12.65%,-17.73%,-1.07%,3.67%,4.89%,8.10%,4.14%,7.95%,Upgrade
11,FCF Yield,7.16%,5.92%,-4.95%,-4.80%,27.51%,52.33%,8.19%,-36.67%,18.72%,56.00%,23.32%,Upgrade
