,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Cash & Equivalents,1968,1834,2090,1798,2128,1509,1237,1714,1581,2109,Upgrade
1,Short-Term Investments,11895,10476,11951,11915,14116,14240,12583,11940,11657,9585,Upgrade
2,Trading Asset Securities,9745,7654,6333,6153,9589,10272,10602,9771,8550,10727,Upgrade
3,Other Receivables,508.96,396.23,436.42,458.68,583.5,619.4,562.83,740.73,648.87,706.01,Upgrade
4,"Property, Plant & Equipment",411.64,465.17,452.21,510.46,543.76,540.35,495.83,521.55,697.55,693.9,Upgrade
5,Goodwill,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,Upgrade
6,Other Intangible Assets,153.82,168.49,138.88,160.8,133.24,154.99,130.2,147.91,110.78,129.7,Upgrade
7,Investments in Debt & Equity Securities,2756,2453,2832,2760,3272,2465,2309,1948,1648,-,Upgrade
8,Other Current Assets,5655,5729,5593,5298,5272,5935,6000,5767,5025,4792,Upgrade
9,Long-Term Deferred Tax Assets,732.63,792.05,721.24,780.07,398.48,272.01,241.34,267.37,249.11,205.29,Upgrade
10,Other Long-Term Assets,1318,1153,1000,1091,1311,1130,986.34,693.57,832.45,494.81,Upgrade
11,Total Assets,35223,31203,31635,31021,37448,37243,35235,33596,31080,29527,Upgrade
12,Accounts Payable,12144,10510,12030,11765,14369,13867,12045,11393,11140,9072,Upgrade
13,Accrued Expenses,354.8,489.47,1093,1094,822.68,892.25,661.19,760.92,468.84,538.7,Upgrade
14,Short-Term Debt,7826,5707,4072,4669,6749,6051,5426,5130,5509,4689,Upgrade
15,Current Portion of Long-Term Debt,1701,950,3996,4428,1780,2230,3060,2060,2026,1610,Upgrade
16,Current Portion of Leases,73.33,75.66,78.43,91.56,88.5,66.73,61.76,66.71,68.19,67.11,Upgrade
17,Other Current Liabilities,520.02,876.81,461.15,687.31,782.09,821.63,952.47,1041,1056,1198,Upgrade
18,Long-Term Debt,3378,3363,1462,-,3408,3398,3495,3488,1500,1500,Upgrade
19,Long-Term Leases,59.19,90.49,63.31,89.76,109.64,118.97,74.02,78.93,81.83,87.72,Upgrade
20,Long-Term Deferred Tax Liabilities,0.01,0.01,0.02,0.02,0.8,15.19,18.46,61.64,64.39,132.07,Upgrade
21,Other Long-Term Liabilities,936,936,-,-,-,-,-,-,-,-,Upgrade
22,Total Liabilities,26999,23013,23263,22835,28123,27519,25811,24160,21973,18949,Upgrade
23,Common Stock,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,Upgrade
24,Additional Paid-In Capital,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,Upgrade
25,Retained Earnings,3891,3834,3963,3770,4701,5056,4765,4761,4442,4405,Upgrade
26,Comprehensive Income & Other,-39.26,-50.64,-16.53,-42.78,-31.82,-7.34,-8.34,-,-8.02,1500,Upgrade
27,Total Common Equity,8122,8053,8217,7997,8939,9319,9026,9031,8704,10175,Upgrade
28,Minority Interest,101.77,136.65,154.91,188.63,385.64,404.72,397.89,404.53,403.3,403.47,Upgrade
29,Shareholders' Equity,8224,8190,8371,8186,9325,9724,9424,9436,9107,10578,Upgrade
30,Total Liabilities & Equity,35223,31203,31635,31021,37448,37243,35235,33596,31080,29527,Upgrade
31,Total Debt,13038,10186,9673,9279,12135,11865,12117,10824,9186,7954,Upgrade
32,Net Cash (Debt),10570,9778,10701,10588,13698,14156,12305,12601,12602,14467,Upgrade
33,Net Cash Growth,-1.23%,-7.65%,-21.88%,-25.21%,11.32%,12.34%,-2.36%,-12.90%,-24.10%,8.94%,Upgrade
34,Net Cash Per Share,4.06,3.75,4.11,4.07,5.26,5.44,4.72,4.84,4.84,5.55,Upgrade
35,Filing Date Shares Outstanding,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,Upgrade
36,Total Common Shares Outstanding,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,Upgrade
37,Working Capital,7146,7466,4666,2879,7084,8589,8762,9400,7134,10690,Upgrade
38,Book Value Per Share,3.12,3.09,3.15,3.07,3.43,3.58,3.47,3.47,3.34,3.33,Upgrade
39,Tangible Book Value,7924,7841,8034,7793,8762,9120,8852,8840,8549,10002,Upgrade
40,Tangible Book Value Per Share,3.04,3.01,3.08,2.99,3.36,3.50,3.40,3.39,3.28,3.26,Upgrade
