,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1514,1049,989,1074,1133,1252,1091,1378,2052,2441,1787,Upgrade
1,Market Cap Growth,-2.36%,-2.36%,-12.69%,-14.19%,3.88%,-9.20%,-46.85%,-43.54%,14.86%,40.94%,-10.35%,Upgrade
2,Enterprise Value,4533,4269,4759,4947,6641,6660,6328,6404,6858,6499,6025,Upgrade
3,Last Close Price,1.79,1.24,1.17,1.27,1.29,1.42,1.17,1.48,1.99,2.43,1.64,Upgrade
4,PE Ratio,-,-,-,-,6.58,5.20,6.72,-22.83,-,5.80,12.25,Upgrade
5,Forward PE,-,5.06,5.06,5.06,5.06,6.65,6.70,5.05,7.73,4.52,6.12,Upgrade
6,PS Ratio,0.23,0.16,0.14,0.15,0.14,0.12,0.10,0.13,0.20,0.27,0.20,Upgrade
7,PB Ratio,0.29,0.16,0.15,0.16,0.15,0.16,0.13,0.17,0.25,0.33,0.24,Upgrade
8,P/TBV Ratio,0.20,0.20,0.18,0.20,0.19,0.20,0.16,0.21,0.32,0.43,0.31,Upgrade
9,P/FCF Ratio,2.10,2.10,2.36,0.79,0.66,-35.88,-,-8.12,-,-,4.54,Upgrade
10,P/OCF Ratio,1.17,1.17,1.65,0.64,0.50,1.66,-,1.12,3.51,4.64,1.56,Upgrade
11,PEG Ratio,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,Upgrade
12,EV/Sales Ratio,0.70,0.66,0.69,0.71,0.80,0.62,0.56,0.60,0.68,0.71,0.68,Upgrade
13,EV/EBITDA Ratio,7.13,6.94,7.61,24.48,-,5.27,4.96,4.49,4.55,4.37,4.48,Upgrade
14,EV/EBIT Ratio,-,-,-25.50,-,-,37.42,28.36,14.04,11.94,11.70,17.82,Upgrade
15,EV/FCF Ratio,9.06,8.53,11.35,3.64,3.88,-190.93,-,-37.74,-,-,15.32,Upgrade
16,Debt / Equity Ratio,0.47,0.47,0.49,0.57,0.58,0.63,0.57,0.51,0.55,0.55,0.51,Upgrade
17,Debt / FCF Ratio,6.09,6.09,7.82,2.83,2.52,-144.84,-,-24.93,-,-,9.61,Upgrade
18,Return on Capital Employed (ROCE),-,-,-2.50%,-,-,1.93%,2.24%,4.72%,5.88%,6.83%,4.00%,Upgrade
19,Earnings Yield,-16.02%,-23.12%,-23.33%,0.04%,15.19%,19.22%,14.89%,-4.38%,6.36%,17.23%,8.17%,Upgrade
20,FCF Yield,33.06%,47.72%,42.37%,126.61%,150.86%,-2.79%,-30.51%,-12.31%,-32.61%,-10.54%,22.00%,Upgrade
21,Buyback Yield / Dilution,-,-,-,0.06%,0.87%,3.01%,3.86%,4.79%,5.15%,5.70%,Upgrade,
22,Total Shareholder Return,-,-,-,0.06%,0.87%,3.01%,3.86%,4.79%,5.15%,5.70%,Upgrade,
