,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,772,991,1029,1307,2109,2952,3965,5694,4766,4471,5544
1,Market Cap Growth,-24.19%,-24.19%,-51.20%,-55.71%,-46.81%,-48.15%,-16.81%,27.36%,-14.04%,-24.81%,5.34%
2,Enterprise Value,1821,639,385,67,1906,1976,3687,4977,4349,3745,5494
3,Last Close Price,0.18,0.23,0.23,0.26,0.41,0.53,0.72,1.02,0.85,0.80,1.02
4,PE Ratio,-,-18.85,-,2.73,3.81,4.73,5.60,16.97,-,10.99,14.51
5,Forward PE,-,1.30,1.30,1.80,2.36,2.96,4.19,7.37,7.37,7.89,9.86
6,PS Ratio,0.32,0.41,0.40,0.53,0.79,1.04,1.35,2.63,3.62,3.99,4.93
7,PB Ratio,0.14,0.15,0.16,0.24,0.37,0.51,0.67,1.05,0.96,0.97,1.28
8,P/TBV Ratio,0.39,0.39,0.41,0.60,0.99,1.45,2.05,2.80,1.95,1.74,2.66
9,P/FCF Ratio,-,-,3.70,-,5.62,-,14.62,-,16.22,-,30.60
10,P/OCF Ratio,50.29,-,1.69,-,2.59,-,3.89,-,8.78,-,12.72
11,PEG Ratio,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.44,0.55
12,EV/Sales Ratio,0.76,0.27,0.15,0.03,0.72,0.69,1.25,2.30,3.31,3.34,4.88
13,EV/EBITDA Ratio,2.88,1.08,0.48,0.08,2.25,2.07,3.62,6.11,8.22,8.13,11.90
14,EV/EBIT Ratio,5.46,1.90,0.72,0.12,3.27,2.89,4.88,8.14,11.53,11.60,16.61
15,EV/FCF Ratio,-5.08,-,1.38,-,5.08,-,13.59,-,14.80,-,30.32
16,Debt / Equity Ratio,0.40,0.40,0.36,0.46,0.47,0.45,0.41,0.43,0.46,0.19,0.17
17,Debt / FCF Ratio,-,-,8.46,-,7.10,-,8.96,-,7.69,-,4.02
18,Return on Capital Employed (ROCE),4.12%,4.12%,6.43%,6.89%,6.91%,7.04%,7.59%,6.92%,4.48%,5.02%,5.28%
19,Earnings Yield,-6.81%,-5.31%,14.87%,36.63%,26.27%,21.12%,17.86%,5.89%,3.28%,9.10%,6.89%
20,FCF Yield,-46.46%,-36.18%,27.06%,32.38%,17.80%,7.39%,6.84%,0.98%,6.16%,9.49%,3.27%
21,Buyback Yield / Dilution,-,-,-,-,-,0.02%,-4.24%,-5.00%,-0.58%,0.09%,
22,Total Shareholder Return,5.36%,-,-,-,-,-,0.02%,-4.24%,-5.00%,-0.58%,0.09%
