,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7558,4861,3175,3643,2579,2340,2098,2316,2280,2690,3528,-,-,-,-,-
1,Market Cap Growth,107.73%,107.73%,51.30%,57.28%,13.10%,-13.02%,-40.53%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7643,4822,3202,3679,2615,2329,2061,2011,1975,2308,3591,-,-,-,-,-
3,Last Close Price,48.45,31.16,20.35,23.35,16.53,15.00,13.45,14.82,14.59,16.99,22.28,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,31.64,30.83,32.62,52.59,-,-,-,-,-
5,PS Ratio,53.33,34.26,25.87,25.75,14.50,8.21,5.07,4.98,4.79,4.49,6.67,-,-,-,-,-
6,PB Ratio,9.09,5.77,3.74,4.17,2.94,2.60,2.31,2.52,2.51,3.06,3.96,-,-,-,-,-
7,P/TBV Ratio,5.93,5.93,3.84,4.28,3.02,2.66,2.36,2.58,2.57,3.14,4.06,-,-,-,-,-
8,P/FCF Ratio,-,-212.57,-,-,-10993.08,-,-,-,-13.51,-,-,-,-,-,-,-
9,P/OCF Ratio,53.13,53.13,-,-,19.99,21.25,-,51.96,-20.35,-,-,-,-,-,-,-
10,EV/Sales Ratio,53.86,33.98,26.09,26.01,14.70,8.17,4.98,4.33,4.15,3.85,6.79,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,24.48,21.26,21.54,42.75,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,25.06,23.30,23.24,47.19,-,-,-,-,-
13,EV/FCF Ratio,-334.21,-210.88,-,-,-11148.64,-,-,-,-11.70,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.32,0.32,0.25,0.20,0.18,0.18,0.13,0.11,0.14,0.12,0.08,0.23,0.20,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,1.97,1.06,0.83,1.71,0.94,0.45,-,-,-
16,Debt / FCF Ratio,-,-11.62,-,-,-665.33,-,-,-,-0.74,-,-,-,-2.10,-,-,-
17,Asset Turnover,0.10,0.14,0.07,0.08,0.05,0.18,0.16,0.36,0.43,0.44,0.33,-,-,-,-,
18,Inventory Turnover,5.01,2.21,2.85,4.14,8.37,10.15,36.77,35.03,61.88,65.10,50.42,38.65,-,-,-,-
19,Quick Ratio,1.72,1.72,1.72,1.56,1.48,1.56,1.58,1.53,1.53,2.26,2.82,1.59,1.52,-,-,-
20,Current Ratio,1.87,1.87,1.91,1.65,1.53,1.65,1.63,1.57,1.55,2.27,2.85,1.69,1.53,-,-,-
21,Return on Equity (ROE),-3.05%,-10.86%,-1.77%,-10.91%,-2.68%,-3.47%,4.66%,12.95%,10.65%,6.36%,12.11%,-,-,-,-,
22,Return on Assets (ROA),-2.91%,-4.70%,-1.18%,-4.55%,-2.26%,-2.09%,2.06%,4.51%,5.58%,2.21%,4.92%,-,-,-,-,
23,Return on Capital (ROIC),-3.94%,-6.31%,-1.61%,-6.33%,-3.21%,-3.05%,3.07%,6.71%,7.98%,3.34%,9.25%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,7.90%,8.38%,10.19%,7.98%,17.47%,16.94%,-,-,-
25,Earnings Yield,-0.77%,-1.20%,-1.82%,-1.16%,-1.07%,1.12%,2.65%,3.16%,3.24%,3.07%,1.90%,-,-,-,-,-
26,FCF Yield,-0.30%,-0.47%,-1.07%,-0.41%,-0.01%,-1.79%,-3.83%,-3.47%,-7.40%,-6.27%,-3.30%,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,1.74%,-,1.04%,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,7.48%,127.26%,12.88%,-,-,-,-,-,-
29,Buyback Yield / Dilution,-11.02%,-25.19%,-23.03%,-0.15%,-0.83%,20.20%,11.44%,-33.37%,-32.95%,-33.37%,-22.18%,-0.00%,-,-,-,-
30,Total Shareholder Return,-11.02%,-25.19%,-23.03%,-0.15%,-0.83%,20.20%,11.44%,-33.37%,-31.21%,-33.37%,-21.14%,-0.00%,-,-,-,-
