,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,148.06,77.14,51.67,66.83,88.56,96.59,107.26,145.77,122.48,214.25,32.85,143.77,-,-,-
1,Short-Term Investments,-,117.98,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,44.2,67.15,107.7,127.83,43.11,43.08,43.08,43.09,294.63,244.5,-,-,-,-,-
3,Cash & Short-Term Investments,192.26,262.27,159.37,194.66,131.68,139.66,150.34,188.85,417.11,458.75,32.85,143.77,-,-,93.82
4,Cash Growth,46.01%,87.79%,6.00%,3.08%,-68.43%,-69.56%,357.59%,31.35%,-,-,-64.98%,-,-,-,-
5,Accounts Receivable,512.99,369.27,368.01,406.85,491.91,562.22,564.3,597.71,589.46,569.64,564.07,552.52,-,-,-
6,Other Receivables,14.66,35.9,12.99,16.61,23.55,40.04,30.94,46.86,51.93,41.78,9.85,17.21,-,-,-
7,Receivables,527.65,405.17,381,423.46,515.46,602.26,595.24,644.57,641.39,611.42,577.83,569.72,-,-,-
8,Inventory,32.51,61.56,20.05,16.98,7.31,6.09,4.93,4.66,4.51,8.45,3.73,6.13,-,-,-
9,Prepaid Expenses,-,-,-,0.32,-,-,-,1.49,-,-,-,-,-,-,-
10,Other Current Assets,31.21,13.09,11.13,3.49,29.71,17.97,17.77,4.85,2.85,2.72,27.05,1.04,-,-,-
