,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,38.57,50.18,24.36,28.8,19.39,68.91,60.8,135.98,148.41,119.51,71.91,259.36,77.89,110.36,74.15
1,Revenue Growth (YoY),98.88%,-27.18%,-59.94%,-78.82%,-86.93%,-42.34%,-15.45%,-47.57%,90.55%,8.29%,-3.02%,-,-,-,-
2,Cost of Revenue,26.04,29.12,19.15,25.4,17.01,50.62,41.98,70.95,105.44,76.76,47.68,177.51,60.28,79.42,56.44
3,Gross Profit,12.53,21.06,5.21,3.4,2.39,18.29,18.82,65.03,42.97,42.74,24.23,81.84,17.61,30.94,17.71
4,"Selling, General & Admin",15.07,10.17,8.41,14.13,8.05,8.97,8.75,11.41,10.07,13.08,7.32,14.6,7.74,7.87,6.53
5,Research & Development,3.35,3.22,2.68,4.26,4.14,5.41,3.43,6.1,3.18,5.33,2.87,8.92,4.38,4.42,2.18
6,Other Operating Expenses,0.35,0.33,0.22,0.15,-1.25,0.44,0.27,1.11,0.1,0.09,0.19,2.99,-0.39,-1.7,0.23
7,Operating Expenses,29.63,47.7,11.9,29.92,15.82,30.81,6.2,37.98,11.99,33.17,7.09,40.22,9.85,18.62,4.82
8,Operating Income,-17.1,-26.64,-6.69,-26.52,-13.43,-12.53,12.62,27.06,30.98,9.58,17.14,41.63,7.76,12.32,12.89
9,Interest Expense,-2.08,-3.57,-0.88,-1.18,-1.12,-1.2,-1.2,-1.34,-1.26,-1.08,-1.02,-1.01,-0.94,-0.77,-
