,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jan '16 Jan 1, 2016","Oct '15 Oct 1, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,4175,4730,5728,3274,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,3783,4305,5144,3218,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,74.56,84.25,102.02,58.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,22.37,40.96,48.61,29.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,4.69,8.02,10.70,6.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,3.46,3.91,4.84,2.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,4.08,4.08,4.91,2.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/FCF Ratio,-,-,-,138.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/OCF Ratio,66.54,125.80,-,32.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,4.76,7.30,9.61,6.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,16.50,27.22,33.26,21.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,20.36,31.26,37.77,24.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,-57.48,-,-,136.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.04,0.04,0.05,0.04,-,-,0.04,0.04,0.07,0.07,0.06,0.06,-,-,-,-,-,-
14,Debt / EBITDA Ratio,0.22,0.23,0.27,0.19,-,-,0.15,0.15,0.20,0.20,0.17,0.17,-,-,-,-,-,-
15,Debt / FCF Ratio,-,-,-,1.92,-,-,1.06,14.20,-,-,1.22,1.09,-,-,-,-,-,-
16,Asset Turnover,0.66,0.59,-,-,-,-,-,1.21,1.26,1.23,1.47,1.54,1.67,1.52,-,-,-,
17,Inventory Turnover,-,4.25,3.75,-,-,-,-,-,4.72,5.51,5.64,6.86,7.84,7.96,6.32,-,-,-
18,Quick Ratio,5.46,5.46,7.65,5.42,-,-,2.77,-,2.35,2.35,3.57,3.57,4.28,4.28,3.32,3.32,-,-
19,Current Ratio,6.55,6.55,9.07,6.21,-,-,3.72,-,3.03,3.03,4.10,4.10,4.99,4.99,3.86,3.86,-,-
20,Return on Equity (ROE),11.74%,11.77%,-,-,-,22.06%,-,30.18%,30.04%,34.35%,39.71%,40.94%,45.82%,42.53%,-,-,-,
21,Return on Assets (ROA),8.77%,6.89%,-,-,-,-,-,14.40%,15.03%,17.37%,20.71%,23.99%,26.11%,22.07%,-,-,-,
22,Return on Capital (ROIC),9.67%,7.58%,-,-,-,13.65%,-,19.56%,19.56%,21.62%,25.65%,29.49%,33.00%,28.87%,-,-,-,
23,Return on Capital Employed (ROCE),14.66%,10.87%,10.95%,10.76%,-,-,12.74%,-,34.17%,34.44%,34.37%,31.89%,41.14%,34.22%,34.65%,23.29%,-,-
24,Earnings Yield,3.99%,2.44%,2.06%,3.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,FCF Yield,-1.58%,-1.70%,-0.90%,0.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Dividend Yield,0.52%,-,0.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,16.91%,-,79.48%,-,-,-,0.28%,0.17%,107.02%,107.02%,0.58%,0.58%,-,-,-,-,-,-
28,Buyback Yield / Dilution,-19.05%,-33.35%,-42.85%,-0.01%,-,-41.64%,-47.99%,-47.99%,-6.22%,-6.22%,-38.36%,-38.36%,1.73%,1.73%,-,-,-,-
29,Total Shareholder Return,-18.53%,-33.35%,-42.66%,-0.01%,-,-41.64%,-47.99%,-47.99%,-6.22%,-6.22%,-38.36%,-38.36%,1.73%,1.73%,-,-,-,-
