,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jan '16 Jan 1, 2016","Oct '15 Oct 1, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Other Revenue,-1.4,1.4,-,-,-0.7,0.7,-,-,-,-,-,-,-,-,-,-,-
1,Revenue,226.06,198.51,164.93,-,171.66,147.18,119.12,40.74,40.74,38.18,38.18,32.18,32.18,26.6,26.6,21.78,21.78
2,Revenue Growth (YoY),31.69%,34.88%,38.46%,-,321.42%,285.45%,211.97%,26.57%,26.57%,43.54%,43.54%,47.79%,47.79%,-,-,-,-
3,Cost of Revenue,136.33,112.94,83.52,-,95.81,89.75,66.34,19.14,19.14,16.36,16.36,14.68,14.68,11.48,11.48,11.42,11.42
4,Gross Profit,89.73,85.57,81.42,-,75.85,57.42,52.79,21.59,21.59,21.82,21.82,17.5,17.5,15.13,15.13,10.36,10.36
5,"Selling, General & Admin",29.65,37.34,20.64,-,21.7,20.14,19.6,13.24,13.24,12.44,12.44,8.54,8.54,8.32,8.32,6.81,6.81
6,Research & Development,11.22,11.27,7.25,-,7.5,6.37,5.98,-,-,-,-,-,-,-,-,-,-
7,Other Operating Expenses,-2.06,-0.56,2.18,-,-2.1,0.48,0.16,0.38,0.38,0.52,0.52,0.39,0.39,0.32,0.32,0.25,0.25
8,Operating Expenses,41.38,48.22,29.38,-,29.03,27.11,26.07,13.81,13.81,13.22,13.22,9.46,9.46,8.93,8.93,7.11,7.11
9,Operating Income,48.35,37.35,52.03,-,46.82,30.31,26.71,7.78,7.78,8.6,8.6,8.04,8.04,6.2,6.2,3.26,3.26
10,Interest Expense,-,-0.11,-0.17,-,-0.14,-,-0.27,-0.11,-0.11,-0.06,-0.06,-,-,-0,-0,-,-
11,Interest & Investment Income,2.01,1.18,0.49,-,0.38,0.28,0.05,0.03,0.03,0.04,0.04,0,0,0.03,0.03,0,0
12,Currency Exchange Gain (Loss),-1.05,1.05,-,-,-1.93,1.93,-,0.05,0.05,0.63,0.63,0.02,0.02,0.28,0.28,0.03,0.03
13,Other Non Operating Income (Expenses),0.59,-1.39,0.45,-,1.15,-0.46,-0.41,-0.04,-0.04,-0.04,-0.04,0.27,0.27,-0,-0,0.23,0.23
14,EBT Excluding Unusual Items,49.9,38.09,52.8,-,46.29,32.06,26.09,7.72,7.72,9.17,9.17,8.33,8.33,6.5,6.5,3.52,3.52
15,Gain (Loss) on Sale of Investments,-0.02,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.09,0.05,-,-,0.01,0,-,-,-,0.01,0.01,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01
17,Asset Writedown,-4.27,0.61,-0.71,-,-2.89,1.47,-1.55,-,-,-,-,-,-,-,-,-,-
18,Other Unusual Items,-2.96,0.15,2.32,-,0.01,-0.01,-,1.03,1.03,0.41,0.41,-,-,-,-,-,-
19,Pretax Income,42.56,39.85,54.41,-,43.41,33.52,24.54,8.74,8.74,9.59,9.59,8.33,8.33,6.48,6.48,3.51,3.51
20,Income Tax Expense,7.45,5.09,8.81,-,5.95,4.11,2.9,1.76,1.76,1.57,1.57,1.35,1.35,0.77,0.77,0.57,0.57
21,Net Income,35.11,34.76,45.6,-,37.46,29.41,21.64,6.98,6.98,8.02,8.02,6.98,6.98,5.71,5.71,2.94,2.94
22,Net Income to Common,35.11,34.76,45.6,-,37.46,29.41,21.64,6.98,6.98,8.02,8.02,6.98,6.98,5.71,5.71,2.94,2.94
23,Net Income Growth,-6.27%,18.21%,110.73%,-,436.48%,266.58%,169.73%,0.06%,0.06%,40.59%,40.59%,137.26%,137.26%,-,-,-,-
24,Shares Outstanding (Basic),56,60,42,-,42,42,42,30,30,28,28,28,28,21,21,28,28
25,Shares Outstanding (Diluted),56,60,42,-,42,42,42,30,30,28,28,28,28,21,21,28,28
26,Shares Change (YoY),33.35%,42.85%,0.01%,-,41.64%,47.99%,47.99%,6.22%,6.22%,38.36%,38.36%,-1.73%,-1.73%,-,-,-,-
27,EPS (Basic),0.63,0.58,1.09,-,0.89,0.70,0.52,0.24,0.24,0.28,0.28,0.25,0.25,0.28,0.28,0.10,0.10
28,EPS (Diluted),0.63,0.58,1.09,-,0.89,0.70,0.52,0.24,0.24,0.28,0.28,0.25,0.25,0.28,0.28,0.10,0.10
29,EPS Growth,-29.71%,-17.25%,110.71%,-,278.76%,148.36%,82.74%,-5.80%,-5.80%,1.35%,1.35%,141.43%,141.43%,-,-,-,-
30,Free Cash Flow,-31.51,-52.45,3.73,-,-2.98,22.87,1.14,-0.25,-0.25,0.64,0.64,1.81,1.81,1.27,1.27,-3.83,-3.83
31,Free Cash Flow Per Share,-0.56,-0.87,0.09,-,-0.07,0.54,0.03,-0.01,-0.01,0.02,0.02,0.06,0.06,0.06,0.06,-0.13,-0.13
32,Dividend Per Share,-,0.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,39.69%,43.10%,49.36%,-,44.18%,39.02%,44.31%,53.01%,53.01%,57.15%,57.15%,54.38%,54.38%,56.86%,56.86%,47.58%,47.58%
34,Operating Margin,21.39%,18.81%,31.55%,-,27.28%,20.59%,22.42%,19.10%,19.10%,22.52%,22.52%,24.99%,24.99%,23.30%,23.30%,14.95%,14.95%
35,Profit Margin,15.53%,17.51%,27.65%,-,21.82%,19.98%,18.16%,17.14%,17.14%,21.01%,21.01%,21.68%,21.68%,21.45%,21.45%,13.51%,13.51%
36,Free Cash Flow Margin,-13.94%,-26.42%,2.26%,-,-1.74%,15.54%,0.96%,-0.60%,-0.60%,1.67%,1.67%,5.63%,5.63%,4.76%,4.76%,-17.58%,-17.58%
37,EBITDA,55.01,44.46,58.69,-,51.52,36.89,31.41,8.5,8.5,8.96,8.96,8.52,8.52,6.78,6.78,3.82,3.82
38,EBITDA Margin,24.33%,22.40%,35.58%,-,30.01%,25.06%,26.37%,20.88%,20.88%,23.46%,23.46%,26.48%,26.48%,25.49%,25.49%,17.54%,17.54%
39,D&A For EBITDA,6.65,7.11,6.65,-,4.7,6.58,4.7,0.72,0.72,0.36,0.36,0.48,0.48,0.58,0.58,0.56,0.56
40,EBIT,48.35,37.35,52.03,-,46.82,30.31,26.71,7.78,7.78,8.6,8.6,8.04,8.04,6.2,6.2,3.26,3.26
41,EBIT Margin,21.39%,18.81%,31.55%,-,27.28%,20.59%,22.42%,19.10%,19.10%,22.52%,22.52%,24.99%,24.99%,23.30%,23.30%,14.95%,14.95%
42,Effective Tax Rate,17.50%,12.77%,16.19%,-,13.71%,12.27%,11.82%,20.13%,20.13%,16.33%,16.33%,16.17%,16.17%,11.93%,11.93%,16.13%,16.13%
43,Revenue as Reported,226.06,198.51,164.93,-,171.66,147.18,119.12,40.74,40.74,38.18,38.18,32.18,32.18,26.6,26.6,21.78,21.78
