,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jan '16 Jan 1, 2016","Oct '15 Oct 1, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,97.05,105.4,628.94,-,-,81.39,-,25.54,25.54,40.05,40.05,19.73,19.73,16.1,16.1,-,-
1,Trading Asset Securities,347,374.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,444.05,480.15,628.94,-,-,81.39,53.27,25.54,25.54,40.05,40.05,19.73,19.73,16.1,16.1,-,10.12
3,Cash Growth,-,489.91%,1080.59%,-,-,103.24%,33.02%,29.46%,29.46%,148.69%,148.69%,-,94.89%,-,-,-,-
4,Accounts Receivable,336.13,296.39,233.73,-,-,208.63,-,64.94,64.94,54.59,54.59,41.84,41.84,34.71,34.71,-,-
5,Other Receivables,5.36,8.12,31.85,-,-,3.43,-,1.75,1.75,1.36,1.36,0.88,0.88,0.98,0.98,-,-
6,Receivables,341.49,304.5,265.58,-,-,212.06,-,66.69,66.69,55.95,55.95,42.72,42.72,35.7,35.7,-,-
7,Inventory,132.61,124.04,116.66,-,-,86.54,-,16.22,16.22,11.6,11.6,7.49,7.49,7.26,7.26,-,-
8,Other Current Assets,24.43,21.29,15.24,-,-,14.4,-,10.62,10.62,2.61,2.61,2.81,2.81,1.26,1.26,-,-
9,Total Current Assets,942.58,929.98,1026,-,-,394.39,-,119.06,119.06,110.21,110.21,72.75,72.75,60.32,60.32,-,-
10,"Property, Plant & Equipment",358.71,341.77,285.87,-,-,246.95,-,14.33,14.33,11.48,11.48,9.45,9.45,8.21,8.21,-,-
11,Other Intangible Assets,49.55,18.71,17.49,-,-,17.61,-,0.17,0.17,0.12,0.12,0.2,0.2,0.26,0.26,-,-
12,Long-Term Accounts Receivable,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,18.57,14.98,5.21,-,-,5.04,-,1.56,1.56,1.15,1.15,0.67,0.67,0.5,0.5,-,-
14,Long-Term Deferred Charges,5.81,3.86,4.24,-,-,4.91,-,-,-,-,-,0.58,0.58,0.16,0.16,-,-
