,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,4571,5750,5818,7556,5345,5725,7503,9754,9168,6676
1,Revenue Growth (YoY),-21.44%,-23.90%,8.87%,31.99%,-28.77%,-41.31%,-18.17%,46.11%,108.24%,70.98%
2,Cost of Revenue,4788,6082,5839,4624,6025,4209,6030,5250,6623,4743
3,Gross Profit,-216.96,-332.11,-21.04,2932,-680.74,1516,1473,4504,2545,1933
4,"Selling, General & Admin",380.35,451.57,409.13,301.55,362.56,449.38,321.97,568.19,365.35,330.96
5,Operating Expenses,380.35,451.57,409.13,301.55,362.56,449.38,321.97,568.19,365.35,330.96
6,Operating Income,-597.3,-783.68,-430.18,2630,-1043,1066,1151,3936,2180,1602
7,Interest Expense,-60.53,-61.19,-71.04,-99.21,-77.64,-71.04,-52.33,-27.37,-128.9,-78.02
8,Interest & Investment Income,78.85,67.64,6.16,46.48,5.17,7.51,6.22,1.97,46.2,19.29
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-0.01
10,Currency Exchange Gain (Loss),12.95,-25.62,131.9,-33.81,-41.59,-17.28,1.01,-26.51,13.26,-45.04
11,Other Non Operating Income (Expenses),102.42,117,109.13,121.16,81.07,164.29,96.74,173.83,-65.22,36.92
12,EBT Excluding Unusual Items,-463.61,-685.84,-254.02,2665,-1076,1150,1203,4058,2045,1535
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,0.82
14,Gain (Loss) on Sale of Assets,28.95,57.29,60.79,-1.11,-7.27,-1.89,-4.04,-37.82,-0.58,-3.72
15,Asset Writedown,686.2,938.61,-294.36,-1806,702.67,-802.31,-1546,-2100,-27.5,-97.54
16,Other Unusual Items,-0.33,0.08,-,0.2,-,-,-,-,-,-
17,Pretax Income,251.21,310.14,-487.59,857.99,-380.89,345.7,-347.06,1920,2017,1435
18,Income Tax Expense,1.92,-4.08,-2.36,32.11,88.06,390.36,92.09,-51.11,-35.95,5.71
19,Earnings From Continuing Operations,249.3,314.22,-485.23,825.88,-468.95,-44.65,-439.15,1971,2053,1429
20,Net Income to Company,249.3,314.22,-485.23,825.88,-468.95,-44.65,-439.15,1971,2053,1429
21,Minority Interest in Earnings,2.15,19.75,15.59,-7.18,6.92,24.1,-,-31.13,1.62,2.51
22,Net Income,251.45,333.97,-469.65,818.7,-462.03,-20.55,-439.15,1940,2055,1431
23,Net Income to Common,251.45,333.97,-469.65,818.7,-462.03,-20.55,-439.15,1940,2055,1431
24,Net Income Growth,-,-59.21%,-,-,-,-,-,35.54%,1344.49%,-
25,Shares Outstanding (Basic),4582,4585,4274,3902,3902,3902,3902,3902,3902,3902
26,Shares Outstanding (Diluted),4582,4585,4274,3902,3902,3902,3902,3902,3902,3902
27,Shares Change (YoY),7.21%,17.49%,9.53%,-,-,-,-,-,-,-
28,EPS (Basic),0.05,0.07,-0.11,0.21,-0.12,-0.01,-0.11,0.50,0.53,0.37
29,EPS (Diluted),0.05,0.07,-0.11,0.21,-0.12,-0.01,-0.11,0.50,0.53,0.37
30,EPS Growth,-,-65.28%,-,-,-,-,-,35.54%,1344.51%,-
31,Free Cash Flow,-1148,497.21,558.81,570.6,-1556,625.19,958.61,3090,-1868,-1463
32,Free Cash Flow Per Share,-0.25,0.11,0.13,0.15,-0.40,0.16,0.25,0.79,-0.48,-0.38
33,Dividend Per Share,-,-,-,-,-,-,-,0.167,0.108,-
34,Operating Margin,-13.07%,-13.63%,-7.39%,34.81%,-19.52%,18.63%,15.34%,40.35%,23.78%,24.00%
35,Profit Margin,5.50%,5.81%,-8.07%,10.83%,-8.64%,-0.36%,-5.85%,19.89%,22.41%,21.44%
36,Free Cash Flow Margin,-25.12%,8.65%,9.60%,7.55%,-29.11%,10.92%,12.78%,31.68%,-20.37%,-21.92%
37,EBITDA,-287.85,-490.81,-141.79,2903,-788.76,1288,1352,4253,2211,1838
38,D&A For EBITDA,309.45,292.87,288.39,272.86,254.54,221.62,200.87,317.05,30.5,236.11
39,EBIT,-597.3,-783.68,-430.18,2630,-1043,1066,1151,3936,2180,1602
