,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,6919,7606,8614,8614,8701,14828,11589,12135,10496,9989,8623
1,Market Cap Growth,-11.70%,-11.70%,-1.00%,-41.90%,-24.92%,22.19%,10.41%,21.48%,21.72%,-1.54%,52.41%
2,Enterprise Value,12515,12043,13711,16131,18086,21922,18398,22301,25184,18243,12975
3,Last Close Price,1.51,1.66,1.88,1.88,2.23,3.80,2.81,2.74,2.37,2.18,1.84
4,PE Ratio,11.00,12.09,-57.63,-,21.58,-,-,-,2.21,2.61,4.90
5,Forward PE,16.87,14.71,5.36,5.34,4.43,9.32,5.10,2.88,3.00,4.36,4.69
6,PS Ratio,0.62,0.69,0.68,0.60,0.60,1.14,0.71,0.58,0.47,0.57,0.70
7,PB Ratio,0.69,0.75,0.85,0.89,0.93,1.66,1.10,1.18,0.92,1.14,1.25
8,P/TBV Ratio,0.76,0.76,0.87,0.91,0.96,1.72,1.13,1.21,0.95,1.17,1.29
9,P/FCF Ratio,-,-,7.40,7.06,-7.81,-,5.96,2.49,7.23,-,-
10,P/OCF Ratio,17.78,-,3.86,3.77,-1256.04,-,3.06,1.67,2.98,-,-
11,EV/Sales Ratio,1.13,1.09,1.08,1.12,1.24,1.69,1.13,1.07,1.12,1.05,1.05
12,EV/EBITDA Ratio,-,-,-,-,7.57,-,5.68,3.31,3.28,4.11,7.92
13,EV/EBIT Ratio,-,-,-,-,10.08,-,6.76,3.65,3.47,4.40,9.81
14,EV/FCF Ratio,-17.89,-,11.79,13.22,-16.24,-,9.46,4.58,17.34,-,-
15,Debt / Equity Ratio,0.60,0.60,0.55,0.57,0.91,1.16,0.78,0.77,0.92,1.76,1.31
16,Debt / FCF Ratio,-,-,4.82,4.52,-7.67,-,4.22,1.63,7.21,-,-
17,Return on Capital Employed (ROCE),-,-,-,-,17.38%,-,23.29%,53.43%,58.64%,41.27%,14.89%
18,Earnings Yield,9.09%,8.27%,-1.74%,4.38%,4.63%,-3.81%,-4.87%,14.88%,45.20%,38.29%,20.41%
19,FCF Yield,-10.11%,-9.20%,13.51%,14.17%,-12.80%,-7.35%,16.78%,40.13%,13.83%,-36.58%,-26.19%
20,Dividend Yield,0.00%,-,-,-,-,-,-,-,13.74%,5.42%,-
21,Buyback Yield / Dilution,-12.12%,-7.21%,-17.49%,-9.53%,-,-,-,-,-,-,-
22,Total Shareholder Return,-12.12%,-7.21%,-17.49%,-9.53%,-,-,-,-,13.74%,5.42%,-
