,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1069,484,474,341,434,532,655,503,422,377,386,Upgrade
1,Market Cap Growth,41.86%,41.86%,9.29%,-35.94%,-33.80%,5.79%,55.37%,33.43%,9.29%,16.04%,6.70%,Upgrade
2,Enterprise Value,1435,894,882,783,1035,1149,1256,1071,1020,1152,1282,Upgrade
3,Last Close Price,0.46,0.24,0.23,0.16,0.20,0.23,0.30,0.23,0.18,0.16,0.16,Upgrade
4,PE Ratio,12.36,6.55,7.58,7.00,9.06,9.04,8.10,3.06,2.84,3.46,3.56,Upgrade
5,PS Ratio,0.35,0.19,0.19,0.14,0.18,0.20,0.24,0.20,0.21,0.20,0.18,Upgrade
6,PB Ratio,0.52,0.28,0.28,0.21,0.26,0.31,0.38,0.29,0.26,0.27,0.27,Upgrade
7,P/TBV Ratio,0.30,0.30,0.30,0.22,0.28,0.34,0.41,0.32,0.28,0.29,0.29,Upgrade
8,P/FCF Ratio,25.09,11.35,-,2.73,9.25,-,4.94,3.38,1.32,1.02,1.35,Upgrade
9,P/OCF Ratio,2.61,2.61,3.21,1.78,2.42,2.87,2.38,1.20,0.85,0.86,1.13,Upgrade
10,EV/Sales Ratio,0.57,0.35,0.35,0.32,0.42,0.43,0.47,0.43,0.50,0.60,0.60,Upgrade
11,EV/EBITDA Ratio,6.98,4.46,4.73,4.63,6.50,6.88,5.37,3.46,3.85,5.02,4.93,Upgrade
12,EV/EBIT Ratio,14.48,9.02,10.39,11.83,19.44,19.60,9.72,5.06,5.78,8.31,8.06,Upgrade
13,EV/FCF Ratio,33.66,20.98,-,6.27,22.08,-,9.48,7.18,3.19,3.11,4.48,Upgrade
14,Debt / Equity Ratio,0.31,0.31,0.29,0.33,0.35,0.45,0.40,0.42,0.40,0.48,0.58,Upgrade
15,Debt / FCF Ratio,12.32,12.32,-,4.39,12.55,-,5.21,4.89,2.07,1.80,2.87,Upgrade
16,Return on Capital Employed (ROCE),5.67%,5.67%,4.94%,3.92%,3.16%,3.39%,7.35%,11.97%,10.60%,9.74%,9.62%,Upgrade
17,Earnings Yield,6.91%,15.28%,13.19%,14.29%,11.04%,11.06%,12.35%,32.72%,35.17%,28.91%,28.09%,Upgrade
18,FCF Yield,3.99%,8.81%,-1.04%,36.66%,10.81%,9.27%,20.23%,29.62%,75.71%,98.29%,74.21%,Upgrade
19,Buyback Yield / Dilution,8.99%,4.82%,12.64%,12.01%,-0.01%,0.64%,16.30%,-22.89%,-2.99%,0.41%,-,Upgrade
20,Total Shareholder Return,11.19%,4.82%,12.64%,12.01%,-0.01%,0.64%,16.30%,-22.89%,-2.99%,0.41%,-,Upgrade
