,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+16 Quarters
0,Cash & Equivalents,12957,65466,4605,12933,-,30053,17585,44052,-,62891,-,8163,-,17624,26379,51212,10767,15086,22427,15926,Upgrade
1,Short-Term Investments,1080,-,-,-,-,-,-,-,-,30000,-,12240,-,8100,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,14037,65466,4605,12933,30053,30053,17585,44052,-,92891,-,20403,25724,25724,26379,51212,10767,15086,22427,15926,Upgrade
3,Cash Growth,-53.29%,117.83%,-73.81%,-70.64%,-,-67.65%,-,115.91%,-,261.11%,-,-60.16%,138.92%,70.51%,17.62%,221.57%,-91.32%,-14.81%,-,-91.41%,Upgrade
4,Accounts Receivable,99467,75405,83650,64978,-,66481,66667,66376,-,34284,-,31931,-,25582,30790,29671,45292,32510,21860,33036,Upgrade
5,Other Receivables,267026,224981,90973,82976,-,80155,80412,97931,-,64143,-,79683,-,72123,74999,83643,295577,292883,303040,302261,Upgrade
6,Receivables,366493,300386,174623,147954,-,146635,147079,164307,-,98427,-,111614,-,97706,105789,113314,340869,325393,324900,335296,Upgrade
7,Inventory,36899,42402,54283,38382,-,35819,35788,42502,-,43105,-,30655,-,29560,33116,33183,30523,23402,25312,33922,Upgrade
8,Prepaid Expenses,141.28,152.28,222.5,248.6,-,64.98,138.99,214.12,-,30.74,-,542.89,-,-,-,-,-,-,-,-,Upgrade
9,Other Current Assets,3669,10971,13653,13043,-,11663,26768,18169,-,10746,-,5100,-,6373,5017,4503,3990,4217,6179,17707,Upgrade
10,Total Current Assets,421239,419376,247386,212560,-,224236,227359,269243,-,245199,-,168314,-,159362,170302,202213,386148,368098,378819,402850,Upgrade
11,"Property, Plant & Equipment",37617,41605,44465,41562,-,35764,37139,38515,-,33764,-,34313,-,17819,13580,14235,14719,15245,15815,4909,Upgrade
12,Long-Term Investments,310500,309965,306640,299919,-,299152,299644,298727,-,291183,-,241181,-,240821,240706,226006,706.26,706.26,706.26,706.26,Upgrade
13,Long-Term Deferred Tax Assets,-,-,-,-,-,3.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,716981,719306,279726,280250,-,281521,282109,282700,-,193658,-,44426,-,45552,49127,47239,47802,48364,48927,60975,Upgrade
15,Total Assets,1486337,1490251,878217,834292,-,840676,846251,889185,-,763805,-,488235,-,463554,473714,489693,449376,432413,444267,469441,Upgrade
16,Accounts Payable,65889,93083,96762,84280,-,67183,64762,68461,-,47767,-,28338,-,46653,42419,36675,49137,29143,26557,38615,Upgrade
17,Accrued Expenses,16364,19149,12279,11766,-,7924,18020,17155,-,4390,-,3153,-,3539,53994,53377,54208,52552,53361,51588,Upgrade
18,Short-Term Debt,116652,111126,102274,96267,-,97934,83118,190451,-,108345,-,71722,-,65191,47380,40084,27020,27546,23768,16558,Upgrade
19,Current Income Taxes Payable,1438,2898,1253,946.83,-,847.49,2315,4061,-,6555,-,5841,-,6919,10466,9432,7738,700.29,182.33,140.54,Upgrade
20,Other Current Liabilities,177782,149867,48522,46705,-,42050,51137,32882,-,25693,-,31041,-,29122,74307,97020,59421,76227,104280,109489,Upgrade
21,Total Current Liabilities,378125,376122,261089,239965,-,215938,219354,313008,-,192750,-,140095,-,151424,228566,236588,197524,186168,208149,216390,Upgrade
22,Long-Term Debt,8637,10127,11197,17325,-,44435,63153,14186,-,11051,-,11051,-,-,-,-,-,-,-,-,Upgrade
23,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,326.65,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Other Long-Term Liabilities,49039,58810,58829,58332,-,58332,46790,46790,-,46790,-,73495,-,50766,-,-,-,-,-,-,Upgrade
25,Total Liabilities,435801,445059,331116,315622,-,318705,329297,373985,-,250917,-,224640,-,202190,228566,236588,197524,186168,208149,216390,Upgrade
26,Common Stock,960909,960909,480456,480456,-,480456,480456,480456,-,480456,-,240230,-,240230,228793,228793,228793,228793,219997,219997,Upgrade
27,Additional Paid-In Capital,2775,2775,3048,3048,-,3048,3048,3048,-,3048,-,3224,-,3224,3224,3224,3224,3224,3224,3224,Upgrade
28,Retained Earnings,72224,70669,57735,33539,-,34757,29635,28028,-,26786,-,17118,-,16445,13134,21091,19837,14231,12901,29833,Upgrade
29,Treasury Stock,-3.14,-3.14,-3.14,-3.14,-,-3.14,-3.14,-3.14,-,-3.14,-,-3.14,-,-3.14,-3.14,-3.14,-3.14,-3.14,-3.14,-3.14,Upgrade
