,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,924983,1104608,846712,934148,814601,919285,714498,876440,937334,1229394,1048646,1122016,828517,782925,978272,945701,752230,979585,947725,790177,Upgrade
1,Revenue Growth (YoY),13.55%,20.16%,18.50%,6.58%,-13.09%,-25.22%,-31.86%,-21.89%,13.13%,57.03%,7.19%,18.64%,10.14%,-20.08%,3.22%,19.68%,-12.02%,-3.92%,19.76%,-19.23%,Upgrade
2,Cost of Revenue,786268,936638,693971,776912,685255,780705,619205,740974,784703,1014603,875485,952348,708363,707020,815309,791223,608795,804222,759937,676579,Upgrade
3,Gross Profit,138715,167970,152741,157237,129346,138580,95293,135466,152630,214791,173161,169667,120155,75906,162964,154478,143435,175362,187788,113598,Upgrade
4,"Selling, General & Admin",65845,74915,79302,84026,83529,70547,60543,69225,80076,89464,93150,84872,94210,84554,93484,82050,63145,70957,83880,67942,Upgrade
5,Operating Expenses,65845,74915,79302,84026,83529,70547,60543,69225,80076,89464,93150,84872,94210,84554,93484,82050,63145,70957,83880,67942,Upgrade
6,Operating Income,72870,93055,73439,73211,45817,68033,34750,66241,72555,125327,80011,84795,25944,-8648,69479,72428,80290,104405,103908,45655,Upgrade
7,Interest Expense,-63266,-22370,-,-20969,-8626,-27282,-,-11024,-10976,-34071,-359.76,-7763,-4762,-5223,-6290,-4452,-4294,-6252,-2328,-14869,Upgrade
8,Interest & Investment Income,-,16184,25753,-,4117,26729,11183,-,8142,22610,14008,-,6345,17359,-,946.95,8462,10670,1808,-,Upgrade
