,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,4237169,4873763,4970526,5010918,4199286,3772806,3904759,4613598,4105528,4343174,3540096,3809820,5380157,4646175,4617671,6427684,7436148,3222331,1440590,1117788,660248,Upgrade
1,Market Cap Growth,29.18%,29.18%,27.29%,8.61%,2.28%,-13.13%,10.30%,21.10%,-23.69%,-6.52%,-23.34%,-40.73%,-27.65%,44.19%,220.54%,475.04%,1026.27%,189.78%,8.39%,-30.20%,-60.14%,Upgrade
2,Enterprise Value,3922635,4574016,4816847,4853952,4142172,3934693,4198917,4904248,4448576,4788398,4123497,4439597,5835405,5009676,4924267,6698836,7632635,3462483,1971946,1668459,1074102,Upgrade
3,Last Close Price,41600.00,47850.00,48800.00,49250.00,41227.27,37045.45,38334.67,45293.64,40305.71,42038.23,34265.12,36882.60,52073.61,44969.53,44693.64,62212.44,71970.44,30918.33,13824.06,10724.73,6334.81,Upgrade
4,PE Ratio,16.33,17.65,22.52,25.91,34.05,32.07,26.11,-,17.71,18.31,16.88,33.15,40.38,34.68,-,24.45,27.32,13.77,6.45,5.69,3.85,Upgrade
5,Forward PE,-,35.27,35.27,37.08,32.65,15.34,16.56,16.64,16.22,16.16,13.24,15.25,24.06,16.40,15.56,21.53,26.53,13.38,6.32,7.12,3.10,Upgrade
6,PS Ratio,1.18,1.28,1.34,1.43,1.24,1.13,1.13,1.23,1.00,1.00,0.84,1.01,1.45,1.31,1.33,1.76,2.05,0.93,0.40,0.31,0.19,Upgrade
7,PB Ratio,2.35,2.15,2.25,2.35,2.03,1.88,1.96,2.39,2.08,2.19,1.84,2.09,3.02,2.72,2.74,3.81,4.46,1.97,0.92,0.78,0.46,Upgrade
8,P/TBV Ratio,2.34,2.34,2.46,2.58,2.23,2.07,2.17,2.64,2.30,2.43,2.05,2.33,3.38,3.06,3.09,4.30,5.03,2.23,1.05,0.90,0.53,Upgrade
