,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,156.95,130.65,128.67,110.82,197.67,134.4,124.87,110.8,159.25,119.23,120.78,105.28
1,Other Revenue,-,-2.1,2.1,-,4.78,-2.03,2.03,-,4.35,-2.03,2.03,-
2,Revenue,156.95,128.55,130.77,110.82,202.45,132.37,126.9,110.8,163.6,117.2,122.81,105.28
3,Revenue Growth (YoY),-22.48%,-2.89%,3.05%,0.02%,23.75%,12.95%,3.33%,5.24%,-,-,-,-
4,Cost of Revenue,-301.7,107.05,106.03,88.62,156.94,102.19,90.76,77.37,116.85,81.36,159.35,-
5,Gross Profit,458.65,21.5,24.74,22.21,45.51,30.18,36.14,33.43,46.75,35.84,-36.54,105.28
6,"Selling, General & Admin",-32.82,9.26,12.27,11.29,12.47,11.48,9.2,9.44,9.86,9.1,18.74,-
7,Research & Development,-100.49,37.49,30.82,32.19,29.08,30.78,27.88,23.52,26.11,22.8,45.02,-
8,Other Operating Expenses,525.54,-5.3,4.54,-2.61,8.36,-3.16,-0.58,-1.87,8.79,-1.58,-109.6,104.72
9,Operating Expenses,393.83,42.72,44.9,40.73,51.81,40.91,36.76,30.62,45.51,30.07,-45.26,104.72
10,Operating Income,64.82,-21.22,-20.16,-18.52,-6.3,-10.72,-0.62,2.81,1.24,5.77,8.72,0.56
11,Interest Expense,-22.94,-0.9,-0.78,-0.42,-0.02,-0.67,-0.92,-0.99,-1.1,-1.05,-2.09,-
12,Interest & Investment Income,2.11,7.96,7.37,7.61,8.47,4.72,0.83,0.44,0.4,0.32,0.63,-
13,Currency Exchange Gain (Loss),-,-2.07,2.07,-,1.67,-6.61,6.61,-,8.01,-3.75,3.75,-
14,Other Non Operating Income (Expenses),-56.54,-3.34,-0.52,0.4,-8.12,7.89,1.38,-1.6,-12.49,12.24,-0.31,-
15,EBT Excluding Unusual Items,-12.55,-19.58,-12.02,-10.94,-4.31,-5.38,7.27,0.65,-3.94,13.53,10.69,0.56
16,Gain (Loss) on Sale of Assets,0.11,-0.04,-0.03,-0.04,-0.07,0.05,-0.05,0,-0.02,-,-,-
17,Asset Writedown,0.42,-0.42,-0.06,0.06,0.15,-0.15,0.03,-0.03,1.48,-1.47,-4.32,-
18,Other Unusual Items,-0.05,-5.71,5.97,-0.22,20.61,-,-,-,20.16,-,-,-
19,Pretax Income,-12.07,-25.74,-6.14,-11.13,16.39,-5.48,7.25,0.62,17.69,12.06,6.37,0.56
20,Income Tax Expense,-41.22,-9.22,-5.19,-6.22,3.29,-5.21,-2.89,-3.25,-1.52,2.3,-1.71,-2.23
21,Net Income,29.15,-16.52,-0.95,-4.91,13.1,-0.27,10.14,3.87,19.2,9.76,8.08,2.79
22,Net Income to Common,29.15,-16.52,-0.95,-4.91,13.1,-0.27,10.14,3.87,19.2,9.76,8.08,2.79
23,Net Income Growth,122.53%,-,-,-,-31.79%,-,25.46%,38.41%,-,-,-,-
24,Shares Outstanding (Basic),389,389,392,491,311,470,174,387,254,341,272,-
25,Shares Outstanding (Diluted),389,389,392,491,311,470,174,387,254,341,272,-
26,Shares Change (YoY),25.01%,-17.27%,125.79%,26.88%,22.63%,38.13%,-36.17%,-,-,-,-,-
27,EPS (Basic),0.07,-0.04,-0.00,-0.01,0.04,-0.00,0.06,0.01,0.08,0.03,0.03,-
28,EPS (Diluted),0.07,-0.04,-0.00,-0.01,0.04,-0.00,0.06,0.01,0.08,0.03,0.03,-
29,EPS Growth,78.01%,-,-,-,-44.38%,-,96.55%,-,-,-,-,-
30,Free Cash Flow,-,-93.01,21.53,-34.8,53.44,-63.22,8.45,-17.81,-3.24,3.5,-,-
31,Free Cash Flow Per Share,-,-0.24,0.05,-0.07,0.17,-0.13,0.05,-0.05,-0.01,0.01,-,-
32,Dividend Per Share,-,-,-,-,0.030,-,-,-,-,-,-,-
33,Gross Margin,292.23%,16.72%,18.92%,20.04%,22.48%,22.80%,28.48%,30.17%,28.58%,30.58%,-29.75%,100.00%
34,Operating Margin,41.30%,-16.50%,-15.42%,-16.71%,-3.11%,-8.10%,-0.49%,2.53%,0.76%,4.92%,7.10%,0.53%
35,Profit Margin,18.57%,-12.85%,-0.73%,-4.43%,6.47%,-0.20%,7.99%,3.49%,11.74%,8.33%,6.58%,2.65%
36,Free Cash Flow Margin,-,-72.36%,16.47%,-31.40%,26.40%,-47.76%,6.66%,-16.07%,-1.98%,2.98%,-,-
37,EBITDA,69.75,-16.28,-15.48,-13.59,-1.37,-3.28,7.84,10.25,8.69,12.12,16.03,4.16
38,EBITDA Margin,44.44%,-12.67%,-11.84%,-12.26%,-0.67%,-2.48%,6.18%,9.25%,5.31%,10.34%,13.06%,3.95%
39,D&A For EBITDA,4.93,4.93,4.68,4.93,4.93,7.44,8.47,7.44,7.44,6.35,7.31,3.6
40,EBIT,64.82,-21.22,-20.16,-18.52,-6.3,-10.72,-0.62,2.81,1.24,5.77,8.72,0.56
41,EBIT Margin,41.30%,-16.50%,-15.42%,-16.71%,-3.11%,-8.10%,-0.49%,2.53%,0.76%,4.92%,7.10%,0.53%
42,Effective Tax Rate,-,-,-,-,20.08%,-,-,-,-,19.06%,-,-
43,Revenue as Reported,-,128.55,130.77,110.82,202.45,132.37,126.9,110.8,163.6,117.2,228.09,-
