,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5530,3911,3285,3191,3426,4633,5006,5261,-,-,-,-,-
1,Market Cap Growth,-15.59%,-15.59%,-34.38%,-39.34%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5465,3846,3092,2991,2847,4054,4045,5229,-,-,-,-,-
3,Last Close Price,14.21,10.05,8.38,8.14,8.71,11.78,12.72,13.37,-,-,-,-,-
4,PE Ratio,817.07,577.87,-,-,-,172.61,-,122.41,-,-,-,-,-
5,Forward PE,101.50,75.85,67.04,69.28,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.49,7.42,5.74,5.54,5.98,8.09,9.38,10.15,-,-,-,-,-
7,PB Ratio,3.74,2.65,2.22,2.11,2.24,3.03,3.30,3.46,-,-,-,-,-
8,P/TBV Ratio,2.72,2.72,2.28,2.14,2.28,3.07,3.36,3.54,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-138.43,-,-242.10,-,-577.78,-,-,-,-,-
10,P/OCF Ratio,-,-,-,375.27,-,253.95,-,154.94,-,-,-,-,-
11,EV/Sales Ratio,10.37,7.30,5.40,5.19,4.97,7.08,7.58,10.08,-,-,-,-,-
12,EV/EBITDA Ratio,221.63,157.62,-,-,-,-,-,134.41,-,-,-,-,-
13,EV/EBIT Ratio,781.80,781.80,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-129.76,-,-211.83,-,-574.29,-,-,-,-,-
15,Debt / Equity Ratio,0.10,0.10,0.10,0.08,0.07,0.04,0.03,0.07,0.19,0.19,-,-,0.19
16,Debt / EBITDA Ratio,5.91,0.52,-,-,-,-,-,3.01,2.75,2.91,-,-,6.32
17,Debt / FCF Ratio,-,-,-,-5.40,-,-2.93,-,-11.04,-,-,-,-,-
18,Asset Turnover,-,0.30,0.30,0.26,0.49,0.32,-,-,-,-,-,-,
19,Inventory Turnover,-,-,1.89,2.08,2.04,3.43,2.08,-,-,-,-,-,-
20,Quick Ratio,-,-,1.69,2.01,2.63,4.62,7.66,9.09,-,1.73,-,-,-
21,Current Ratio,-,-,2.77,3.00,3.72,5.86,9.87,10.59,-,3.03,-,-,-
22,Return on Equity (ROE),7.89%,-4.42%,-0.25%,-1.28%,3.44%,-0.07%,3.87%,2.67%,-,-,-,-,
23,Return on Assets (ROA),-,-3.06%,-2.90%,-2.73%,-0.96%,-1.61%,-,-,-,-,-,-,
24,Return on Capital (ROIC),9.98%,-3.25%,-3.08%,-2.88%,-1.00%,-1.68%,-0.13%,1.01%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,2.61%,-,-,-
26,Earnings Yield,0.12%,0.17%,-0.28%,0.22%,0.53%,0.58%,0.66%,0.82%,-,-,-,-,-
27,FCF Yield,-,-1.61%,-0.72%,-1.05%,-0.41%,-1.51%,-0.17%,-,-,-,-,-,
28,Dividend Yield,0.20%,-,-,-,-,0.25%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,2.50%,-,9.30%,25.88%,5.67%,10.69%,-,-
30,Buyback Yield / Dilution,-15.98%,-25.01%,17.27%,-125.79%,-26.88%,-22.63%,-38.13%,36.17%,-,-,-,-,-
31,Total Shareholder Return,-15.78%,-25.01%,17.27%,-125.79%,-26.88%,-22.38%,-38.13%,36.17%,-,-,-,-,-
