,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,211.06,307.44,304.57,399.06,323.44,1058,-,136.67,-,-,-
1,Short-Term Investments,-,-,10.26,-,10.12,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,300,3,-,8,-,-,-
3,Cash & Short-Term Investments,211.06,211.06,317.7,304.57,409.18,623.44,1061,144.67,144.67,-,-,187.81
4,Cash Growth,-48.42%,-66.15%,-70.07%,110.53%,182.84%,-,-,-22.97%,-,-,-,-
5,Accounts Receivable,-,171.65,147.65,199.2,201.9,163.6,129.65,-,135.9,-,-,-
6,Other Receivables,-,0.43,0.47,0.48,0.47,0.48,2.68,-,0.39,-,-,-
7,Receivables,-,172.08,148.12,199.67,202.38,164.08,132.33,-,136.3,-,-,-
8,Inventory,-,231.95,220.96,186.76,160.47,205.81,186.45,-,182.73,-,-,-
9,Other Current Assets,-,12.15,7.8,22.46,3.5,21.09,10.42,-,29.46,-,-,-
10,Total Current Assets,-,627.25,694.58,713.46,775.53,1014,1391,-,493.15,-,-,-
11,"Property, Plant & Equipment",-,215.35,214.6,206.56,210.85,206.63,211.1,-,208.42,-,-,-
12,Long-Term Investments,-,8.5,745.2,-,595.32,-,-,-,-,-,-,-
13,Other Intangible Assets,-,39.43,20.39,22.94,24.22,27.51,31.31,-,28.54,-,-,-
14,Long-Term Deferred Tax Assets,-,50.11,40.89,35.7,29.47,32.76,27.55,-,21.41,-,-,-
15,Long-Term Deferred Charges,-,1.12,1.32,0.19,0.21,0.18,0.19,-,0.09,-,-,-
16,Other Long-Term Assets,-,771.95,31.85,743.53,33.61,345.48,34.45,-,35.4,-,-,-
17,Total Assets,-,1714,1749,1722,1669,1627,1695,-,787.02,-,-,-
18,Accounts Payable,-,69.91,90.49,76.54,66.51,46.92,60.9,-,75.26,-,-,-
19,Accrued Expenses,-,6.94,8.72,7.99,7.23,7.4,7.58,-,10.39,-,-,-
20,Short-Term Debt,-,130.11,121.1,101.08,51.06,40.03,47.05,-,61.57,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,2.26,-,2.23,4.64,-,4.65,-,-,-
22,Current Portion of Leases,-,8.57,2.31,-,2.24,-,6.51,-,4.98,-,-,-
23,Current Income Taxes Payable,-,3.64,-,1.52,-,2.94,-,-,-,-,-,-
24,Current Unearned Revenue,-,3.46,3.65,1.9,3.66,2.61,3.11,-,3.78,-,-,-
25,Other Current Liabilities,-,4.19,5.13,0.58,1.58,0.65,1.57,-,1.96,-,-,-
26,Total Current Liabilities,-,226.82,231.4,191.86,132.28,102.78,131.37,-,162.58,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,39.02,-,41.31,-,-,-
28,Long-Term Leases,-,7.14,0.97,1.29,2.71,1.88,3.29,-,0.39,-,-,-
29,Long-Term Unearned Revenue,-,2.52,2.59,2.66,2.73,2.8,2.87,-,3.06,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,1.13,-,-,-,-,-,-
31,Total Liabilities,-,236.48,234.97,195.81,137.73,108.59,176.56,-,207.34,-,-,-
32,Common Stock,-,392,392,392,392,392,392,-,294,-,-,-
33,Additional Paid-In Capital,-,1003,1003,1003,1003,1003,1003,-,175.83,-,-,-
34,Retained Earnings,-,102.55,119.07,131.78,136.69,123.59,123.86,-,109.85,-,-,-
35,Treasury Stock,-,-20.11,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1477,1477,1514,1527,1531,1518,1519,579.67,579.67,-,-,539.83
37,Total Liabilities & Equity,-,1714,1749,1722,1669,1627,1695,-,787.02,-,-,-
38,Total Debt,145.82,145.82,124.38,104.63,56.01,44.14,100.52,112.9,112.9,-,-,105.22
39,Net Cash (Debt),65.24,65.24,193.32,199.94,353.18,579.3,960.89,31.77,31.77,-,-,82.59
40,Net Cash Growth,-81.53%,-88.74%,-79.88%,529.35%,1011.71%,-,-,-61.54%,-,-,-,-
41,Net Cash Per Share,0.17,0.17,0.49,0.41,1.13,1.23,5.53,0.08,0.13,-,-,-
42,Filing Date Shares Outstanding,389.17,389.17,392,392,392,392,392,386.84,392,340.55,271.98,-
43,Total Common Shares Outstanding,389.17,389.17,392,392,392,392,392,386.84,294,340.55,271.98,-
44,Working Capital,-,400.43,463.18,521.6,643.24,911.63,1259,-,330.57,-,-,-
45,Book Value Per Share,3.80,3.80,3.86,3.89,3.91,3.87,3.87,1.97,1.97,-,-,1.84
46,Tangible Book Value,1438,1438,1493,1504,1507,1491,1487,551.13,551.13,-,-,507.23
47,Tangible Book Value Per Share,3.69,3.69,3.81,3.84,3.85,3.80,3.79,1.87,1.87,-,-,1.73
48,Buildings,-,-,184.63,-,184.39,-,184.43,-,184.16,-,-,-
49,Machinery,-,-,38.68,-,28.34,-,27.28,-,27,-,-,-
50,Construction In Progress,-,-,20.02,-,19.36,-,11.11,-,10.32,-,-,-
