,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Last Close Price,17000.00,15700.00,16520.00,14093.33,14280.00,13906.67,11161.17,8998.15,13410.71,13843.31,17827.15,19172.59,18163.51,19401.48,-
1,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-
2,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33,-
3,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,1.15,-
4,Asset Turnover,-,0.53,0.67,0.67,-,-,0.72,-,-,-,-,-,-,-,
5,Inventory Turnover,34.00,-,30.45,32.68,32.92,-,-,64.84,-,-,-,-,-,-,-
6,Quick Ratio,2.11,2.48,1.09,2.22,1.73,3.82,-,4.55,2.92,-,-,1.93,-,1.51,-
7,Current Ratio,2.77,2.61,1.16,2.40,1.90,4.03,-,4.95,3.08,-,-,1.97,-,1.53,-
8,Return on Equity (ROE),-,4.72%,8.85%,7.53%,-,-,6.35%,-,-,4.84%,-,-,-,-,
9,Return on Assets (ROA),-,2.98%,5.36%,4.19%,-,-,5.53%,-,-,-,-,-,-,-,
10,Return on Capital (ROIC),-,3.35%,5.94%,4.63%,-,-,5.98%,-,-,3.07%,-,-,-,-,
11,Return on Capital Employed (ROCE),7.60%,7.32%,7.29%,6.93%,7.08%,7.71%,-,7.25%,6.08%,-,-,10.40%,-,6.37%,-
12,Dividend Yield,7.02%,-,-,-,-,-,-,11.11%,-,-,-,-,-,-,-
13,Payout Ratio,89.40%,-,-,-,-,-,-,-,-,93.16%,108.13%,-,114.30%,-,-
14,Total Shareholder Return,7.02%,-,-,-,-,-,-,11.11%,-,-,-,-,-,-,-
