,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Revenue,43256,34988,44694,43634,42487,41460,46569,49992,35823,35883,40814,37473,39432,48120
1,Revenue Growth (YoY),1.81%,-15.61%,-4.03%,-12.72%,18.60%,15.54%,14.10%,33.41%,-9.15%,-25.43%,-,-,-,-
2,Cost of Revenue,26243,20866,25288,25476,25945,26074,27522,30676,23420,24531,30605,25465,27058,34546
3,Gross Profit,17013,14122,19406,18158,16542,15386,19047,19316,12403,11353,10209,12007,12375,13574
4,"Selling, General & Admin",12444,10960,13703,13802,13022,12153,13355,13802,9063,8508,7556,6435,7493,2607
5,Operating Expenses,12444,10960,13703,13802,13022,12153,13355,13802,9063,8508,7556,6435,7493,2607
6,Operating Income,4570,3162,5702,4356,3520,3233,5692,5514,3341,2844,2654,5573,4882,10967
7,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-191.09,-1797
8,Interest & Investment Income,343.56,171.78,694.79,662.22,582.56,304.1,411.85,321.72,293.49,277.33,184.19,56.14,160.21,199.09
9,Other Non Operating Income (Expenses),-1121,-183.36,-539.19,-81.44,102.96,56.1,-1824,2121,1.09,0.54,5.11,38.61,-,-
10,Pretax Income,3792,3150,5858,4937,4205,3593,4280,7957,3635,3122,2843,5667,4851,9369
11,Income Tax Expense,490.18,370.53,550.18,510.04,476.17,425.11,501.48,691.31,382.71,319.82,255.77,365.41,242.54,-
12,Net Income,3302,2780,5308,4426,3729,3168,3778,7266,3252,2802,2587,5302,4608,9369
13,Net Income to Common,3302,2780,5308,4426,3729,3168,3778,7266,3252,2802,2587,5302,4608,9369
14,Net Income Growth,-11.47%,-12.25%,40.48%,-39.08%,14.66%,13.05%,46.04%,37.03%,-29.42%,-70.09%,-,-,-,-
15,Free Cash Flow,-,-919.73,-3112,54566,-,14660,-,13962,3307,3307,-,12298,11815,178.33
16,Dividend Per Share,-,-,-,-,-,-,1000.000,-,-,-,-,-,-,-
17,Gross Margin,39.33%,40.36%,43.42%,41.61%,38.93%,37.11%,40.90%,38.64%,34.62%,31.64%,25.01%,32.04%,31.38%,28.21%
18,Operating Margin,10.56%,9.04%,12.76%,9.98%,8.28%,7.80%,12.22%,11.03%,9.32%,7.93%,6.50%,14.87%,12.38%,22.79%
19,Profit Margin,7.63%,7.94%,11.88%,10.14%,8.78%,7.64%,8.11%,14.53%,9.08%,7.81%,6.34%,14.15%,11.69%,19.47%
20,Free Cash Flow Margin,-,-2.63%,-6.96%,125.06%,-,35.36%,-,27.93%,9.23%,9.22%,-,32.82%,29.96%,0.37%
21,EBITDA,8123,7142,9636,8446,8135,7861,11143,10965,6126,5630,-,11163,10475,17455
22,EBITDA Margin,18.78%,20.41%,21.56%,19.36%,19.15%,18.96%,23.93%,21.93%,17.10%,15.69%,-,29.79%,26.56%,36.27%
23,D&A For EBITDA,3554,3980,3933,4090,4616,4629,5451,5451,2786,2786,-,5590,5593,6489
24,EBIT,4570,3162,5702,4356,3520,3233,5692,5514,3341,2844,2654,5573,4882,10967
25,EBIT Margin,10.56%,9.04%,12.76%,9.98%,8.28%,7.80%,12.22%,11.03%,9.32%,7.93%,6.50%,14.87%,12.38%,22.79%
26,Effective Tax Rate,12.93%,11.76%,9.39%,10.33%,11.32%,11.83%,11.72%,8.69%,10.53%,10.24%,9.00%,6.45%,5.00%,-
27,Revenue as Reported,43256,34988,44694,43634,42487,41460,46569,49992,35823,35883,40814,37473,39432,48120
