,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,26446,22772,43520,45937,40709,-,29639,57161,-,-,33199,-,40025,-
1,Short-Term Investments,7000,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,33446,22772,43520,45937,40709,-,29639,57161,-,33199,33199,-,40025,-
3,Cash Growth,-17.84%,-,46.83%,-19.64%,-,-,-10.72%,-,-,-,-,-,-,-
4,Accounts Receivable,7714,2628,1140,1541,1238,-,1220,7820,-,-,3174,-,6246,-
5,Other Receivables,12073,10841,10389,322.94,40238,-,40141,1061,-,-,690.21,-,608.26,-
6,Receivables,19786,13469,11529,1864,41476,-,41361,8881,-,-,3864,-,6854,-
7,Inventory,2450,2387,3095,3095,3095,-,3207,188.83,-,-,149.02,-,183.8,-
8,Prepaid Expenses,289.86,147.98,261.17,477.54,489.05,-,1672,2333,-,-,314.3,-,442.46,-
9,Other Current Assets,20.6,20.6,1068,1068,1068,-,1250,1137,-,-,413.72,-,206.17,-
10,Total Current Assets,55992,38797,59474,52441,86837,-,77129,69701,-,-,37940,-,47712,-
11,"Property, Plant & Equipment",29649,41301,43799,47733,51823,-,61054,70910,-,-,92059,-,108520,-
12,Long-Term Investments,67594,69130,49537,49892,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,100.13,-,-,-,-,-,-,5.28,-,-,29.03,-,52.78,-
14,Other Long-Term Assets,111150,113691,114617,114902,115784,-,117293,118112,-,-,120739,-,123453,-
15,Total Assets,264486,262919,267427,264968,254444,-,255477,258729,-,-,250767,-,279738,-
16,Accounts Payable,3365,5984,5553,6646,7215,-,4384,9612,-,-,9334,-,17892,-
17,Accrued Expenses,14720,10537,16215,15745,11118,-,9325,10359,-,-,8318,-,12167,-
18,Current Income Taxes Payable,490.18,1239,1444,4662,2648,-,1440,1976,-,-,1110,-,734.04,-
19,Other Current Liabilities,2891,15600,1579,586.37,560.9,-,442.98,676.54,-,-,465.18,-,314.78,-
20,Total Current Liabilities,21467,33359,24792,27640,21542,-,15592,22623,-,-,19226,-,31107,-
21,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,13852,-
22,Other Long-Term Liabilities,654.76,654.76,-,-,-,-,-,-,-,-,-,-,-,-
23,Total Liabilities,22121,34014,24792,27640,21542,-,15592,22623,-,-,19226,-,44959,-
24,Common Stock,121200,121200,121200,121200,121200,-,121200,121200,-,-,121200,-,121200,-
25,Retained Earnings,121164,2780,121435,116128,111701,-,118684,114906,-,-,110341,-,113579,-
26,Comprehensive Income & Other,-,104925,-,-,-,-,-,-,-,-,-,-,-,-
27,Shareholders' Equity,242364,228905,242635,237328,232901,-,239884,236106,-,231541,231541,-,234779,-
28,Total Liabilities & Equity,264486,262919,267427,264968,254444,-,255477,258729,-,-,250767,-,279738,-
29,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,13852,-
30,Net Cash (Debt),33446,22772,43520,45937,40709,-,29639,57161,-,33199,33199,-,26174,-
31,Net Cash Growth,-17.84%,-,46.83%,-19.64%,-,-,-10.72%,-,-,-,-,-,-,-
32,Working Capital,34526,5438,34682,24801,65294,-,61537,47078,-,-,18713,-,16605,-
33,Tangible Book Value,242264,228905,242635,237328,232901,-,239884,236101,-,231512,231512,-,234726,-
34,Buildings,83050,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Machinery,70406,-,-,-,-,-,-,-,-,-,-,-,-,-
