,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,139842,131628,133070,-,120857,-,111915,102147,96163,96292,114348,24827,122830,-,119351,94914,114287,114287,98887,99915,Upgrade
1,Cash & Short-Term Investments,139842,131628,133070,120857,120857,-,111915,102147,96163,96292,114348,24827,122830,-,119351,94914,114287,114287,98887,99915,Upgrade
2,Cash Growth,15.71%,-,18.90%,18.32%,25.68%,-,-2.13%,311.44%,-21.71%,-,-4.19%,-73.84%,7.47%,-,20.69%,-5.01%,16.95%,16.95%,1.43%,-26.04%,Upgrade
3,Accounts Receivable,8000,8165,3775,-,12115,-,3107,296.12,11922,6860,6488,21176,13872,-,4787,8499,9606,9606,3265,3997,Upgrade
4,Other Receivables,188.04,286.57,442.95,-,2782,-,3571,5075,555.19,270.57,179.89,3116,480.44,-,10511,9047,399.46,399.46,11000,2079,Upgrade
5,Receivables,8189,8452,4218,-,14897,-,6678,5371,12477,7130,6668,24292,14353,-,15298,17546,10006,10006,14265,6076,Upgrade
6,Inventory,32943,80020,74515,-,29612,-,65930,50056,66340,128051,89447,142117,51015,-,54720,39990,11107,11107,44714,28163,Upgrade
7,Prepaid Expenses,408.67,662.04,554.1,-,180.55,-,740.99,1531,237.69,637.09,875.24,1091,328.13,-,505.73,610.01,274.32,274.32,587.8,606.59,Upgrade
8,Other Current Assets,2868,14836,14870,-,6627,-,16826,48865,8425,15365,14362,92571,25254,-,114602,51262,31045,31045,13128,20842,Upgrade
