,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,471.76,450.18,481.74,435.97,399.93,347.99,320.74
1,Revenue Growth (YoY),-2.07%,3.26%,20.46%,25.28%,24.69%,-,-
2,Cost of Revenue,416.25,398.37,423.21,381.3,342.99,301.05,273.18
3,Gross Profit,55.51,51.82,58.53,54.68,56.94,46.94,47.57
4,"Selling, General & Admin",37.12,40.92,36.88,36.25,30.61,30.53,26.17
5,Operating Expenses,37.12,40.92,36.88,36.25,30.61,30.53,26.17
6,Operating Income,18.39,10.9,21.64,18.43,26.33,16.42,21.39
7,Interest Expense,-0.84,-1.02,-1.26,-0.82,-0.73,-0.62,-0.76
8,Interest & Investment Income,0.68,0.69,0.8,0.43,0.14,0.1,0.19
9,Earnings From Equity Investments,0.03,-0.05,-0.13,0.03,-,-,-
10,Currency Exchange Gain (Loss),-,-2.03,2.03,0.69,-,-,-
11,Other Non Operating Income (Expenses),0.4,4.59,0.42,-1.86,-3.18,-4.48,0.38
12,EBT Excluding Unusual Items,18.66,13.08,23.5,16.89,22.57,11.42,21.21
13,Gain (Loss) on Sale of Assets,-,-0,0.16,0.02,0.06,0.04,0.04
14,Other Unusual Items,-,-,-,-,-,2.31,-2.27
15,Pretax Income,18.66,13.08,23.66,16.92,22.63,13.78,18.98
16,Income Tax Expense,4.38,2.41,7.21,6.13,6.63,4.06,5.11
17,Net Income,14.28,10.67,16.45,10.79,16,9.72,13.87
18,Net Income to Common,14.28,10.67,16.45,10.79,16,9.72,13.87
19,Net Income Growth,-13.17%,-1.13%,2.82%,10.98%,15.37%,-,-
20,Shares Outstanding (Basic),1000,1000,1000,924,723,723,723
21,Shares Outstanding (Diluted),1000,1000,1000,924,723,723,723
22,Shares Change (YoY),-,8.26%,38.33%,27.78%,-,-,-
23,EPS (Basic),0.01,0.01,0.02,0.01,0.02,0.01,0.02
24,EPS (Diluted),0.01,0.01,0.02,0.01,0.02,0.01,0.02
25,EPS Growth,-13.18%,-8.68%,-25.67%,-13.15%,15.38%,-,-
26,Free Cash Flow,16.2,5.47,18.72,-30.82,2.47,-3.21,3.09
27,Free Cash Flow Per Share,0.02,0.01,0.02,-0.03,0.00,-0.00,0.00
28,Operating Margin,3.90%,2.42%,4.49%,4.23%,6.58%,4.72%,6.67%
29,Profit Margin,3.03%,2.37%,3.41%,2.47%,4.00%,2.79%,4.32%
30,Free Cash Flow Margin,3.43%,1.22%,3.89%,-7.07%,0.62%,-0.92%,0.96%
31,EBITDA,20.47,13.01,23.45,20.1,27.75,17.9,22.6
32,D&A For EBITDA,2.08,2.11,1.8,1.67,1.42,1.49,1.21
33,EBIT,18.39,10.9,21.64,18.43,26.33,16.42,21.39
