,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,27.94,45.17,38.03,23.03,9.6,4.48,-
1,Short-Term Investments,34.45,15.24,37.68,45.31,-,-,-
2,Trading Asset Securities,-,-,-,-,0.23,0.23,-
3,Cash & Short-Term Investments,62.39,60.41,75.7,68.34,9.84,4.71,-
4,Cash Growth,-17.58%,-11.61%,669.57%,1350.01%,-,-,-
5,Accounts Receivable,130.39,116.24,117.58,117.28,110.97,88.1,-
6,Other Receivables,9.23,7.4,1.4,5.21,-,-,-
7,Receivables,139.61,123.64,118.98,122.49,110.97,88.1,-
8,Inventory,90.89,87.94,93.53,97.9,69.46,56.29,-
9,Other Current Assets,13.06,11.69,24.58,20.52,21.86,20.36,-
10,Total Current Assets,305.96,283.67,312.79,309.25,212.13,169.47,-
11,"Property, Plant & Equipment",60.3,62.81,57.71,57.27,41.28,41.78,-
12,Long-Term Investments,0.07,0.04,0.1,0.23,-,-,-
13,Long-Term Deferred Tax Assets,2.46,2.54,2.04,2.35,2.61,1.77,-
14,Other Long-Term Assets,-,-,-,-,1.05,-,-
15,Total Assets,368.79,349.06,372.64,369.1,257.07,213.02,-
16,Accounts Payable,69.07,52.34,61.75,60.46,55.59,37.11,-
17,Accrued Expenses,7.42,7.25,10.38,12.97,10.84,8.09,-
18,Short-Term Debt,-,-,-,-,0.35,2.54,-
19,Current Portion of Long-Term Debt,15.89,27.16,40.09,48.72,33.19,26.07,-
20,Current Portion of Leases,1.18,1.76,0.69,10.46,1.3,1.41,-
21,Current Income Taxes Payable,-,-,1.41,0.9,4.83,1.65,-
22,Current Unearned Revenue,5.39,5.69,3.82,5.98,8.63,7.03,-
23,Other Current Liabilities,0.06,0.19,13.87,0.27,0.26,1.11,-
24,Total Current Liabilities,99,94.38,132.01,139.76,114.99,85.02,-
25,Long-Term Debt,21.28,22.58,22.96,14.55,14.33,15.25,-
26,Long-Term Leases,2.66,3.41,0.57,0.77,1.38,1.98,-
27,Long-Term Deferred Tax Liabilities,0.88,1.17,1.53,1.09,0.37,0.59,-
28,Total Liabilities,123.82,121.54,157.07,156.17,131.07,102.84,-
29,Common Stock,5.71,5.71,5.71,5.71,-,-,-
30,Additional Paid-In Capital,71.06,71.06,71.06,71.06,-,-,-
31,Retained Earnings,164.62,150.34,139.67,136.92,126.14,110.14,-
32,Comprehensive Income & Other,3.59,0.43,-0.86,-0.76,-0.14,0.05,-
33,Shareholders' Equity,244.98,227.53,215.58,212.93,126,110.19,-
34,Total Liabilities & Equity,368.79,349.06,372.64,369.1,257.07,213.02,-
35,Total Debt,41,54.91,64.31,74.5,50.55,47.25,-
36,Net Cash (Debt),21.39,5.5,11.4,-6.16,-40.71,-42.53,-
37,Net Cash Growth,87.72%,-,-,-,-,-,-
38,Net Cash Per Share,0.02,0.01,0.01,-0.01,-0.06,-0.06,-
39,Filing Date Shares Outstanding,1000,1000,1000,1000,723,723,723
40,Total Common Shares Outstanding,1000,1000,1000,1000,723,723,723
41,Working Capital,206.96,189.29,180.78,169.49,97.13,84.45,-
42,Book Value Per Share,0.24,0.23,0.22,0.21,0.17,0.15,-
43,Tangible Book Value,244.98,227.53,215.58,212.93,126,110.19,-
44,Tangible Book Value Per Share,0.24,0.23,0.22,0.21,0.17,0.15,-
45,Land,15.52,15.52,15.52,15.52,10.52,10.52,-
46,Buildings,13.85,13.87,13.87,13.87,13.87,13.87,-
47,Machinery,37.64,43.01,33.87,32.52,28.87,28.15,-
48,Leasehold Improvements,1.59,1.48,1.48,1.48,0.94,0.81,-
