,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,430,375,390,465,465,-,-,-
1,Market Cap Growth,-19.35%,-19.35%,-16.13%,-,-,-,-,-
2,Enterprise Value,395,366,371,476,538,-,-,-
3,Last Close Price,0.43,0.36,0.38,0.43,0.43,-,-,-
4,PE Ratio,10.41,9.08,8.45,10.17,9.75,-,-,-
5,PS Ratio,0.28,0.25,0.25,0.30,0.31,-,-,-
6,PB Ratio,1.06,0.92,1.01,1.28,1.23,-,-,-
7,P/TBV Ratio,0.92,0.92,1.01,1.28,1.23,-,-,-
8,P/FCF Ratio,11.99,10.46,9.47,-22.89,-,-,-,-
9,P/OCF Ratio,8.64,8.64,7.45,-70.50,-,-,-,-
10,EV/Sales Ratio,0.26,0.24,0.23,0.31,0.36,-,-,-
11,EV/EBITDA Ratio,6.58,6.60,5.97,6.51,6.31,-,-,-
12,EV/EBIT Ratio,8.15,7.54,6.69,7.07,6.75,-,-,-
13,EV/FCF Ratio,11.00,10.20,9.00,-23.43,-,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.24,0.30,0.35,0.40,0.43,-
15,Debt / FCF Ratio,1.89,1.89,2.27,-5.31,-,-67.48,-,-
16,Return on Capital Employed (ROCE),10.86%,10.86%,12.78%,16.66%,19.52%,30.09%,29.53%,-
17,Earnings Yield,9.60%,11.01%,11.84%,9.83%,10.25%,-,-,-
18,FCF Yield,8.34%,9.56%,10.56%,-4.37%,-10.85%,-,-,-
19,Buyback Yield / Dilution,-3.97%,-,-8.26%,-38.33%,-27.78%,-,-,-
20,Total Shareholder Return,-0.83%,-,-8.26%,-38.33%,-27.78%,-,-,-
