,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,714305,721235,693496,181923,206072,167434,170654,135235,85327,-,-,-,-,-,-
1,Market Cap Growth,330.76%,330.76%,306.38%,34.52%,141.51%,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,10300.00,10400.00,10000.00,11300.00,12800.00,10400.00,10600.00,8400.00,5300.00,10848.90,4993.94,3874.61,4219.02,5080.04,4993.94
3,PE Ratio,41.73,46.19,41.74,9.64,9.56,6.91,6.17,5.53,5.44,-,-,-,-,-,-
4,PS Ratio,9.85,9.99,9.36,2.36,2.66,2.16,2.36,2.25,1.79,-,-,-,-,-,-
5,PB Ratio,0.92,0.93,0.90,0.24,0.27,0.22,0.23,-,-,-,-,-,-,-,-
6,P/FCF Ratio,-,-,-,-,-,4.09,5.94,8.18,-13.78,-,-,-,-,-,-
7,P/OCF Ratio,-,-,-,-,-,3.94,5.78,8.18,-16.72,-,-,-,-,-,-
8,Debt / Equity Ratio,0.17,0.17,0.17,0.06,0.06,-,-,-,-,-,-,-,-,-,-
9,Asset Turnover,0.08,0.08,0.09,-,0.10,-,-,-,-,-,-,-,-,-,
10,Quick Ratio,3.42,3.42,3.42,7.66,7.66,35.89,35.89,-,-,2.34,2.19,2.24,-,-,-
11,Current Ratio,3.44,3.44,3.44,7.72,7.72,36.14,36.14,-,-,2.43,2.26,2.30,-,-,-
12,Return on Equity (ROE),0.78%,1.57%,2.90%,-,1.33%,-,-,-,-,-,-,-,-,-,
13,Return on Assets (ROA),0.66%,1.39%,2.70%,-,1.31%,-,-,-,-,-,-,-,-,-,
14,Earnings Yield,2.40%,2.16%,2.40%,10.38%,10.46%,14.48%,16.21%,18.09%,18.38%,-,-,-,-,-,-
15,FCF Yield,-22.65%,-22.65%,-10.48%,9.85%,14.28%,24.46%,16.84%,12.22%,-7.26%,-,-,-,-,-,-
16,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,4.58%,29.62%,9.21%
17,Buyback Yield / Dilution,-0.00%,-0.01%,-0.00%,0.00%,0.00%,-330.21%,-332.93%,-331.61%,-323.18%,4.07%,0.26%,-,-,-,-
18,Total Shareholder Return,-0.00%,-0.01%,-0.00%,0.00%,0.00%,-330.21%,-332.93%,-331.61%,-323.18%,4.07%,0.26%,-,-,-,-
