,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,1953,1953,168.16,168.16,6982,6982,-,-,66848,58932,50956,-,-,-
1,Trading Asset Securities,19082,19082,19082,19082,19082,19082,-,-,-,-,-,-,-,-
2,Accounts Receivable,-39574,-39574,-39504,-39504,-39589,-39589,-,-,404.91,1480,108.58,-,-,-
3,Other Receivables,483694,483694,435827,435827,393744,393744,-,-,91162,76163,70760,-,-,-
4,"Property, Plant & Equipment",3464,3464,4148,4148,4837,4837,-,-,2687,2642,3280,-,-,-
5,Other Intangible Assets,3533,3533,4124,4124,4715,4715,-,-,11505,14555,15935,-,-,-
6,Investments in Debt & Equity Securities,417000,417000,377000,377000,357000,357000,-,-,59729,64990,53058,-,-,-
7,Other Current Assets,2590,2590,3212,3212,2697,2697,-,-,5464,4626,3422,-,-,-
8,Other Long-Term Assets,16537,16537,16413,16413,16269,16269,-,-,4110,3905,20875,-,-,-
9,Total Assets,908280,908280,820471,820471,765737,765737,-,-,241911,227291,218394,-,-,-
10,Accounts Payable,487.69,487.69,530.67,530.67,706.78,706.78,-,-,59509,58692,50291,-,-,-
11,Accrued Expenses,2885,2885,2463,2463,5592,5592,-,-,626.31,1198,1302,-,-,-
12,Short-Term Debt,128291,128291,46900,46900,-,-,-,-,-,-,-,-,-,-
13,Other Current Liabilities,1928,1928,1954,1954,2963,2963,-,-,4990,1355,1426,-,-,-
14,Total Liabilities,136020,136020,54235,54235,10595,10595,-,-,67577,62375,54369,-,-,-
15,Common Stock,693500,693500,693500,693500,693500,693500,-,-,161000,161000,161000,-,-,-
16,Additional Paid-In Capital,28280,28280,28280,28280,28280,28280,-,-,-,-,-,-,-,-
17,Retained Earnings,49831,49831,43808,43808,32713,32713,-,-,13334,3916,3025,-,-,-
18,Comprehensive Income & Other,648.82,648.82,648.82,648.82,648.82,648.82,-,-,-,-,-,-,-,-
19,Shareholders' Equity,772260,772260,766237,766237,755141,755141,-,-,174334,164916,164025,-,-,-
20,Total Liabilities & Equity,908280,908280,820471,820471,765737,765737,-,-,241911,227291,218394,-,-,-
21,Total Debt,128291,128291,46900,46900,-,-,-,-,-,-,-,-,-,-
22,Net Cash (Debt),-107256,-107256,-27650,-27650,26064,26064,-,-,66848,58932,50956,-,-,-
23,Net Cash Growth,-,-,-,-,-61.01%,-55.77%,-,-,-,-,-,-,-,-
24,Net Cash Per Share,-1546.47,-1546.57,-398.71,-398.71,375.85,375.84,-,-,4147.11,3679.01,3171.29,-,-,-
25,Filing Date Shares Outstanding,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35,16.12,16.02,16.07,16.39,16.8,16.06
26,Total Common Shares Outstanding,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35,16.12,16.02,16.07,16.39,16.8,16.06
27,Working Capital,331726,331726,364551,364551,372320,372320,-,-,96302,78824,70876,-,-,-
28,Book Value Per Share,11135.69,11135.69,11048.90,11048.90,10889.40,10889.10,-,-,10815.36,10295.44,10208.22,-,-,-
29,Tangible Book Value,768727,768727,762113,762113,750426,750426,-,-,162828,150361,148090,-,-,-
30,Tangible Book Value Per Share,11084.74,11084.74,10989.43,10989.43,10821.41,10821.11,-,-,10101.58,9386.80,9216.50,-,-,-
