,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Interest and Dividend Income,9571,10383,8277,8277,9130,10125,9539,9539,622.4,784.88,1331,1216,1712,869.34
1,Total Interest Expense,1186,940.66,169.73,169.73,92.42,184.44,513.12,513.12,-,-,-,-,-,-
2,Net Interest Income,8385,9443,8107,8107,9037,9940,9026,9026,622.4,784.88,1331,1216,1712,869.34
3,Brokerage Commission,3671,3923,4642,4642,3822,4750,3120,3120,6880,2516,1944,2062,2726,2228
4,Underwriting & Investment Banking Fee,96.02,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Gain on Sale of Investments (Rev),4914,4660,5116,5116,6075,6001,6359,6359,-,-,-,-,-,-
6,Other Revenue,182.14,-445.07,819.81,819.81,181.02,-124.92,491.06,491.06,6352,5046,3325,3553,4418,5212
7,Revenue,17249,17581,18684,18684,19115,20566,18997,18997,13854,8346,6600,6831,8856,8310
8,Revenue Growth (YoY),-9.76%,-14.51%,-1.64%,-1.64%,37.97%,146.41%,187.82%,178.08%,56.44%,0.43%,-,-,-,-
9,Cost of Services Provided,15322,13779,11720,11720,15936,14037,10481,10481,6269,5916,7314,6662,8547,7448
10,Total Operating Expenses,15322,13779,11720,11720,15936,14037,10481,10481,6269,5916,7314,6662,8547,7448
11,Operating Income,1926,3802,6965,6965,3178,6529,8516,8516,7585,2430,-713.6,169.62,309.05,862.4
12,Other Non-Operating Income (Expenses),1.2,2.49,2.12,2.12,6.43,4.94,4.18,4.18,9.84,61.15,-50.01,-12.58,2.09,3.56
13,EBT Excluding Unusual Items,1928,3805,6967,6967,3185,6534,8520,8520,7595,2491,-763.61,157.04,311.14,865.95
14,Gain (Loss) on Sale of Investments,0.01,0.04,-0.01,-0.01,-0.04,80.06,1439,1439,-,-,-,-,-,-
15,Pretax Income,1928,3805,6967,6967,3185,6614,9958,9958,7595,2491,-763.61,157.04,311.14,865.95
16,Income Tax Expense,421.27,793.06,1419,1419,677.13,1338,1727,1727,1663,422.71,-217.3,25.93,126.31,271.75
17,Net Income,1506,3012,5548,5548,2508,5276,8231,8231,5932,2068,-546.31,131.1,184.83,594.21
18,Net Income to Common,1506,3012,5548,5548,2508,5276,8231,8231,5932,2068,-546.31,131.1,184.83,594.21
19,Net Income Growth,-39.93%,-42.91%,-32.60%,-32.60%,-57.73%,155.06%,-,6178.45%,3109.43%,248.08%,-,-,-,-
20,Shares Outstanding (Basic),69,69,69,69,69,69,69,69,16,16,16,16,17,16
21,Shares Outstanding (Diluted),69,69,69,69,69,69,69,69,16,16,16,16,17,16
22,Shares Change (YoY),0.01%,0.00%,-0.00%,-0.00%,330.21%,332.93%,331.61%,323.18%,-4.07%,-0.26%,-,-,-,-
23,EPS (Basic),21.72,43.43,80.00,80.00,36.16,76.07,118.69,118.69,368.00,129.12,-34.00,8.00,11.00,37.00
24,EPS (Diluted),21.72,43.43,80.00,80.00,36.16,76.07,118.69,118.69,368.00,129.12,-34.00,8.00,11.00,37.00
25,EPS Growth,-39.93%,-42.92%,-32.60%,-32.60%,-90.17%,-41.08%,-,1383.63%,3245.45%,248.98%,-,-,-,-
26,Free Cash Flow,-78405,-78405,-3259,-3259,12216,12216,8264,8264,-,-,-14456,-14456,22228,22228
27,Free Cash Flow Per Share,-1130.48,-1130.56,-46.99,-46.99,176.16,176.15,119.16,119.16,-,-,-899.71,-882.13,1322.94,1384.12
28,Operating Margin,11.17%,21.63%,37.28%,37.28%,16.63%,31.75%,44.83%,44.83%,54.75%,29.11%,-10.81%,2.48%,3.49%,10.38%
29,Profit Margin,8.73%,17.13%,29.69%,29.69%,13.12%,25.65%,43.33%,43.33%,42.82%,24.78%,-8.28%,1.92%,2.09%,7.15%
30,Free Cash Flow Margin,-454.56%,-445.97%,-17.44%,-17.44%,63.91%,59.40%,43.50%,43.50%,-,-,-219.03%,-211.62%,251.00%,267.49%
31,Effective Tax Rate,21.85%,20.84%,20.37%,20.37%,21.26%,20.24%,17.34%,17.34%,21.90%,16.97%,-,16.51%,40.60%,31.38%
32,Revenue as Reported,18434,18522,18854,18854,19207,20750,19510,19510,13854,8346,6600,6831,8856,8310
