,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,481.12,456.59,330.67,287.96,285.15,158.15,132.14,144.17,119.46,358.08,Upgrade
1,Trading Asset Securities,0.2,0.27,0.3,0.34,0.36,0.42,1.29,1.23,1.51,0.83,Upgrade
2,Cash & Short-Term Investments,481.33,456.86,330.96,288.3,285.51,158.57,133.43,145.41,120.97,358.9,Upgrade
3,Cash Growth,45.43%,58.47%,15.92%,81.81%,113.98%,9.05%,10.30%,-59.49%,-84.99%,50.94%,Upgrade
4,Accounts Receivable,103.54,196.71,198.96,228.86,211.14,232.43,640.68,713.88,1766,2688,Upgrade
5,Other Receivables,138.39,11.34,37.94,9.33,17.97,23.63,155.22,92.27,301.93,114.76,Upgrade
6,Receivables,241.93,208.04,236.9,238.19,229.11,256.06,795.9,806.15,2068,2802,Upgrade
7,Inventory,34.05,17.83,31.19,47.59,2.3,7.62,12.68,37.29,26.59,36.41,Upgrade
8,Prepaid Expenses,-,1.21,-,2.2,-,1.84,-,1.89,-,1.65,Upgrade
9,Other Current Assets,131.44,118.9,118.84,150.45,830.16,251.26,233.2,141.36,180.4,296.98,Upgrade
10,Total Current Assets,888.74,802.84,717.89,726.73,1347,675.36,1175,1132,2396,3496,Upgrade
11,"Property, Plant & Equipment",658.74,502.35,296.37,239.37,238.83,200.4,169.94,153.58,314.38,327.14,Upgrade
12,Long-Term Investments,127.13,125.9,226.75,224.23,265.51,265.92,253.61,247.08,45.36,44.83,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,3.55,3.55,Upgrade
14,Long-Term Accounts Receivable,-,-,80.4,119.93,181.19,310.35,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,40.36,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,152.84,156.93,162.99,168.31,171.86,176.44,209.57,215.22,46.05,1.26,Upgrade
17,Total Assets,1868,1588,1484,1479,2204,1628,1808,1748,2805,3873,Upgrade
18,Accounts Payable,14.11,2.95,-,38.86,16.41,-,-,28.95,814.95,1219,Upgrade
19,Accrued Expenses,-,12.98,-,14.35,-,64.18,-,20.91,74.51,18.8,Upgrade
20,Short-Term Debt,55.82,-,-,-,-,-,141.61,140.2,169.36,846.86,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,47.08,24.56,Upgrade
22,Current Portion of Leases,2.55,1.44,2.37,2.84,2.57,1.36,1.48,2.09,2.42,1.24,Upgrade
23,Current Income Taxes Payable,2.44,0.67,1.89,1.05,1.64,1.81,0.47,-,18.99,0.27,Upgrade
24,Current Unearned Revenue,65.97,1.8,18.57,2.08,5.03,1.76,21.35,0.01,26.47,25.97,Upgrade
25,Other Current Liabilities,161.55,110.66,33.66,21.61,750.78,120.29,223.01,133.7,118.85,89.2,Upgrade
26,Total Current Liabilities,302.43,130.49,56.49,80.78,776.42,189.39,387.92,325.84,1273,2226,Upgrade
27,Long-Term Debt,275.83,159.89,53.34,-,-,-,-,-,120.42,135.08,Upgrade
28,Long-Term Leases,1.46,0.25,0.71,1.67,1.48,0.22,-,0.5,1.48,0.13,Upgrade
29,Long-Term Deferred Tax Liabilities,0.62,-,-,-,-,-,-,-,3.77,3.9,Upgrade
30,Other Long-Term Liabilities,3.04,-,-,-,-,-,-,-,-,-,Upgrade
31,Total Liabilities,583.38,290.63,110.55,82.45,777.9,189.62,387.92,326.34,1398,2365,Upgrade
32,Common Stock,53.08,53.08,53.08,53.08,53.08,53.08,53.08,53.08,53.08,53.09,Upgrade
33,Additional Paid-In Capital,566.11,566.11,566.11,566.11,566.11,566.11,566.11,566.11,566.11,566.23,Upgrade
34,Retained Earnings,639.29,648.04,733.21,743.36,750.96,737.18,725.62,730.96,725.42,823.97,Upgrade
35,Comprehensive Income & Other,27.77,31.35,22.22,33.94,56.45,82.48,75.09,70.97,42.62,48.34,Upgrade
36,Total Common Equity,1286,1299,1375,1396,1427,1439,1420,1421,1387,1492,Upgrade
37,Minority Interest,-1.82,-1.2,-0.77,-0.37,-0.05,-,0.51,0.5,19.53,16.33,Upgrade
38,Shareholders' Equity,1284,1297,1374,1396,1427,1439,1420,1422,1407,1508,Upgrade
39,Total Liabilities & Equity,1868,1588,1484,1479,2204,1628,1808,1748,2805,3873,Upgrade
40,Total Debt,335.65,161.59,56.43,4.51,4.05,1.58,143.09,142.78,340.76,1008,Upgrade
41,Net Cash (Debt),145.68,295.27,274.54,283.79,281.46,156.99,-9.66,2.63,-219.79,-648.97,Upgrade
42,Net Cash Growth,-46.94%,4.05%,-2.46%,80.77%,-,5875.87%,-,-,-,-,Upgrade
43,Net Cash Per Share,0.07,0.14,0.13,0.13,0.13,0.07,-0.00,0.00,-0.10,-0.31,Upgrade
44,Filing Date Shares Outstanding,2123,2123,2123,2123,2123,2123,2123,2123,2123,2124,Upgrade
45,Total Common Shares Outstanding,2123,2123,2123,2123,2123,2123,2123,2123,2123,2124,Upgrade
46,Working Capital,586.31,672.35,661.4,645.96,570.65,485.97,787.29,806.25,1123,1270,Upgrade
47,Book Value Per Share,0.61,0.61,0.65,0.66,0.67,0.68,0.67,0.67,0.65,0.70,Upgrade
48,Tangible Book Value,1286,1299,1375,1396,1427,1439,1420,1421,1384,1488,Upgrade
49,Tangible Book Value Per Share,0.61,0.61,0.65,0.66,0.67,0.68,0.67,0.67,0.65,0.70,Upgrade
50,Buildings,-,1.7,-,1.7,-,1.7,-,1.7,-,16.98,Upgrade
51,Machinery,-,41.59,-,36.6,-,35.63,-,36.26,-,121.08,Upgrade
52,Construction In Progress,-,381.45,-,113.04,-,60.36,-,14.41,-,5.41,Upgrade
53,Leasehold Improvements,-,1.83,-,1.14,-,0.73,-,0.48,-,1.07,Upgrade
