,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,71219,53019,53639,68626,77639,75703,90208,87220,74467,67600,74796,Upgrade
1,Market Cap Growth,-22.74%,-22.74%,-30.91%,-9.35%,-13.93%,-13.21%,21.14%,29.02%,-0.44%,-7.81%,27.28%,Upgrade
2,Enterprise Value,77138,59468,57094,76769,80919,77022,85473,82634,69344,66278,73084,Upgrade
3,Last Close Price,12.64,9.41,8.93,11.43,12.39,11.56,12.93,12.08,9.72,8.83,9.28,Upgrade
4,PE Ratio,19.70,14.66,15.62,21.05,26.09,21.40,19.33,19.51,15.44,14.64,20.07,Upgrade
5,Forward PE,17.69,14.10,12.22,16.88,18.93,17.74,17.78,17.88,15.88,19.98,24.12,Upgrade
6,PS Ratio,0.82,0.61,0.61,0.78,0.87,0.84,0.99,1.03,0.93,0.96,1.08,Upgrade
7,PB Ratio,5.30,3.13,2.83,4.06,4.08,3.44,3.28,3.18,2.53,2.82,2.90,Upgrade
8,P/TBV Ratio,4.03,4.03,3.57,5.25,5.24,4.27,3.99,3.82,3.01,3.39,3.46,Upgrade
9,P/FCF Ratio,30.48,22.69,25.17,20.05,50.82,-,29.97,23.94,9.79,7.53,11.06,Upgrade
10,P/OCF Ratio,8.01,8.01,8.86,10.52,15.35,16.14,13.56,13.07,7.33,6.27,8.54,Upgrade
11,PEG Ratio,1.46,1.35,0.59,0.70,3.09,1.91,11.54,13.48,2.77,2.60,2.31,Upgrade
12,EV/Sales Ratio,0.89,0.69,0.64,0.87,0.91,0.86,0.94,0.98,0.86,0.94,1.05,Upgrade
13,EV/EBITDA Ratio,8.97,7.32,7.56,10.79,12.16,10.57,10.04,8.92,6.93,8.03,9.87,Upgrade
14,EV/EBIT Ratio,15.93,12.60,13.87,19.93,24.33,19.78,16.97,14.03,10.46,13.09,17.86,Upgrade
15,EV/FCF Ratio,33.01,25.45,26.79,22.43,52.96,-,28.40,22.68,9.11,7.39,10.81,Upgrade
16,Debt / Equity Ratio,0.97,0.97,0.82,1.15,1.07,0.95,0.63,0.69,0.57,0.70,0.56,Upgrade
17,Debt / FCF Ratio,7.06,7.06,7.27,5.67,13.26,-,5.72,5.17,2.19,1.86,2.13,Upgrade
18,Return on Capital Employed (ROCE),20.81%,20.81%,15.60%,13.25%,11.00%,11.88%,13.46%,14.63%,16.20%,16.54%,12.34%,Upgrade
19,Earnings Yield,5.08%,6.82%,6.40%,4.75%,3.83%,4.67%,5.17%,5.13%,6.48%,6.83%,4.98%,Upgrade
20,FCF Yield,3.28%,4.41%,3.97%,4.99%,1.97%,0.87%,3.34%,4.18%,10.22%,13.27%,9.04%,Upgrade
21,Dividend Yield,4.71%,-,-,-,2.13%,-,3.21%,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,0.05%,0.07%,0.02%,-0.06%,-0.04%,-0.07%,-0.05%,-0.03%,-0.04%,-0.08%,-0.04%,Upgrade
23,Total Shareholder Return,4.76%,0.07%,0.02%,-0.06%,2.09%,-0.07%,3.16%,-0.03%,-0.04%,-0.08%,-0.04%,Upgrade
