,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,379.94,414.64,476.87,2378,1379,938.71,758.03
1,Revenue Growth (YoY),-20.32%,-82.56%,-65.41%,153.28%,81.87%,-,-
2,Cost of Revenue,251.75,270.51,295.2,1721,727.58,425.63,371.97
3,Gross Profit,128.2,144.12,181.67,656.66,651.07,513.08,386.06
4,"Selling, General & Admin",189.65,175.11,167.39,350.97,347.71,233.2,192.18
5,Other Operating Expenses,51.34,-10.82,-0.72,-34.85,16,-14.14,8.25
6,Operating Expenses,240.99,268.84,166.66,503.62,363.71,241.98,200.43
7,Operating Income,-112.79,-124.72,15,153.04,287.37,271.1,185.63
8,Interest Expense,-26.65,-25.55,-18.01,-11.87,-7.98,-8.1,-9.13
9,Interest & Investment Income,3.63,6.37,2.96,1.03,4.15,6.53,4.22
10,Currency Exchange Gain (Loss),0.86,-3.89,9.18,1.55,-,-,-
11,Other Non Operating Income (Expenses),-1.24,-0.06,-,-0.58,-,-0.16,-
12,EBT Excluding Unusual Items,-136.19,-147.86,9.13,143.16,283.54,269.37,180.73
13,Gain (Loss) on Sale of Investments,1.13,9.59,40.94,17.26,-,-0.5,0.77
14,Gain (Loss) on Sale of Assets,3.28,0.65,0.74,-0.5,-0.04,0.9,-0.04
15,Pretax Income,-131.78,-137.62,50.81,159.92,283.5,269.77,181.45
16,Income Tax Expense,-5.72,12.3,2.78,20.74,48.74,45.2,33.52
17,Earnings From Continuing Operations,-126.06,-149.92,48.03,139.19,234.76,224.57,147.93
18,Earnings From Discontinued Operations,-,-,-,-,-,-,9.4
19,Net Income to Company,-126.06,-149.92,48.03,139.19,234.76,224.57,157.32
20,Minority Interest in Earnings,-0.07,-1.06,0.69,3.76,-0.4,0.09,-1.05
21,Net Income,-126.13,-150.97,48.72,142.95,234.36,224.66,156.27
22,Net Income to Common,-126.13,-150.97,48.72,142.95,234.36,224.66,156.27
23,Net Income Growth,-,-,-79.21%,-36.37%,49.97%,-,-
24,Shares Outstanding (Basic),601,603,619,622,528,500,497
25,Shares Outstanding (Diluted),601,603,619,622,528,500,497
26,Shares Change (YoY),-3.01%,-3.03%,17.35%,24.38%,6.17%,-,-
27,EPS (Basic),-0.21,-0.25,0.08,0.23,0.44,0.45,0.31
28,EPS (Diluted),-0.21,-0.25,0.08,0.23,0.44,0.45,0.31
29,EPS Growth,-,-,-82.12%,-48.84%,39.95%,-,-
30,Free Cash Flow,67.76,149.79,123.06,157.44,-336.92,174.03,-27.49
31,Free Cash Flow Per Share,0.11,0.25,0.20,0.25,-0.64,0.35,-0.06
32,Dividend Per Share,-,-,-,0.197,0.075,-,-
33,Operating Margin,-29.69%,-30.08%,3.15%,6.44%,20.84%,28.88%,24.49%
34,Profit Margin,-33.20%,-36.41%,10.22%,6.01%,17.00%,23.93%,20.62%
35,Free Cash Flow Margin,17.83%,36.13%,25.81%,6.62%,-24.44%,18.54%,-3.63%
36,EBITDA,-89.54,-105.74,37.23,212.47,357.07,293.66,202.5
37,D&A For EBITDA,23.25,18.98,22.23,59.43,69.7,22.55,16.87
38,EBIT,-112.79,-124.72,15,153.04,287.37,271.1,185.63
