,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2813,6420,7456,9244,10015,11183,-,-
1,Market Cap Growth,-30.56%,-30.56%,-25.55%,-17.33%,-,-,-,-
2,Enterprise Value,2255,5898,6861,8524,9204,10644,-,-
3,Last Close Price,4.70,10.66,12.28,14.62,15.84,17.58,-,-
4,PE Ratio,-,-,-,44.64,23.48,20.80,-,-
5,Forward PE,-,10.67,10.67,10.67,13.69,-,-,-
6,PS Ratio,3.31,7.52,7.59,3.00,2.36,4.12,-,-
7,PB Ratio,1.36,3.10,3.19,3.75,3.49,3.89,-,-
8,P/TBV Ratio,3.12,3.12,3.21,3.76,3.50,3.89,-,-
9,P/FCF Ratio,12.03,27.46,24.80,30.50,-49.36,-,-,-
10,P/OCF Ratio,23.62,23.62,20.27,18.07,64.49,-,-,-
11,PEG Ratio,0.40,0.40,0.40,0.40,0.51,-,-,-
12,EV/Sales Ratio,2.64,6.91,6.99,2.76,2.17,3.92,-,-
13,EV/EBITDA Ratio,-,-,-,31.59,14.29,13.96,-,-
14,EV/EBIT Ratio,-,-,-,46.95,18.49,16.27,-,-
15,EV/FCF Ratio,9.65,25.23,22.82,28.12,-45.36,-,-,-
16,Debt / Equity Ratio,0.61,0.61,0.66,0.44,0.31,0.21,0.25,-
17,Debt / FCF Ratio,5.41,5.41,5.09,3.57,-4.38,-,2.47,-
18,Return on Capital Employed (ROCE),-,-,-,6.55%,15.04%,20.64%,28.82%,-
19,Earnings Yield,-10.59%,-4.64%,-1.51%,2.24%,4.26%,4.81%,-,-
20,FCF Yield,8.31%,3.64%,4.03%,3.28%,-2.03%,-1.71%,-,-
21,Dividend Yield,0.43%,-,-,-,1.95%,0.50%,-,-
22,Buyback Yield / Dilution,3.02%,3.01%,3.03%,-17.35%,-24.38%,-6.17%,-,-
23,Total Shareholder Return,3.45%,3.01%,3.03%,-17.35%,-22.43%,-5.67%,-,-
