,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2857,2858,2201,2506,3205,3092,2905,3123,3134,3471,3185,3353,3499,4784,3043,4077,4042,-,-,-,-
1,Market Cap Growth,2.26%,-7.55%,-24.23%,-19.75%,2.26%,-10.92%,-8.79%,-6.86%,-10.41%,-27.45%,4.67%,-17.76%,-13.44%,-,-,-,-,-,-,-,-
2,Enterprise Value,2452,2521,1830,2102,2801,2708,2467,2665,2676,2944,2530,2653,2775,4025,2190,4062,4027,-,-,-,-
3,PE Ratio,23.07,13.63,12.85,17.71,20.93,24.72,31.44,25.77,19.50,17.16,13.29,14.86,17.49,26.59,21.34,28.44,32.67,-,-,-,-
4,PS Ratio,1.90,1.11,0.99,1.24,1.70,2.03,2.04,2.18,2.18,2.22,2.11,2.51,2.90,4.39,3.39,4.76,5.07,-,-,-,-
5,PB Ratio,1.62,1.44,1.17,1.34,1.71,1.68,1.63,1.73,1.75,1.95,1.83,1.88,2.03,2.86,1.90,2.47,2.50,-,-,-,-
6,P/FCF Ratio,32.01,27.36,34.97,-,35.91,165.91,-44.21,-,-31.81,-,-,-,-,-,-60.07,-,184.05,-,-,-,-
7,P/OCF Ratio,11.82,11.49,8.69,-,11.82,15.24,17.24,-,13.73,11.07,10.09,10.55,13.12,21.10,19.39,-,23.13,-,-,-,-
8,EV/Sales Ratio,1.61,0.98,0.82,1.04,1.49,1.78,1.74,1.86,1.86,1.88,1.68,1.99,2.30,3.69,2.44,4.74,5.05,-,-,-,-
9,EV/EBITDA Ratio,10.31,-,6.35,-,10.08,11.68,12.87,11.74,9.88,9.54,7.27,8.16,9.83,15.76,10.46,19.38,20.70,-,-,-,-
10,EV/EBIT Ratio,16.93,9.39,8.19,11.28,14.20,17.43,20.42,16.77,12.83,11.69,8.64,9.63,11.86,19.31,13.37,24.53,26.50,-,-,-,-
11,EV/FCF Ratio,27.47,24.13,29.07,-,31.38,145.29,-37.54,-,-27.16,-,-,-,-,-,-43.24,-,183.39,-,-,-,-
12,Debt / Equity Ratio,0.13,0.12,0.13,0.12,0.13,0.15,0.16,0.13,0.13,0.13,0.13,0.12,0.10,0.10,0.08,0.09,0.08,0.18,0.10,0.19,0.19
13,Debt / EBITDA Ratio,0.87,-,0.60,-,0.67,0.75,1.30,1.77,1.19,1.10,0.63,0.70,0.52,0.46,0.45,1.00,0.55,0.69,0.27,1.53,0.46
14,Debt / FCF Ratio,2.80,2.25,3.87,-,2.80,15.12,-4.47,-,-2.32,-,-,-,-,-,-2.40,-,5.84,-,0.48,-,1.02
15,Quick Ratio,1.58,1.85,1.71,1.82,1.58,1.59,1.60,2.16,1.94,2.16,2.21,2.39,2.45,3.04,4.30,4.59,3.83,0.99,1.22,-,1.12
16,Current Ratio,1.85,2.36,2.11,2.21,1.85,1.95,1.86,2.49,2.20,2.46,2.44,2.61,2.66,3.29,4.59,4.88,4.03,1.23,1.51,-,1.32
17,Asset Turnover,1.37,1.07,-,0.97,0.83,0.71,0.55,0.42,0.71,0.75,0.57,0.68,0.70,0.54,0.40,0.68,0.63,-,-,-,
18,Return on Equity (ROE),21.18%,12.82%,-,10.82%,14.32%,6.38%,2.62%,3.69%,7.09%,13.88%,12.54%,14.09%,17.42%,11.68%,6.79%,13.76%,17.59%,28.56%,5.01%,-,
