,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,705.25,644.64,657.57,810.18,744.32,729.4,738.74,776.93,752.19,809.41,928.76,931.59,954.51,934.37,1048,1082,187.28,190.73,-,222.88
1,Short-Term Investments,-,-,-,-,-,4.04,-,-,-,8.02,-,0.59,-,1.49,-,1.28,-,-,-,1.26
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,10.01,-,-
3,Accounts Receivable,63.75,56.1,15.82,14.46,21.36,17.66,17.41,14.81,18.68,23.58,28.54,25.86,23.7,23.65,18.95,20.68,22.45,25.22,-,29.72
4,Other Receivables,7.69,5.93,18.77,6.69,7.66,4.66,7.47,5.57,14.75,3.36,2.68,0.4,3.88,0.72,2.97,0.22,26.65,2.06,-,0.51
5,Inventory,52,47.87,52.1,49.64,45.75,31.6,34.71,24.64,22.12,21.1,21.66,19.56,20.89,18.65,17.91,20.31,18.41,17.46,-,20.25
6,Other Current Assets,162.7,118.37,95.39,90.26,128.46,93.34,82.24,81.85,85.97,66.47,63.27,62.03,61.66,46.62,50.1,36.98,42.42,37.27,-,25.84
7,Total Current Assets,991.39,872.91,839.64,971.22,947.55,880.71,880.57,903.81,893.71,931.93,1045,1040,1065,1026,1138,1161,307.21,282.75,-,300.47
8,"Property, Plant & Equipment",1289,1309,1318,1331,1305,1283,1239,1246,1213,1151,1045,981.51,835.29,708.1,649.48,641.01,571.65,534.39,-,512.39
9,Other Intangible Assets,174.74,158.8,159.89,161.15,153.6,154.86,152.08,149.76,138.47,133.88,127.26,127.71,122.89,104.13,104.51,104.24,91.35,80.11,-,78.6
10,Long-Term Investments,54.72,54.24,54.11,53.61,71.28,89.53,89.62,89.17,96.79,95.6,94.43,93.41,94.16,93.97,92.1,91.3,90.16,90.16,-,87.27
11,Long-Term Deferred Tax Assets,10.37,10.39,9.93,9.77,4.71,4.73,4.51,4.34,2.77,2.92,2.65,3.52,2.29,2.28,2.03,2.07,1.9,1.96,-,1.91
12,Long-Term Deferred Charges,11.74,7.97,5.31,5.85,4.67,3.18,3.38,2.85,2.97,3.07,3.18,3.3,1.23,1.3,1.06,0.54,0.1,0.05,-,0.06
13,Other Long-Term Assets,9.94,14.7,19.4,22.29,13.94,19.93,12.42,13.3,20.16,14.4,59.66,29.24,29.94,13.36,11.3,11.35,34.43,13.75,-,10.11
14,Total Assets,2541,2428,2406,2555,2500,2436,2382,2410,2368,2332,2377,2279,2150,1949,1998,2011,1097,1003,-,990.81
15,Accounts Payable,163.89,151.98,153.38,216.82,212.77,217.13,192.54,224.21,208.32,211.54,227.04,199.46,161.66,102.11,95.44,115.95,114.29,102.82,-,86.86
16,Accrued Expenses,9.84,13.34,9.03,21.85,9.82,11.09,8.74,19.99,7.39,9.54,7.18,24.04,8.1,9.84,4.38,13.55,4.86,5.87,-,13.02
17,Short-Term Debt,108.22,115.23,85.09,115.12,115.1,108.06,60.07,60.11,60.03,77.08,77.06,70.15,70,50.12,80,80.14,80,23.03,-,62
18,Current Portion of Long-Term Debt,26.94,29.61,33.01,32.89,33.38,52.67,10.52,10.52,-,-,-,-,-,-,-,-,-,-,-,-
19,Current Unearned Revenue,60.55,56.65,60.36,91.71,81.38,57.45,46.95,58.88,46.51,46.04,39.18,56.61,43.47,35.19,33.49,54.41,36.93,35.96,-,-
20,Current Portion of Leases,-,1.79,-,-,-,0.98,-,-,1.32,1.14,1.62,1.57,1.4,1.7,-,-,-,-,-,-
21,Current Income Taxes Payable,20.91,10.82,11.02,16.27,14.71,6.66,11.53,14.42,17.32,12.92,23.53,13.57,17.94,9.83,8.04,8.97,2.54,9.43,-,8.9
22,Other Current Liabilities,30.34,34.18,28.1,30.8,19.33,19,23.28,23.52,22.61,24.06,25.45,26.25,20.61,14.43,11.63,15.18,10.45,10.01,-,56.94
23,Total Current Liabilities,420.7,413.6,379.99,525.46,486.49,473.05,353.62,411.65,363.49,382.3,401.05,391.64,323.19,223.23,232.98,288.2,249.07,187.12,-,227.72
24,Long-Term Debt,87.16,82.47,96.69,96.56,129.44,128.8,170.04,154.6,171.27,151.57,135.8,102.84,97.8,65.91,60.2,48.08,50,50.07,-,62.43
25,Long-Term Leases,12.79,14.32,8.56,5.35,3.84,3.31,2.83,3.07,3.17,3.58,3.87,4.16,3.73,4.02,1.06,-,-,-,-,-
26,Long-Term Unearned Revenue,36.25,37.5,38.75,40,42.43,43.96,45.5,45,48.56,50.1,51.63,53.16,53.45,53.73,54.01,54.3,54.58,50,-,50.43
27,Long-Term Deferred Tax Liabilities,4.59,4.48,3.59,3.56,0.11,2.91,2.84,2.96,3.4,3.18,2.81,3.52,1.35,1.36,1.16,1.16,0.85,1.08,-,0.95
28,Other Long-Term Liabilities,-,-,9.94,8.47,-,-,-,2.03,-,-,-,-,-,-,-,-,-,4.86,-,-
29,Total Liabilities,561.49,552.38,537.53,679.4,662.31,652.04,574.84,619.31,589.89,590.73,595.16,555.32,479.52,348.25,349.41,391.73,354.5,293.13,-,341.52
30,Common Stock,282.88,282.88,282.88,282.88,282.88,282.88,282.88,282.88,282.88,282.88,208,208,208,208,160,160,120,120,-,120
31,Additional Paid-In Capital,813.23,813.19,813.19,813.11,813.11,813.11,813.04,813.04,813.04,813.04,887.92,887.92,887.92,887.92,935.92,935.92,137.1,137.1,-,137.1
32,Retained Earnings,803.38,701.32,696.77,694.62,649.83,586.21,611.83,598.07,581.36,550.4,594.63,541.36,483.05,414.66,465,437.3,399.12,368.11,-,313.6
33,Treasury Stock,-20,-16.96,-14.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,35.59,31.72,27.32,21.89,33.65,46.04,42.46,38.11,42.78,38.16,35.97,32.41,33.65,34.27,33.91,32.86,33.24,32.45,-,28.58
