,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,866.25,631.06,462.48,612.34,522.96,418.81,329.06,250.68,419.08,435.78,329.62,372.47,361.61,266.02,199.09,258.23,170.18,223.57,139.49,266.62
1,Other Revenue,-13.03,13.03,-,-,-8.02,8.02,-,-,-4.22,4.22,-,5.22,-2.12,2.12,-,5.84,-3.54,3.54,-,4.98
2,Revenue,853.22,644.1,462.48,612.34,514.95,426.83,329.06,250.68,414.85,440,329.62,377.68,359.49,268.15,199.09,264.07,166.64,227.11,139.49,271.6
3,Revenue Growth (YoY),65.69%,50.90%,40.54%,144.27%,24.13%,-2.99%,-0.17%,-33.63%,15.40%,64.09%,65.56%,43.03%,115.72%,18.07%,42.72%,-2.77%,-,-,-,-
4,Operations & Maintenance,-0.65,0.65,-,-,-0.8,0.8,-,-,-0.63,0.63,-,1,-0.46,0.46,-,0.66,-0.28,0.28,-,1.11
5,"Selling, General & Admin",46.77,45.68,41.93,59.63,46.18,40.74,40.79,46.29,41.22,40.21,36.21,45.88,33.96,30.38,26.17,25.3,21.42,24.85,20.85,27.95
6,Provision for Bad Debts,-0,1.5,1.15,-0.87,-1.51,1.24,1.13,-0.92,-0.69,1.66,-0.05,5.86,0.09,1.64,-0.24,2.16,-0.16,0.26,0.3,-0.1
7,Other Operating Expenses,686.83,524.16,414.48,482.45,395.83,348.97,271.27,176.19,334.23,324.35,227.96,252.4,244.17,179.93,149.23,188.88,108.55,144.24,108.03,185.26
8,Total Operating Expenses,732.95,571.98,457.56,541.21,439.7,391.75,313.19,221.55,374.13,366.85,264.12,305.14,277.76,212.41,175.16,217,129.53,169.63,129.18,214.22
9,Operating Income,120.27,72.12,4.92,71.12,75.24,35.08,15.87,29.13,40.73,73.15,65.5,72.54,81.73,55.74,23.93,47.07,37.12,57.48,10.32,57.39
10,Interest Expense,-2.09,-2.63,-2.43,5.43,1.96,-6.4,-0.99,3.77,2.7,-5.36,-1.11,-2.06,-0.89,-2.26,-0.65,-1.05,-0.31,-1,-0.65,-0.93
11,Interest Income,1.66,0.85,1.47,-7.11,-1.81,6.53,2.4,-8.8,-1.03,6.86,2.96,3.82,4.22,9.25,4.21,2.05,0.61,2.56,0.5,0.87
12,Net Interest Expense,-0.43,-1.78,-0.96,-1.68,0.14,0.13,1.41,-5.02,1.67,1.5,1.85,1.76,3.33,6.99,3.56,1,0.3,1.55,-0.15,-0.06
13,Income (Loss) on Equity Investments,0.06,-0.04,-0.01,-0.18,0.01,0.08,-0.09,-,-,-0.09,0.09,-,-,-5.64,5.64,-,-,-,-,-
14,Other Non-Operating Income (Expenses),-1.55,-0.61,-0.8,-4.04,-2.84,-0.71,-1.09,1.97,-3.42,-0.5,-1.15,0.83,-1.25,-0.53,-0.18,0.81,-0.81,-0.78,-0.14,2.62
15,EBT Excluding Unusual Items,118.34,69.69,3.14,65.23,72.55,34.58,16.11,26.08,38.98,74.05,66.3,75.13,83.81,56.56,32.95,48.88,36.61,58.25,10.03,59.94
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.65,-0.24,-,-,-,-,-,-,-,-,0.01,-,-
17,Gain (Loss) on Sale of Assets,0.2,0.05,0.07,0.67,-0,0.14,0.03,-,-,0.06,0.01,0.04,0.01,0.01,0.06,0.05,-0,0.01,-,-1.46
18,Asset Writedown,0.03,-0.02,-,-0.09,-0.24,-0.06,-,-1.88,0.01,-0.01,-,-0.32,0.03,-0.03,-,-1.23,0.3,-0.56,-,-0.34
19,Other Unusual Items,-1.05,0.39,0.02,-4.19,-,-,-,-,-,-,-,0.95,-,-,-,2.2,-0.01,0.01,-,-1.38
20,Pretax Income,117.52,70.11,3.23,61.62,72.31,34.66,16.14,23.55,38.75,74.1,66.31,75.79,83.85,56.53,33,49.91,36.91,57.72,10.03,56.77
21,Income Tax Expense,15.42,10.12,2.84,11.41,7.49,6.01,4.37,7.1,7.56,12.94,11.35,16.02,12.62,9.11,5.28,9.28,4.97,9.19,1.89,8.71
