,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Operating Revenue,1910,1943,1536,1770,1767,1779,1736,1825,1990
1,Other Revenue,-,-,-,104.17,-,-,-,89.92,-
2,Revenue,1910,1943,1536,1874,1767,1779,1736,1915,1990
3,Revenue Growth (YoY),8.12%,9.17%,-11.54%,-2.13%,-11.21%,-,-,-,-
4,Cost of Revenue,1623,1674,1298,1601,1325,1422,1348,1504,1504
5,Gross Profit,287.66,268.83,237.89,272.55,442.04,357.27,388.45,410.63,485.65
6,"Selling, General & Admin",135.54,142.72,130.38,137.24,116.58,113.17,106.99,141.7,127.25
7,Research & Development,96.83,107.61,90.92,67.26,66.78,68.34,94.28,69.88,71.39
8,Other Operating Expenses,65.31,-59.81,-6.78,56.21,-42.81,-11.06,1.5,46.98,-3.09
9,Operating Expenses,295.17,195.55,210.42,255.02,155.25,179.17,205.06,264.06,195.26
10,Operating Income,-7.51,73.28,27.46,17.53,286.79,178.1,183.39,146.57,290.38
11,Interest Expense,-86.43,-87.36,-82.24,-100.11,-77.07,-102.95,-76.54,-73.04,-85.03
12,Interest & Investment Income,5.4,12.95,6.83,53.19,2.39,22.54,29.83,37.59,14.87
13,Currency Exchange Gain (Loss),9.76,-9.76,-,78.3,-85.12,85.12,-,245.29,-
14,Other Non Operating Income (Expenses),-0.43,8.01,-19.2,-82.4,72.16,6.01,-14.22,-241.25,104.16
15,EBT Excluding Unusual Items,-79.21,-2.88,-67.14,-33.49,199.15,188.83,122.46,115.17,324.39
16,Gain (Loss) on Sale of Investments,-11.59,-9.18,-15.42,3.72,-3.96,6.22,-,-,-
17,Gain (Loss) on Sale of Assets,-9.05,-6.2,9.23,5.33,0.21,45.93,27.71,95.62,2.98
18,Asset Writedown,-23.42,2.27,-3.09,58.45,-74.89,3.73,-5.01,-5.42,1.44
19,Other Unusual Items,76.76,-10.73,11.95,79.28,-,-,-,49.84,-
20,Pretax Income,-46.51,-26.73,-64.47,113.29,120.51,244.71,145.16,255.21,328.8
21,Income Tax Expense,3.59,9.82,6.75,-16.79,4.37,27.86,16.13,48.45,38.73
22,Earnings From Continuing Operations,-50.1,-36.55,-71.22,130.07,116.13,216.86,129.03,206.76,290.08
23,Minority Interest in Earnings,-11.43,9.24,2.77,-3.66,-6.41,-21.04,-15.48,-22.63,-28.32
24,Net Income,-61.53,-27.31,-68.44,126.41,109.72,195.82,113.56,184.13,261.75
25,Net Income to Common,-61.53,-27.31,-68.44,126.41,109.72,195.82,113.56,184.13,261.75
26,Net Income Growth,-,-,-,-31.35%,-58.08%,-,-,-,-
27,Shares Outstanding (Basic),5412,2961,3422,2910,2793,3349,2839,3079,3272
28,Shares Outstanding (Diluted),5412,2961,3422,2910,2793,3349,2839,3079,3272
29,Shares Change (YoY),93.78%,-11.57%,20.55%,-5.50%,-14.63%,-,-,-,-
30,EPS (Basic),-0.01,-0.01,-0.02,0.04,0.04,0.06,0.04,0.06,0.08
31,EPS (Diluted),-0.01,-0.01,-0.02,0.04,0.04,0.06,0.04,0.06,0.08
32,EPS Growth,-,-,-,-33.58%,-50.90%,-,-,-,-
33,Free Cash Flow,-152.54,272.7,-294.02,-473.56,-359.49,-75.99,-456.77,-320.4,-
34,Free Cash Flow Per Share,-0.03,0.09,-0.09,-0.16,-0.13,-0.02,-0.16,-0.10,-
35,Dividend Per Share,-,-,-,0.030,-,-,-,-,-
36,Gross Margin,15.06%,13.84%,15.49%,14.55%,25.02%,20.08%,22.37%,21.45%,24.40%
37,Operating Margin,-0.39%,3.77%,1.79%,0.94%,16.23%,10.01%,10.56%,7.66%,14.59%
38,Profit Margin,-3.22%,-1.41%,-4.46%,6.75%,6.21%,11.00%,6.54%,9.62%,13.15%
39,Free Cash Flow Margin,-7.98%,14.04%,-19.14%,-25.27%,-20.35%,-4.27%,-26.31%,-16.74%,-
40,EBITDA,187.18,303.41,222.16,212.23,503.27,416.64,399.87,363.05,492.09
41,EBITDA Margin,9.80%,15.62%,14.47%,11.33%,28.48%,23.41%,23.03%,18.96%,24.73%
42,D&A For EBITDA,194.7,230.13,194.7,194.7,216.48,238.54,216.48,216.48,201.7
43,EBIT,-7.51,73.28,27.46,17.53,286.79,178.1,183.39,146.57,290.38
44,EBIT Margin,-0.39%,3.77%,1.79%,0.94%,16.23%,10.01%,10.56%,7.66%,14.59%
45,Effective Tax Rate,-,-,-,-,3.63%,11.38%,11.11%,18.98%,11.78%
46,Revenue as Reported,1910,1943,1536,1874,1767,1779,1736,1915,1990
