,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,2175,2345,3843,4229,2244,2452,-,2924,-
1,Trading Asset Securities,96.01,138.78,246.85,294.15,291.26,398.2,-,327.35,-
2,Cash & Short-Term Investments,2271,2484,4089,4524,2535,2850,3251,3251,-
3,Cash Growth,-10.40%,-12.85%,25.78%,39.14%,-,-,-,-,-
4,Accounts Receivable,3050,3104,2996,2895,2899,2723,-,2670,-
5,Other Receivables,42.54,25.12,146.03,66.65,20.35,15.18,-,13.69,-
6,Receivables,3092,3129,3142,2961,2919,2738,-,2684,-
7,Inventory,2026,2071,2123,2006,2161,2104,-,1797,-
8,Other Current Assets,353.39,279.31,411.77,378.87,301.78,150.6,-,207.5,-
9,Total Current Assets,7743,7963,9766,9869,7917,7843,-,7939,-
10,"Property, Plant & Equipment",12854,12613,12225,12220,11668,11177,-,10927,-
11,Long-Term Investments,262.2,270.6,275.99,293.29,291.3,296.43,-,325.02,-
12,Goodwill,49.73,49.73,49.73,49.73,49.73,49.73,-,49.73,-
13,Other Intangible Assets,305.36,228,231.4,228.65,228.83,232.04,-,236.48,-
14,Long-Term Deferred Tax Assets,93.62,93.66,94.17,97.75,77.67,59.75,-,66.16,-
15,Long-Term Deferred Charges,75.3,78.27,115.61,79.14,79.29,81.38,-,82,-
16,Other Long-Term Assets,255.22,278.36,145.02,192.47,310.72,382.17,-,272.64,-
17,Total Assets,21639,21574,22903,23030,20623,20121,-,19899,-
18,Accounts Payable,1500,1595,1485,1440,1505,1083,-,1893,-
19,Accrued Expenses,199.43,151.71,125.11,198.89,142.44,175.78,-,318.73,-
20,Short-Term Debt,4476,4097,4806,4568,4226,4711,-,4718,-
21,Current Portion of Long-Term Debt,2012,1838,2025,2122,-,1860,-,1608,-
22,Current Portion of Leases,-,30.09,-,39.5,-,45.6,-,41.26,-
23,Current Income Taxes Payable,-,16.63,-,30.46,49.7,32.13,-,48.08,-
24,Current Unearned Revenue,21.67,34.76,40.22,22.54,44.93,41.09,-,45.56,-
25,Other Current Liabilities,93.93,156.84,121.04,87.59,2277,356.87,-,59.16,-
26,Total Current Liabilities,8302,7921,8603,8509,8246,8306,-,8732,-
27,Long-Term Debt,3744,3986,4447,4588,4262,3784,-,3419,-
28,Long-Term Leases,123.79,131.65,146.5,128.9,130.54,142.59,-,155.42,-
29,Long-Term Unearned Revenue,228.64,214.43,183.71,191.6,193.06,162.76,-,170.98,-
30,Long-Term Deferred Tax Liabilities,38.47,38.47,48.99,48.81,57.87,44.87,-,50.28,-
31,Other Long-Term Liabilities,3.32,3.32,3.32,3.32,3.32,3.63,-,6.84,-
32,Total Liabilities,12440,12294,13432,13470,12893,12444,-,12534,-
33,Common Stock,3771,3771,3771,3771,3071,3071,-,3071,-
34,Additional Paid-In Capital,2053,2053,2053,2053,1056,1056,-,1056,-
35,Retained Earnings,2635,2697,2837,2905,2779,2669,-,2496,-
36,Comprehensive Income & Other,-270.26,-244.95,-200.78,-181.55,-188.52,-145.66,-,-231.88,-
37,Total Common Equity,8189,8276,8460,8548,6718,6651,6391,6391,-
38,Minority Interest,1010,1004,1011,1012,1012,1026,-,973.21,-
39,Shareholders' Equity,9199,9280,9471,9560,7730,7677,7365,7365,-
40,Total Liabilities & Equity,21639,21574,22903,23030,20623,20121,-,19899,-
41,Total Debt,10355,10083,11425,11447,8619,10544,9941,9941,-
42,Net Cash (Debt),-8084,-7599,-7335,-6923,-6084,-7693,-6690,-6690,-
43,Net Cash Per Share,-1.49,-2.57,-2.14,-2.38,-2.18,-2.30,-2.36,-2.17,-
44,Filing Date Shares Outstanding,3771,3771,3771,3771,3071,3071,2839,3071,3272
45,Total Common Shares Outstanding,3771,3771,3771,3771,3071,3071,2839,3071,3272
46,Working Capital,-559.26,42.41,1163,1360,-328.62,-463.06,-,-792.36,-
47,Book Value Per Share,2.17,2.19,2.24,2.27,2.19,2.17,2.08,2.08,-
48,Tangible Book Value,7834,7998,8179,8270,6439,6369,6105,6105,-
49,Tangible Book Value Per Share,2.08,2.12,2.17,2.19,2.10,2.07,1.99,1.99,-
50,Land,-,6.65,-,6.64,6.72,6.77,-,6.5,-
51,Buildings,-,2592,-,2587,2584,2579,-,2486,-
52,Machinery,-,7987,-,7664,7608,7887,-,7677,-
53,Construction In Progress,-,1207,-,1044,785.69,418.94,-,411.12,-
