,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Market Capitalization,12783,15800,12557,16630,20853,-,-,-,-,-
1,Enterprise Value,21877,24403,20903,23726,27949,-,-,-,-,-
2,Last Close Price,3.39,4.19,3.30,4.37,5.48,-,-,-,-,-
3,PE Ratio,-,-,-,-,38.23,-,-,-,-,-
4,PS Ratio,1.74,2.18,1.76,2.39,2.91,-,-,-,-,-
5,PB Ratio,1.56,1.72,1.35,1.76,2.18,-,-,-,-,-
6,P/TBV Ratio,2.02,2.02,1.57,2.03,2.52,-,-,-,-,-
7,P/FCF Ratio,-,-,-14.70,-,-,-,-,-,-,-
8,P/OCF Ratio,14.95,14.95,12.31,-,37.96,-,-,-,-,-
9,EV/Sales Ratio,3.01,3.36,2.94,3.41,3.91,-,-,-,-,-
10,EV/EBITDA Ratio,25.27,26.38,16.84,17.52,18.24,-,-,-,-,-
11,EV/EBIT Ratio,197.50,-,51.60,46.53,41.98,-,-,-,-,-
12,EV/FCF Ratio,-33.79,-,-24.47,-,-,-,-,-,-,-
13,Debt / Equity Ratio,1.13,1.13,1.09,1.21,1.20,1.12,1.37,1.35,1.35,-
14,Debt / EBITDA Ratio,11.96,13.83,7.71,12.86,11.28,4.28,6.03,6.22,6.01,-
15,Debt / FCF Ratio,-,-,-11.80,-,-,-,-,-,-,-
16,Asset Turnover,0.35,0.35,0.27,0.34,0.35,-,-,-,-,
17,Inventory Turnover,2.96,3.17,3.19,2.51,3.07,2.48,-,-,-,-
18,Quick Ratio,0.65,0.65,0.71,0.84,0.88,0.66,0.67,-,0.68,-
19,Current Ratio,0.93,0.93,1.01,1.14,1.16,0.96,0.94,-,0.91,-
20,Return on Equity (ROE),-2.17%,-1.56%,-2.99%,6.02%,6.03%,11.53%,7.01%,-,-,
21,Return on Assets (ROA),-0.09%,0.82%,0.30%,0.20%,3.52%,-,-,-,-,
22,Return on Capital (ROIC),-0.10%,0.91%,0.33%,0.23%,4.15%,2.51%,2.65%,-,-,
23,Return on Capital Employed (ROCE),0.83%,-,2.97%,3.57%,4.59%,6.42%,6.76%,-,3.91%,-
24,Earnings Yield,-0.24%,-0.20%,1.12%,2.19%,2.62%,-,-,-,-,-
25,FCF Yield,-5.06%,-4.10%,-6.80%,-7.23%,-6.55%,-,-,-,-,-
26,Dividend Yield,0.86%,-,-,-,0.55%,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,60.82%,84.61%,116.12%,62.15%,42.20%,-
28,Buyback Yield / Dilution,-23.87%,-93.78%,11.57%,-20.55%,5.50%,14.63%,-,-,-,-
29,Total Shareholder Return,-23.00%,-93.78%,11.57%,-20.55%,6.04%,14.63%,-,-,-,-
