,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,275.68,83.78,74,125.1,106.55,136.19,127.72,136.94,119.47,117.23,175.33,101.73,140.03,182.31,91.56,169.21,169.21,102.62
1,Other Revenue,-2.62,2.62,-,2.62,-0.4,0.4,-,0.86,-0.41,0.41,-,1.53,-0.44,0.44,-,0.25,0.25,-
2,Revenue,273.06,86.4,74,127.72,106.15,136.6,127.72,137.8,119.07,117.63,175.33,103.26,139.58,182.76,91.56,169.46,169.46,102.62
3,Revenue Growth (YoY),157.23%,-36.75%,-42.06%,-7.32%,-10.85%,16.12%,-27.15%,33.45%,-14.70%,-35.63%,91.50%,-39.06%,-17.63%,78.08%,-,-,-,-
4,Cost of Revenue,223.31,77.42,53.41,115.78,75.93,97.5,96.52,105.49,84.76,84.07,125.19,62.04,100.8,124.78,78.19,130.05,130.05,83.58
5,Gross Profit,49.75,8.98,20.58,11.94,30.22,39.1,31.21,32.31,34.31,33.57,50.13,41.22,38.78,57.98,13.37,39.4,39.4,19.04
6,"Selling, General & Admin",15.19,14.36,16.14,16.6,15.81,16.61,13.82,18.34,13.02,10.88,9.96,11.16,10.03,20.16,-,12.9,12.9,-
7,Research & Development,6.12,7.33,4.62,5.12,5.85,5.85,3.85,5.61,6.44,5.54,3.32,4.52,4.37,8.38,-,4.12,4.12,-
8,Other Operating Expenses,-0.1,0.25,0.97,-0.47,0.68,0.5,0.74,2.27,0.11,-0.11,0.01,1.04,0.39,0.06,-,0.68,0.68,-
