,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3055,2633,2392,2714,3305,3482,4037,3966,3428,3400,6007,-,-,-,-,-,-,-,-
1,Market Cap Growth,-24.38%,-24.38%,-40.75%,-31.58%,-3.60%,2.43%,-32.80%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2495,1888,1691,1954,2545,2680,3224,3088,2550,2475,5703,-,-,-,-,-,-,-,-
3,Last Close Price,27.71,23.88,21.69,24.46,29.78,31.38,36.38,35.57,30.74,30.48,53.32,-,-,-,-,-,-,-,-
4,PE Ratio,375.74,323.81,-,-,-,58.34,61.53,66.16,52.69,61.28,78.81,-,-,-,-,-,-,-,-
5,PS Ratio,5.43,4.69,6.07,6.11,6.63,6.85,7.75,7.90,6.23,6.60,11.21,-,-,-,-,-,-,-,-
6,PB Ratio,2.49,2.11,1.99,2.19,2.64,2.81,3.26,3.22,2.82,2.86,4.96,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.24,2.24,2.11,2.33,2.81,2.94,3.41,3.34,2.92,2.91,5.05,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-51.22,-,-116.03,-,-282.53,-,-60.59,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,379.96,-,-205.67,-,192.43,-,94.49,-,181.85,-,259.29,-,-,-,-,-,-,-,-
