,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,294.02,468.13,580.55,735.45,377.61,357.35,401.42,449.14,327.4,957.61,-,324.26,-,325.49,-,386.55,386.55,-
1,Short-Term Investments,-,185.23,10.78,72.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,348.61,168.71,160.91,40.55,441.09,480.73,454.57,451.04,603.1,18.1,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,642.64,822.07,752.23,848.74,818.7,838.08,855.99,900.18,930.5,975.71,324.26,324.26,-,325.49,386.55,386.55,386.55,306.85
4,Cash Growth,-21.50%,-1.91%,-12.12%,-5.71%,-12.02%,-14.11%,163.98%,177.61%,-,199.77%,-16.11%,-16.11%,-,6.07%,-,-,-,-
5,Accounts Receivable,90.16,69.38,81.57,83.13,64.8,78.34,105.54,70.31,93.33,55.56,-,39.97,-,44.58,-,40.73,40.73,-
6,Other Receivables,4.4,7.5,1.94,2.11,7.88,7.09,2.83,2.73,3.69,8.68,-,4.63,-,11.6,-,8.48,8.48,-
7,Receivables,94.56,76.88,83.52,85.24,72.68,85.43,108.36,73.03,97.03,64.24,-,44.59,-,56.19,-,49.21,49.21,-
8,Inventory,288.44,402.45,380.12,378.8,375.18,361.71,359.39,360.25,294.62,281.78,-,309.52,-,255.61,-,236.38,236.38,-
9,Prepaid Expenses,-,-,-,-,-,-,-,0.14,-,2.14,-,0.83,-,0.13,-,-,-,-
10,Other Current Assets,210.89,20.66,63.68,15.54,22.98,33.85,50.91,47.5,46.03,20.71,-,26.81,-,33.25,-,18.63,18.63,-
11,Total Current Assets,1237,1322,1280,1328,1290,1319,1375,1381,1368,1345,-,706.01,-,670.67,-,690.77,690.77,-
12,"Property, Plant & Equipment",209.65,205.33,205.79,208.44,204.95,199.46,179.16,179.36,160.28,150.57,-,142.29,-,89.13,-,60.41,60.41,-
13,Long-Term Investments,42.94,42.63,46.67,47.11,17.26,16.3,17.52,16.28,14.36,14.33,-,12.85,-,13.89,-,11.73,11.73,-
14,Goodwill,6.25,6.25,6.25,6.25,2.52,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,43.32,44.12,44.01,45.07,33.52,32.67,32.77,33.34,13.99,14.02,-,14.74,-,15.62,-,16.58,16.58,-
16,Long-Term Deferred Tax Assets,12.25,13.99,13.35,15.46,8.41,5.53,8.75,10.65,5.09,6.32,-,15.51,-,6.58,-,10.98,10.98,-
