,Fiscal Quarter,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013
,Period Ending,"Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,188823,214499,287090,197979,242112,256019,258380,-,92426,-,-,-
1,Short-Term Investments,10164,10139,10064,10139,11603,11867,81867,-,151867,-,-,-
2,Cash & Short-Term Investments,198987,224638,297154,208118,253715,267886,340247,244294,244294,-,-,-
3,Cash Growth,-21.57%,-16.14%,-12.67%,-14.81%,3.86%,-,-,-,-,-,-,-
4,Accounts Receivable,12860,30697,26329,40613,1865,30497,23033,-,1071,-,-,-
5,Other Receivables,3517,667.55,1837,3799,2900,520.89,2961,-,7266,-,-,-
6,Receivables,17517,32506,29491,45737,4764,31017,25993,-,8337,-,-,-
7,Inventory,332292,208070,192149,196718,319289,162628,199820,-,352234,-,-,-
8,Prepaid Expenses,23490,170.19,365.31,15355,15862,371.4,-,-,4565,-,-,-
9,Other Current Assets,32624,8630,7162,34025,29007,17752,14252,-,42344,-,-,-
10,Total Current Assets,604909,474014,526321,499955,622639,479655,580313,-,651774,-,-,-
11,"Property, Plant & Equipment",107986,95071,95008,97748,75721,73248,71416,-,75776,-,-,-
12,Other Intangible Assets,-,-,-,27.5,55,55,55,-,110,-,-,-
13,Long-Term Deferred Tax Assets,4276,5058,5058,5058,5058,6077,6077,-,6077,-,-,-
14,Other Long-Term Assets,-,-,-,-,64.2,16.2,14.26,-,14.26,-,-,-
15,Total Assets,717172,574143,626386,602788,703537,559051,657876,-,733751,-,-,-
16,Accounts Payable,62732,41854,52652,63184,64944,42171,45357,-,67168,-,-,-
17,Accrued Expenses,53605,66275,81640,53679,49630,73020,189973,-,65874,-,-,-
18,Current Income Taxes Payable,-,3526,6048,6193,3209,6017,7124,-,5916,-,-,-
19,Current Unearned Revenue,129438,879.58,36299,-,128000,8361,-,-,160815,-,-,-
20,Other Current Liabilities,2752,2254,2893,954.31,933.1,1362,1155,-,10337,-,-,-
21,Total Current Liabilities,248527,114789,179533,124010,246716,130932,243608,-,310110,-,-,-
22,Total Liabilities,248527,114789,179533,124010,246716,130932,243608,-,310110,-,-,-
23,Common Stock,289735,289735,289735,289735,289735,289735,289735,-,289735,-,-,-
24,Additional Paid-In Capital,14891,14891,14891,10421,10421,-,-,-,6454,-,-,-
25,Retained Earnings,164019,154729,142228,178623,156666,127963,114112,-,127453,-,-,-
26,Comprehensive Income & Other,-,-,-,-,-,10421,10421,-,-,-,-,-
27,Shareholders' Equity,468645,459354,446854,478778,456821,428119,414267,423642,423642,-,-,-
28,Total Liabilities & Equity,717172,574143,626386,602788,703537,559051,657876,-,733751,-,-,-
29,Net Cash (Debt),198987,224638,297154,208118,253715,267886,340247,244294,244294,-,-,-
30,Net Cash Growth,-21.57%,-16.14%,-12.67%,-14.81%,3.86%,-,-,-,-,-,-,-
31,Net Cash Per Share,5283.00,5964.02,7889.29,5525.44,6736.02,7112.24,9033.40,-,6485.88,-,-,-
32,Filing Date Shares Outstanding,37.67,37.67,37.67,37.67,37.67,37.67,37.67,-,37.67,-,-,-
33,Total Common Shares Outstanding,37.67,37.67,37.67,37.67,37.67,37.67,37.67,-,37.67,-,-,-
34,Working Capital,356382,359225,346788,375945,375923,348723,336705,-,341665,-,-,-
35,Book Value Per Share,12442.28,12195.62,11863.74,12711.32,12128.37,11366.34,10998.59,11247.48,11247.48,-,-,-
36,Tangible Book Value,468645,459354,446854,478751,456766,428064,414212,423532,423532,-,-,-
37,Tangible Book Value Per Share,12442.28,12195.62,11863.74,12710.59,12126.91,11364.88,10997.13,11244.56,11244.56,-,-,-
38,Buildings,58809,58809,58809,58809,58809,58809,58809,-,58809,-,-,-
39,Machinery,109070,104414,104829,104829,104829,102053,102053,-,100812,-,-,-
40,Construction In Progress,90012,81753,81753,81583,56645,56572,54741,-,54564,-,-,-
