,Fiscal Quarter,Current,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013
,Period Ending,"Mar '25 Mar 12, 2025","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Market Capitalization,721291,521522,463575,451985,-,-,-,-,-,-,-,-,-
1,Enterprise Value,296884,296884,166421,243867,-,-,-,-,-,-,-,-,-
2,Last Close Price,19150.00,7757.36,6477.53,6315.59,-,-,-,-,-,-,-,-,-
3,PE Ratio,11.06,8.00,5.69,5.46,-,-,-,-,-,-,-,-,-
4,PS Ratio,0.75,0.55,0.50,0.47,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.54,1.11,1.01,1.01,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,1.11,1.11,1.01,1.01,-,-,-,-,-,-,-,-,-
7,P/FCF Ratio,-,-,-,24.42,-,-,-,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-,9.36,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,0.31,0.31,0.18,0.25,-,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,3.79,3.79,2.09,3.18,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,4.09,4.09,2.25,3.45,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,-,-,-,13.18,-,-,-,-,-,-,-,-,-
13,Asset Turnover,0.38,1.28,1.95,2.48,0.20,1.51,-,-,-,-,-,-,
14,Inventory Turnover,2.22,0.66,2.91,3.98,5.24,-,4.16,-,-,-,-,-,-
15,Quick Ratio,0.87,0.87,2.23,1.81,2.04,1.05,2.28,1.50,-,0.81,-,-,-
16,Current Ratio,2.43,2.43,4.13,2.93,4.03,2.52,3.66,2.38,-,2.10,-,-,-
17,Return on Equity (ROE),8.01%,11.04%,18.53%,18.77%,23.08%,13.15%,20.93%,22.57%,-,-,-,-,
18,Return on Assets (ROA),2.84%,6.11%,9.61%,10.31%,3.40%,4.77%,-,-,-,-,-,-,
19,Return on Capital (ROIC),3.96%,8.10%,12.77%,14.39%,4.85%,6.89%,13.78%,18.08%,-,-,-,-,
20,Return on Capital Employed (ROCE),15.49%,15.49%,16.07%,15.84%,14.67%,16.18%,21.36%,22.91%,-,21.03%,-,-,-
21,Earnings Yield,9.04%,12.50%,17.57%,18.32%,-,-,-,-,-,-,-,-,-
22,FCF Yield,-7.26%,-10.04%,-4.96%,4.09%,-,-,-,-,-,-,-,-,-
23,Payout Ratio,66.69%,2.66%,0.74%,201.18%,-,-,-,198.23%,-,-,-,110.04%,98.14%
