,Fiscal Quarter,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013
,Period Ending,"Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Revenue,61394,191659,298906,404841,32316,229430,227879,439497,27551,239929,230815,346086
1,Revenue Growth (YoY),89.98%,-16.46%,31.17%,-7.89%,17.29%,-4.38%,-1.27%,26.99%,-,-,-,-
2,Cost of Revenue,44893,145440,193543,338153,-2434,188343,149976,378009,-9388,194907,170447,273179
3,Gross Profit,16501,46219,105363,66689,34750,41087,77902,61488,36939,45022,60368,72907
4,"Selling, General & Admin",9159,31540,81726,39755,26163,29480,54804,30852,10830,29972,38782,46579
5,Operating Expenses,9159,31540,81726,39755,26163,29480,54804,30852,10830,29972,38782,46579
6,Operating Income,7341,14679,23637,26934,8587,11607,23098,30636,26109,15050,21585,26327
7,Interest & Investment Income,4766,1442,3467,1355,5368,5635,5318,633,9078,5196,5233,4195
8,Currency Exchange Gain (Loss),-,-,-,-,-25.23,-,-,-,-12.55,-,-,-
9,Other Non Operating Income (Expenses),-196.94,-95.11,385.73,-138.67,18806,516.1,-308.34,-626.46,-2325,-524.81,-487.39,-1000
10,Pretax Income,11911,16026,27490,28150,32735,17758,28108,30643,32849,19722,26331,29522
11,Income Tax Expense,2620,3526,6048,6193,7202,3907,6184,6741,8212,4930,6583,7381
12,Net Income,9291,12500,21442,21957,25534,13852,21924,23901,24637,14791,19748,22142
13,Net Income to Common,9291,12500,21442,21957,25534,13852,21924,23901,24637,14791,19748,22142
14,Net Income Growth,-63.61%,-9.75%,-2.20%,-8.13%,3.64%,-6.35%,11.02%,7.95%,-,-,-,-
15,Shares Outstanding (Basic),38,38,38,38,38,38,38,-,38,-,-,-
16,Shares Outstanding (Diluted),38,38,38,38,38,38,38,-,38,-,-,-
17,EPS (Basic),246.66,331.88,569.27,582.95,677.90,367.75,582.08,-,654.10,-,-,-
18,EPS (Diluted),246.66,331.88,569.27,582.95,677.90,367.75,582.08,-,654.10,-,-,-
19,EPS Growth,-63.61%,-9.75%,-2.20%,-,3.64%,-,-,-,-,-,-,-
20,Free Cash Flow,-60201,-113887,215241,-93488,-30865,-72382,131870,7543,-37878,-87285,73384,73384
21,Free Cash Flow Per Share,-1598.31,-3023.65,5714.54,-2482.07,-819.44,-1921.71,3501.09,-,-1005.64,-,-,-
22,Gross Margin,26.88%,24.12%,35.25%,16.47%,107.53%,17.91%,34.19%,13.99%,134.07%,18.76%,26.15%,21.07%
23,Operating Margin,11.96%,7.66%,7.91%,6.65%,26.57%,5.06%,10.14%,6.97%,94.77%,6.27%,9.35%,7.61%
24,Profit Margin,15.13%,6.52%,7.17%,5.42%,79.01%,6.04%,9.62%,5.44%,89.42%,6.16%,8.56%,6.40%
25,Free Cash Flow Margin,-98.06%,-59.42%,72.01%,-23.09%,-95.51%,-31.55%,57.87%,1.72%,-137.48%,-36.38%,31.79%,21.20%
26,EBITDA,7341,14685,26520,29872,8594,11607,26268,33668,26546,19239,26594,31336
27,EBITDA Margin,11.96%,7.66%,8.87%,7.38%,26.59%,5.06%,11.53%,7.66%,96.35%,8.02%,11.52%,9.05%
28,D&A For EBITDA,-,6.16,2883,2938,7.19,-,3170,3031,436.26,4189,5008,5008
29,EBIT,7341,14679,23637,26934,8587,11607,23098,30636,26109,15050,21585,26327
30,EBIT Margin,11.96%,7.66%,7.91%,6.65%,26.57%,5.06%,10.14%,6.97%,94.77%,6.27%,9.35%,7.61%
31,Effective Tax Rate,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%,25.00%,25.00%,25.00%,25.00%
32,Revenue as Reported,61394,191659,298906,404841,32316,229430,227879,439497,27551,239929,230815,346086
