,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,5520,4225,3572,3431,4068,3701,4165,5202,5514,4799,6678,4822,7388,-,-,-,-
1,Market Cap Growth,14.17%,14.17%,-14.23%,-34.05%,-26.23%,-22.89%,-37.64%,7.88%,-25.36%,-,-,-,-,-,-,-,-
2,Enterprise Value,6736,4748,4260,4021,4658,4250,4648,5582,5894,4880,6741,5001,7567,-,-,-,-
3,Last Close Price,52.86,40.72,34.29,32.94,39.05,35.53,39.98,49.43,52.39,45.60,63.45,45.60,69.86,-,-,-,-
4,PE Ratio,45.97,41.55,72.15,65.41,-,51.07,39.99,39.34,35.77,30.63,48.80,41.65,79.95,-,-,-,-
5,Forward PE,39.45,25.82,21.78,22.41,18.14,14.15,17.87,21.38,24.82,20.74,-,-,-,-,-,-,-
6,PS Ratio,1.76,1.37,1.29,1.30,1.65,1.66,1.91,2.37,2.50,2.33,3.78,3.06,5.21,-,-,-,-
7,PB Ratio,4.59,2.96,2.80,2.66,3.22,3.16,3.63,4.48,4.78,4.29,6.87,5.12,8.81,-,-,-,-
8,P/TBV Ratio,5.13,5.13,4.93,4.69,5.77,6.29,6.94,8.57,9.33,8.76,8.39,6.29,8.86,-,-,-,-
9,P/FCF Ratio,26.66,20.41,91.56,-47.17,-,-,-66.20,-,-,-,-,-,-22.80,-,-,-,-
10,P/OCF Ratio,15.20,15.20,30.14,-61.50,-,-,-81.49,-,-,-,-,-,-23.09,-,-,-,-
11,EV/Sales Ratio,2.18,1.54,1.53,1.53,1.89,1.91,2.13,2.55,2.68,2.36,3.82,3.17,5.34,-,-,-,-
12,EV/EBITDA Ratio,26.74,20.07,20.67,21.06,28.78,26.37,26.82,26.54,25.09,21.17,33.74,30.58,55.29,-,-,-,-
13,EV/EBIT Ratio,33.22,23.31,24.04,24.86,34.12,30.42,29.89,28.09,25.97,21.57,34.46,31.07,56.35,-,-,-,-
14,EV/FCF Ratio,32.54,22.93,109.20,-55.28,-,-,-73.87,-,-,-,-,-,-23.35,-,-,-,-
15,Debt / Equity Ratio,1.09,1.09,0.81,0.83,0.79,0.57,0.63,0.62,0.48,0.43,0.43,0.22,0.26,0.64,0.58,0.53,0.53
16,Debt / EBITDA Ratio,6.14,4.45,5.07,5.16,4.61,2.97,5.10,7.92,2.64,1.75,1.45,1.09,1.19,1.74,1.65,2.35,1.19
17,Debt / FCF Ratio,7.47,7.47,26.34,-14.68,-,-,-11.46,-,-,-,-,-,-0.67,-,-,-,-
18,Asset Turnover,1.25,0.96,0.91,1.31,1.23,0.92,0.83,1.11,1.45,1.40,1.44,1.76,1.78,-,-,-,
19,Inventory Turnover,4.41,5.72,5.83,6.13,8.15,6.03,4.12,3.51,5.17,6.55,5.48,6.68,8.26,6.60,-,-,-
20,Quick Ratio,1.11,1.11,1.43,1.44,1.44,1.09,1.07,1.25,1.28,1.38,1.75,2.18,2.61,1.34,1.38,-,1.60
21,Current Ratio,1.56,1.56,1.86,1.87,1.86,1.51,1.50,1.72,1.76,1.81,2.34,2.94,3.23,1.90,1.86,-,1.87
22,Return on Equity (ROE),20.80%,5.97%,10.01%,0.66%,4.08%,6.83%,3.55%,12.68%,16.35%,21.50%,15.06%,24.23%,21.63%,25.28%,10.06%,-,
23,Return on Assets (ROA),6.09%,3.73%,4.01%,4.13%,5.75%,2.82%,2.11%,5.38%,9.44%,11.51%,9.10%,11.00%,11.79%,-,-,-,
24,Return on Capital (ROIC),7.45%,4.32%,4.71%,5.03%,7.03%,3.32%,2.54%,6.72%,11.38%,13.43%,10.54%,12.61%,14.31%,14.19%,8.93%,-,
25,Return on Capital Employed (ROCE),10.84%,10.89%,11.09%,10.06%,8.65%,11.41%,12.98%,16.36%,18.79%,19.27%,19.92%,16.83%,16.00%,31.28%,23.53%,-,10.94%
26,Earnings Yield,2.14%,2.41%,1.39%,1.53%,0.90%,1.96%,2.50%,2.54%,2.80%,3.26%,2.05%,2.40%,1.25%,-,-,-,-
27,FCF Yield,3.75%,4.90%,1.09%,-2.12%,-3.50%,-1.29%,-1.51%,-4.91%,-5.17%,-2.41%,-3.77%,-5.75%,-4.39%,-,-,-,-
28,Dividend Yield,0.09%,-,-,-,0.14%,-,-,-,0.73%,-,-,-,0.33%,-,-,-,-
29,Payout Ratio,30.52%,23.09%,39.77%,31.30%,-,65.78%,264.60%,73.83%,-,46.95%,58.65%,7.94%,-,17.89%,12.39%,37.22%,8.15%
30,Buyback Yield / Dilution,1.08%,-2.33%,1.83%,2.21%,0.39%,2.42%,0.16%,-3.17%,-18.37%,-35.46%,-37.20%,-29.27%,-9.98%,-,-,-,-
31,Total Shareholder Return,1.17%,-2.33%,1.83%,2.21%,0.53%,2.42%,0.16%,-3.17%,-17.64%,-35.46%,-37.20%,-29.27%,-9.65%,-,-,-,-
