,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,530.21,627.66,520.35,452.26,203.49,277.78,342.97,213.62,165.32,248.42,147.9,275.64,33.02,49.39,-,49.33
1,Trading Asset Securities,40.45,60.72,39.71,119.83,49.84,64.86,61.57,58.3,107.64,158.29,62.32,84.19,49.79,84.76,-,76.11
2,Cash & Short-Term Investments,570.65,688.38,560.05,572.09,253.33,342.65,404.54,271.92,272.96,406.72,210.22,359.83,82.81,134.15,125.44,125.44
3,Cash Growth,125.26%,100.90%,38.44%,110.39%,-7.19%,-15.75%,92.44%,-24.43%,229.62%,203.18%,67.58%,186.86%,-,-,-,-
4,Accounts Receivable,1520,831.48,886.25,960.87,929.37,753.65,806.93,906.99,870.91,660.95,670,545.8,429.22,397.17,-,432.73
5,Other Receivables,39.89,3.13,183.3,58.09,4.86,4.36,4.88,4.49,4.23,5.69,6.74,9.46,4,1.61,-,3.61
6,Receivables,1560,834.6,1070,1019,934.22,758.02,811.82,911.48,875.15,666.63,676.75,555.25,433.22,398.78,-,436.34
7,Inventory,783.98,382.26,343.66,304.11,372.04,394.73,424.53,407.25,314.35,323.58,267.86,167.11,185.49,157.99,-,80.82
8,Other Current Assets,79.23,81.07,134.44,152.96,88.68,37.81,32.15,40.85,37.83,36.64,41.6,48.92,28.19,25.05,-,12.98
9,Total Current Assets,2994,1986,2108,2048,1648,1533,1673,1631,1500,1434,1196,1131,729.71,715.97,-,655.59
10,"Property, Plant & Equipment",264.36,49.98,51.82,41.31,37.84,37.53,38.83,39.58,36.24,34.73,35.49,31.9,32.69,31.35,-,31.06
11,Long-Term Investments,32.57,147.5,143.28,139.28,163.4,178.57,19.98,5.55,5.9,5.9,5.9,5.9,15.09,9.51,-,4.6
12,Goodwill,126.92,126.92,126.92,126.92,145.92,98.47,98.47,98.47,100.74,23.1,19.3,-,-,-,-,-
13,Other Intangible Assets,234.68,240.91,248.32,256.06,263.64,276.49,283.79,291.77,298.89,79.25,88.11,6.83,10.91,11.24,-,11.2
14,Long-Term Deferred Tax Assets,32.12,18.62,20.23,20.02,13.42,12.3,13.04,13.19,10.64,-,-,8.46,8.57,8.78,-,6.86
15,Long-Term Deferred Charges,4.82,5.01,4.86,5.32,4.52,4.9,4.56,4.81,4.47,4.25,4.64,3.71,2.61,2.3,-,2.5
16,Other Long-Term Assets,98.1,89.11,34.36,43.62,37.68,80.89,54.87,48.38,47.16,13.56,13.55,1.23,1.02,1.04,-,1.02
17,Total Assets,3788,2664,2738,2681,2315,2222,2187,2133,2004,1594,1363,1189,800.61,780.19,-,712.82
18,Accounts Payable,604.19,207.76,230.62,199.5,208.67,131.25,89.17,190.44,138.84,121.36,82.09,90.86,80.69,121.26,-,124.16
19,Accrued Expenses,20.76,31.04,11.21,31.82,12.08,27.13,14.44,32.86,22.24,26.6,14.78,20.05,8.23,9.43,-,16.09
20,Short-Term Debt,1167,744.57,788.4,724.45,659.69,714.66,708.78,546.82,475.29,409.24,199.06,215.29,263.5,227.67,-,192.14
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,1.48,1.17,-,-,-,-,-,-
22,Current Portion of Leases,3.3,2.19,2.88,4.26,1.95,1.58,2.03,3.28,-,1.12,1.9,1.9,-,0.75,-,-
23,Current Income Taxes Payable,24.43,14.36,22.26,6.73,26.69,13.87,13.78,18.79,35,14.24,21.18,10,17.69,10.5,-,8.36
24,Current Unearned Revenue,10.79,8.47,7.31,5.91,6.49,6.64,6.94,6.89,10.99,9.93,16.48,7.43,7.21,7.2,-,5.45
25,Other Current Liabilities,86.48,58.12,67.15,129.79,174.78,128.91,136.96,126.41,145.9,28.62,71.47,4.47,7.28,8.71,-,4.37
26,Total Current Liabilities,1917,1067,1130,1102,1090,1024,972.11,925.47,829.75,612.29,406.95,350,384.59,385.51,-,350.57
27,Long-Term Debt,374.05,277.85,271.83,265.7,4.57,-,-,-,-,-,2.29,-,-,-,-,-
28,Long-Term Leases,2.92,3.1,4.44,3.53,4.52,4.52,4.9,3.75,4.27,2.94,3.07,0.45,0.99,0.22,-,-
29,Long-Term Deferred Tax Liabilities,68.24,41.62,43.53,45.59,44.97,47.09,48.41,49.81,51.13,7.65,9.71,-,-,-,-,-
30,Total Liabilities,2362,1389,1450,1417,1144,1076,1025,979.03,885.15,622.87,422.03,350.44,385.58,385.73,-,350.57
31,Common Stock,103.76,80,80,80,80,80,80,80,80,80,80,80,60,60,-,60
32,Additional Paid-In Capital,525.37,522.41,522.27,522.27,522.27,522.27,522.27,522.27,522.27,522.27,523.2,523.2,159.38,159.38,-,159.38
33,Retained Earnings,480.96,418.63,410.42,383.95,384.82,361.38,381.35,370.69,335.74,293.91,273.08,240.51,203.08,181.07,-,148.1
34,Treasury Stock,-29.6,-29.6,-8.87,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,105.16,100.72,103.35,101.84,10.42,11.83,5.71,8.56,9.28,1.86,-1.64,-2.64,-4.58,-3.28,-,-2.49
36,Total Common Equity,1186,1092,1107,1088,997.5,975.48,989.33,981.52,947.29,898.04,874.64,841.07,417.88,397.17,364.99,364.99
37,Minority Interest,239.92,183.13,180.71,175.31,172.77,171.23,171.81,172.7,171.89,73.45,66.74,-2.37,-2.85,-2.71,-,-2.74
38,Shareholders' Equity,1426,1275,1288,1263,1170,1147,1161,1154,1119,971.49,941.38,838.7,415.03,394.45,362.25,362.25
39,Total Liabilities & Equity,3788,2664,2738,2681,2315,2222,2187,2133,2004,1594,1363,1189,800.61,780.19,-,712.82
40,Total Debt,1547,1028,1068,997.93,670.74,720.76,715.7,553.84,481.04,414.47,206.32,217.63,264.48,228.64,192.14,192.14
41,Net Cash (Debt),-976.65,-339.33,-507.49,-425.84,-417.41,-378.11,-311.16,-281.92,-208.08,-7.75,3.9,142.19,-181.67,-94.49,-66.7,-66.7
42,Net Cash Per Share,-9.35,-3.33,-4.86,-4.14,-4.09,-3.64,-2.92,-2.73,-1.99,-0.07,0.04,1.63,-2.35,-1.25,-0.83,-0.84
43,Filing Date Shares Outstanding,102.96,102.96,103.69,104,104,104,104,104,104,104,104,104,104,78,79.99,78
44,Total Common Shares Outstanding,102.96,102.96,103.69,104,104,104,104,104,104,104,104,104,78,78,79.99,78
45,Working Capital,1077,919.8,977.89,945.66,557.92,509.17,700.92,706.03,670.54,821.29,789.48,781.12,345.12,330.45,-,305.01
46,Book Value Per Share,11.52,10.61,10.68,10.46,9.59,9.38,9.51,9.44,9.11,8.64,8.41,8.09,5.36,5.09,4.68,4.68
47,Tangible Book Value,824.05,724.33,731.94,705.07,587.94,600.53,607.08,591.28,547.65,795.7,767.23,834.24,406.97,385.93,353.79,353.79
48,Tangible Book Value Per Share,8.00,7.03,7.06,6.78,5.65,5.77,5.84,5.69,5.27,7.65,7.38,8.02,5.22,4.95,4.54,4.54
