,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,1007,647.67,613.05,814.95,699.5,507.23,447.76,574.94,650.68,516.69,459.66,436.16,352.84,327.61,300.48,369.54
1,Other Revenue,-0.44,0.44,-,0.79,-0.43,0.43,-,0.81,-0.39,0.39,-,0.75,-0.38,0.38,-,0.65
2,Revenue,1007,648.11,613.05,815.74,699.07,507.66,447.76,575.74,650.29,517.08,459.66,436.91,352.46,327.99,300.48,370.18
3,Revenue Growth (YoY),44.02%,27.67%,36.91%,41.68%,7.50%,-1.82%,-2.59%,31.78%,84.50%,57.65%,52.97%,18.03%,-,-,-,-
4,Cost of Revenue,833.14,528.73,496.2,688.74,577.85,421.78,365.35,466.4,522.4,405.4,363.35,363.98,283.39,267.31,249.94,316.1
5,Gross Profit,173.68,119.38,116.84,126.99,121.22,85.88,82.41,109.35,127.89,111.69,96.32,72.94,69.07,60.68,50.54,54.08
6,"Selling, General & Admin",77.81,65.45,59.04,60.48,51.19,47.22,47.8,43.73,45.5,36.26,35.25,22.98,20.33,17.39,19.33,9.84
7,Research & Development,18.81,16.89,14.75,16.72,16.67,13.85,15.95,16.85,12.69,8.25,12.22,8.93,9.97,8.55,9.13,4.79
8,Other Operating Expenses,1.68,1.38,0.91,1.2,1.35,0.78,0.06,2.15,1.16,-0.25,0.41,1.23,0.46,0.12,0.03,2.75
9,Operating Expenses,95.03,79.12,73.39,85.7,69.06,61.04,64.21,64.86,59.93,43.62,49.84,29.15,31.79,27.25,30.75,14.45
10,Operating Income,78.65,40.26,43.46,41.3,52.16,24.84,18.21,44.49,67.96,68.06,46.48,43.79,37.28,33.43,19.79,39.63
11,Interest Expense,-12.33,-13.87,-12.16,-11.33,-6.88,-5.97,-5.77,-5.7,-4.5,-4.85,-2.47,-3.08,-3.91,-2.95,-3.45,-3.15
12,Interest & Investment Income,2.9,3.6,2.89,0.95,0.74,1.1,0.36,0.38,1.27,0.61,0.2,0.13,0.23,0.02,0.03,0.09
13,Currency Exchange Gain (Loss),-23.18,23.18,-,-4.54,-8.4,8.4,-,-18.44,5.8,-5.8,-,1.24,-1.26,1.26,-,7.75
14,Other Non Operating Income (Expenses),98.44,-14.73,14.01,-12.81,11.2,-0.14,-0.06,13.94,-14.04,0.48,-0.96,0.74,-2.13,0.31,-1.92,-4.23
15,EBT Excluding Unusual Items,144.48,38.45,48.19,13.57,48.82,28.24,12.74,34.67,56.49,58.5,43.25,42.82,30.22,32.06,14.45,40.09
16,Gain (Loss) on Sale of Investments,-57.23,-22.23,-4.52,-24.17,-14.22,-3.33,0.19,-0.39,1.23,-0.8,0.31,-0.66,1.18,-1.06,0.07,0.07
17,Gain (Loss) on Sale of Assets,0.08,0.03,-,-0.01,-,-,-,0,-,-,-,-0.02,-0,0.02,-,-
18,Asset Writedown,-11.54,5.75,-5.75,11.81,-17.21,0.88,-0.88,4.6,-4.6,1.85,-1.85,1.71,-1.71,0.72,-0.72,2.2
19,Other Unusual Items,-0.73,2.15,1.08,3.28,-0.29,0.29,-,5.45,0.32,-0.32,-,1.25,0.01,-0.01,-,5.05
20,Pretax Income,75.06,24.16,39.01,4.48,17.1,26.08,12.05,44.33,53.44,59.24,41.71,45.1,29.7,31.73,13.81,47.41
21,Income Tax Expense,4.85,5.03,7.09,2.45,5.29,6.37,1.78,8.29,10.72,7.83,8.21,7.12,7.81,7.82,4.69,9.02
22,Earnings From Continuing Operations,70.21,19.13,31.92,2.02,11.81,19.72,10.27,36.04,42.73,51.4,33.51,37.98,21.89,23.91,9.11,38.39
23,Minority Interest in Earnings,-7.88,-5.38,-5.44,-2.89,-1.66,-3.01,0.4,-1.1,-0.89,-6.62,-0.9,-0.55,0.13,-0.18,0.12,0.21
24,Net Income,62.33,13.75,26.48,-0.87,10.15,16.7,10.67,34.94,41.84,44.78,32.61,37.43,22.02,23.73,9.23,38.61
25,Net Income to Common,62.33,13.75,26.48,-0.87,10.15,16.7,10.67,34.94,41.84,44.78,32.61,37.43,22.02,23.73,9.23,38.61
26,Net Income Growth,514.26%,-17.68%,148.19%,-,-75.75%,-62.70%,-67.29%,-6.63%,90.03%,88.70%,253.32%,-3.05%,-,-,-,-
27,Shares Outstanding (Basic),104,102,104,103,102,104,107,103,105,104,103,87,77,76,80,79
28,Shares Outstanding (Diluted),104,102,104,103,102,104,107,103,105,104,103,87,77,76,80,79
29,Shares Change (YoY),2.33%,-1.83%,-2.21%,-0.39%,-2.42%,-0.16%,3.17%,18.37%,35.46%,37.20%,29.27%,9.98%,-,-,-,-
30,EPS (Basic),0.60,0.13,0.25,-0.01,0.10,0.16,0.10,0.34,0.40,0.43,0.32,0.43,0.29,0.31,0.12,0.49
31,EPS (Diluted),0.60,0.13,0.25,-0.01,0.10,0.16,0.10,0.34,0.40,0.43,0.32,0.43,0.29,0.31,0.12,0.49
32,EPS Growth,500.27%,-16.14%,153.80%,-,-75.15%,-62.64%,-68.29%,-21.12%,40.29%,37.54%,173.31%,-11.85%,-,-,-,-
33,Free Cash Flow,141.24,220.37,8.35,-162.92,-26.78,108.61,-61.42,-68.11,-41.99,-83.8,-91.18,101.48,-178.18,-109.43,-137.91,-119.51
34,Free Cash Flow Per Share,1.35,2.16,0.08,-1.58,-0.26,1.05,-0.58,-0.66,-0.40,-0.81,-0.88,1.16,-2.31,-1.44,-1.72,-1.51
35,Dividend Per Share,-,-,-,0.054,-,-,-,0.385,-,-,-,0.231,-,-,-,-
36,Dividend Growth,-,-,-,-86.01%,-,-,-,66.64%,-,-,-,-,-,-,-,-
37,Gross Margin,17.25%,18.42%,19.06%,15.57%,17.34%,16.92%,18.41%,18.99%,19.67%,21.60%,20.95%,16.69%,19.60%,18.50%,16.82%,14.61%
38,Operating Margin,7.81%,6.21%,7.09%,5.06%,7.46%,4.89%,4.07%,7.73%,10.45%,13.16%,10.11%,10.02%,10.58%,10.19%,6.59%,10.70%
39,Profit Margin,6.19%,2.12%,4.32%,-0.11%,1.45%,3.29%,2.38%,6.07%,6.43%,8.66%,7.09%,8.57%,6.25%,7.24%,3.07%,10.43%
