,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,113.16,147.85,153.63,230,163.56,197.22,194.13,247.18,107.15,206.1,290.2,180.89,156.1,194.4,357.16,105.11,-,80.34,-
1,Short-Term Investments,-,-,-,-,80.44,-,80.11,-,70,-,100,-,50,-,-,-,-,-,-,-
2,Trading Asset Securities,-,59.86,58.39,60.69,4.76,5.27,6.55,5.73,5.36,86.6,56.24,4.23,157.03,154.66,150.13,-,0.51,-,35.09,-
3,Cash & Short-Term Investments,173.02,173.02,206.24,214.33,315.19,168.82,283.88,199.86,322.54,193.75,362.34,294.43,387.92,310.76,344.53,357.16,105.61,-,115.44,163.12
4,Cash Growth,-45.11%,2.49%,-27.35%,7.24%,-2.28%,-12.87%,-21.65%,-32.12%,-16.85%,-37.65%,5.17%,-17.56%,267.30%,-,198.46%,118.95%,-,-,-,-
5,Accounts Receivable,-,650.31,579.94,565.99,486.92,585.14,526.23,499.84,464.56,443.17,502.35,524.07,423.97,389.27,350.76,347.13,329.45,-,274.89,-
6,Other Receivables,-,1.76,1.76,1.37,2.97,3.1,3.48,3.07,3.96,18.64,18.54,23.56,17.65,18.4,18.33,22.27,51.77,-,8.01,-
7,Receivables,-,652.07,581.7,567.36,489.89,588.25,529.71,502.91,468.52,461.82,520.88,547.63,441.62,407.67,369.09,369.4,381.21,-,282.9,-
8,Inventory,-,306.21,317.27,226.83,242.12,252.46,228.03,237.68,211.89,260.45,272.71,283.67,201.77,246.82,202.62,210.27,137.46,-,146.96,-
9,Prepaid Expenses,-,-,9.08,-,-,-,3.16,-,-,-,1.57,-,6.44,-,2.07,-,2.95,-,2.63,-
10,Other Current Assets,-,99.23,35.14,97.38,31.6,141.56,44.17,144.34,46.5,127.97,51.06,115.56,47.01,77.18,67.13,81.59,56.46,-,38.73,-
11,Total Current Assets,-,1231,1149,1106,1079,1151,1089,1085,1049,1044,1209,1241,1085,1042,985.44,1018,683.7,-,586.66,-
12,"Property, Plant & Equipment",-,425.15,416.39,398.13,407.66,386.61,363.39,333.91,310.65,286,271.55,261.88,257.8,232.65,223.57,224.54,222.22,-,234.72,-
13,Goodwill,-,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,-,3.45,-
14,Other Intangible Assets,-,60.53,59.26,58.45,59.53,60.26,61.02,60.94,61.18,60.3,60.9,61.31,61.64,61.84,63.1,63.47,64.74,-,49.24,-
15,Long-Term Deferred Tax Assets,-,5.25,5.25,5.29,5.33,3.1,3.46,2.57,4.94,3.59,2.32,2.78,2.17,0.79,0.65,1.04,1.93,-,1.68,-
16,Long-Term Deferred Charges,-,7.01,7.59,7.99,8.57,8.74,8.86,9.11,9.6,10.11,10.05,10.45,10.39,10.95,11,9.89,14.79,-,9.5,-
17,Other Long-Term Assets,-,20.39,21.21,22.59,17.61,18.67,30.54,23.95,19.32,16.06,7.4,2.78,1.03,2.18,8.3,7.86,3.25,-,13.01,-
18,Total Assets,-,1752,1663,1602,1581,1632,1560,1519,1459,1423,1564,1584,1421,1354,1295,1329,994.09,-,898.26,-
19,Accounts Payable,-,232.65,213.71,178.6,172.28,220.97,185.12,150.68,145.28,165.09,236.06,278.63,181.72,169.98,137,166.82,124.45,-,92.8,-
20,Accrued Expenses,-,16.7,14.96,12.38,18.94,12.5,12.2,9.36,17.21,11.32,14.05,8.75,15.39,7.75,8.95,6.4,15.77,-,7.65,-
21,Short-Term Debt,-,203.42,173.48,145.48,147.7,179.14,146.08,136.3,95.78,68.01,119.28,111.62,69.5,44.36,35.88,33.31,35.67,-,39.21,-
