,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3844,3446,3516,2765,2699,2920,3258,3470,3219,3524,2633,2510,2596,2958,2834,2861,3076,-,-,-,-
1,Market Cap Growth,18.00%,18.00%,7.92%,-20.32%,-16.14%,-17.15%,23.74%,38.25%,24.00%,19.13%,-7.10%,-12.28%,-15.60%,-,-,-,-,-,-,-,-
2,Enterprise Value,3916,3518,3523,2726,2733,2954,3142,3428,3115,3421,2413,2349,2329,2692,2525,2537,2999,-,-,-,-
3,Last Close Price,37.08,33.24,33.92,26.67,25.85,27.96,31.20,33.22,30.63,33.54,25.05,23.64,24.46,27.87,26.70,26.96,28.83,-,-,-,-
4,PE Ratio,65.05,58.81,61.35,50.46,49.79,52.98,58.97,65.96,63.52,63.57,37.40,31.35,31.48,36.42,20.51,20.72,22.13,-,-,-,-
5,Forward PE,40.30,38.54,42.14,35.09,28.93,33.94,34.54,20.72,20.70,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.18,1.07,1.16,0.94,0.99,1.09,1.23,1.40,1.22,1.27,0.90,0.82,0.87,1.06,1.13,1.26,1.55,-,-,-,-
7,PB Ratio,3.22,2.85,2.91,2.34,2.28,2.48,2.81,3.01,2.81,3.11,2.37,2.27,2.32,2.71,2.67,2.73,2.95,-,-,-,-
8,P/TBV Ratio,3.05,3.05,3.11,2.50,2.43,2.65,3.01,3.23,3.01,3.33,2.54,2.43,2.49,2.88,2.85,2.91,3.15,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-33.37,-,-60.72,-,-73.31,-,-31.21,-,-42.73,-,-32.40,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,2522.69,-,67.55,-,121.42,-,-98.56,-,-82.92,-,-40.04,-,-,-,-,-
11,EV/Sales Ratio,1.21,1.09,1.16,0.93,1.00,1.10,1.18,1.38,1.19,1.23,0.82,0.76,0.78,0.97,1.01,1.12,1.51,-,-,-,-
12,EV/EBITDA Ratio,43.62,38.39,60.09,42.03,39.45,39.00,41.63,48.60,45.84,53.79,37.39,32.27,30.20,33.32,30.61,31.69,40.42,-,-,-,-
13,EV/EBIT Ratio,60.70,54.53,111.80,71.37,68.52,-,66.89,81.06,70.02,-,58.02,46.53,41.94,45.01,40.63,42.00,54.38,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-33.75,-,-60.00,-,-71.17,-,-29.21,-,-38.88,-,-28.74,-,-,-,-,-
15,Debt / Equity Ratio,0.19,0.19,0.19,0.17,0.14,0.14,0.16,0.13,0.13,0.09,0.07,0.12,0.11,0.08,0.04,0.03,0.03,0.05,-,0.06,0.08
16,Debt / EBITDA Ratio,2.56,1.47,4.73,1.92,2.58,4.80,2.59,1.27,1.66,3.17,1.48,1.17,1.75,2.22,0.51,0.29,0.39,1.06,-,0.39,0.97
17,Debt / FCF Ratio,-,-,-,-,-,-1.87,-,-2.72,-,-2.22,-,-1.63,-,-1.19,-,-0.41,-,-1.53,-,-4.20,-
18,Asset Turnover,-,1.98,2.09,1.66,1.68,1.85,1.72,1.63,1.79,1.52,2.04,2.02,2.31,2.15,2.12,1.97,-,-,-,-,
19,Inventory Turnover,-,-,10.12,11.40,10.31,10.02,11.25,10.48,9.87,10.22,7.79,10.69,11.72,13.02,11.78,12.25,11.96,-,-,-,-
20,Quick Ratio,-,-,1.65,1.78,2.01,2.15,1.68,2.13,2.05,2.70,2.23,2.01,1.88,2.67,2.54,3.03,2.67,2.09,-,1.63,-
21,Current Ratio,-,-,2.47,2.59,2.85,2.88,2.56,2.85,3.17,3.58,3.56,2.76,2.77,3.49,3.68,4.18,3.74,2.93,-,2.40,-
22,Return on Equity (ROE),5.60%,3.92%,6.77%,3.36%,6.45%,3.06%,6.83%,3.91%,6.11%,2.24%,6.32%,5.65%,11.89%,5.86%,7.46%,6.36%,-,-,12.74%,-,
23,Return on Assets (ROA),-,0.85%,2.55%,1.46%,-0.04%,1.96%,2.98%,2.73%,-0.02%,1.31%,3.26%,2.02%,0.19%,3.16%,4.87%,3.54%,-,-,-,-,
24,Return on Capital (ROIC),5.68%,1.03%,3.05%,1.73%,-0.05%,2.35%,3.52%,3.20%,-0.02%,1.61%,4.14%,2.52%,0.24%,3.82%,5.92%,4.42%,-,-,7.42%,-,
25,Return on Capital Employed (ROCE),-,-,2.51%,3.13%,3.29%,-,3.97%,3.59%,3.78%,-,3.68%,4.49%,4.89%,5.39%,5.80%,5.70%,5.22%,6.24%,-,4.45%,-
26,Earnings Yield,1.52%,1.70%,1.63%,1.98%,2.01%,1.89%,1.70%,1.52%,1.57%,1.57%,2.67%,3.19%,3.18%,2.75%,4.88%,4.83%,4.52%,-,-,-,-
27,FCF Yield,-,-4.51%,-4.28%,-2.24%,-3.00%,-1.91%,-1.65%,-0.67%,-1.36%,-2.01%,-3.20%,-4.80%,-2.34%,-1.68%,-3.09%,-1.83%,-,-,-,-,
28,Dividend Yield,0.53%,-,-,-,-,0.72%,-,-,-,0.60%,-,-,-,0.86%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,5.84%,119.49%,11.82%,7.04%,5.79%,117.65%,6.97%,18.60%,443.69%,5.76%,4.99%,10.04%,1.80%,82.60%,-,0.14%,3.98%,111.34%,6.86%
30,Buyback Yield / Dilution,1.16%,5.48%,3.78%,-3.18%,-1.74%,0.81%,-3.52%,8.32%,-3.66%,0.84%,-0.02%,-41.12%,-1.32%,-42.74%,-38.18%,-5.57%,-36.41%,-,-,-,-
31,Total Shareholder Return,1.69%,5.48%,3.78%,-3.18%,-1.74%,1.52%,-3.52%,8.32%,-3.66%,1.44%,-0.02%,-41.12%,-1.32%,-41.88%,-38.18%,-5.57%,-36.41%,-,-,-,-
